No,date,Label,baseline_HBO,baseline_HHB,baseline_TSI,Stage1_HBO,Stage1_HHB,Stage1_TSI,Stage2_HBO,Stage2_HHB,Stage2_TSI,Stage3_HBO,Stage3_HHB,Stage3_TSI,Stage4_HBO,Stage4_HHB,Stage4_TSI,Stage5_HBO,Stage5_HHB,Stage5_TSI,Stage1_activation_HBO,Stage1_activation_HHB,Stage2_activation_HBO,Stage2_activation_HHB,Stage3_activation_HBO,Stage3_activation_HHB,Stage4_activation_HBO,Stage4_activation_HHB,Stage5_activation_HBO,Stage5_activation_HHB,Stage1_different_HBO,Stage1_different_HHB,Stage2_different_HBO,Stage2_different_HHB,Stage3_different_HBO,Stage3_different_HHB,Stage4_different_HBO,Stage4_different_HHB,Stage5_different_HBO,Stage5_different_HHB,baseline_s_HBO,Stage1_s_HBO,Stage2_s_HBO,Stage3_s_HBO,Stage4_s_HBO,Stage5_s_HBO,baseline_s_HHB,Stage1_s_HHB,Stage2_s_HHB,Stage3_s_HHB,Stage4_s_HHB,Stage5_s_HHB,baseline_HBT,Stage1_HBT,Stage2_HBT,Stage3_HBT,Stage4_HBT,Stage5_HBT,baseline_s_HBT,Stage1_s_HBT,Stage2_s_HBT,Stage3_s_HBT,Stage4_s_HBT,Stage5_s_HBT
16,20190411,1,0.546827248,0.213107557,0.62303622,0.848909323,0.672988109,0.727130574,0.928769784,0.520832562,0.853913087,0.895593508,0.417774374,0.884010338,0.898523783,0.532177335,0.836366892,0.92336931,0.932165656,0.736019576,0.798329125,0.890308817,0.830939824,0.692553924,0.673828301,0.659985112,0.678484202,0.703578623,0.713246801,0.96490631,0.798329125,0.890308817,0.553366319,0.498734065,0.479680781,0.397744645,0.505520167,0.908865023,0.48846815,0.867214062,0.572028781,0.749331812,0.476443926,0.365484409,0.626372111,0.527422749,0.789322203,0.573743764,0.186699914,0.516894642,0.954769627,0.788958167,0.457710762,0.778707014,0.784216054,0.745137331,0.831077191,0.962318888,0.768102149,0.872249449,0.306116667,0.431027331,0.767075945,0.536624025
18,20190417,1,0.6869922,0.523407813,0.418814705,0.328045728,0.887768094,0.285901072,0.6389694,0.468428435,0.540993567,0.841785013,0.15002991,0.805700036,0.88576274,0.010814729,0.976300104,0.420255336,0.415120693,0.670643321,0.257164768,0.825902115,0.409756431,0.432695298,0.539413943,0.334222588,0.591987496,0.240050504,0.317776799,0.407884724,0.257164768,0.825902115,0.872506391,0.172856786,0.783379296,0.180019854,0.551918954,0.56008823,0,0.807985855,0.369705431,0.79001035,0.290442539,0.362819017,0.169035839,0.863128842,0.496562866,0.284332941,0.675667834,0.326094733,0.788351095,0.30186656,0.705113444,0.347447228,0.629862834,0.828427446,0.913088526,0.459100891,0.440171959,0.909003253,0.11785122,0.392378638,0.26894924,0.716088122
18,20190419,1,1,0.264995734,0.694522621,0.486160299,0.799859751,0.463200966,0.537073622,0.968255995,0.638985717,0.390095067,1,0.836888841,0.221334198,0.990417848,0.939376826,0.189523904,0.918547757,0.529984378,0.164145972,0.966472527,0.003467693,0.995800448,0,0.959044139,0,0.937859227,0,0.924130127,0.164145972,0.966472527,0.58470513,0.877735608,0.293458628,0.503858031,0.262438979,0.798997371,0.41179341,0.394873974,0.240070259,0.522305339,0.566125774,0.306715745,0.39284805,0.753392176,0.953602607,0.574976525,0.782799371,0.499367596,0.779235552,0.316715022,0.799968915,0.65750707,0.853411019,0.716727039,0.568178789,0.517108068,0.588180484,0.768013877,0.600647662,0.424007398,0.529333832,0.486141286
25,20190611,1,0.496084404,0.635033481,0.611456121,0.700638702,0.808146983,0.397691596,1,0.439566192,0.69943396,0.797202039,0.274264252,0.822841162,0.591013956,0.120079765,0.884918496,0.502084755,0.504861852,0.506716441,0.709872496,0.652786187,0.950412931,0.331607143,0.637427173,0.341392479,0.5140439,0.242979389,0.474296684,0.405743698,0.709872496,0.652786187,0.798792825,0.235973985,0.251137111,0.339624695,0.244150199,0.551409937,0.366009943,0.79953876,0.531416873,1,0.404300195,0.219416903,0.387634055,0.505112259,0.523527316,0.159061986,0.492788981,0.437788892,0.719612381,0.601375086,0.486988261,0.848712896,0.81577308,0.51827613,0.202995095,0.449327036,0.767482467,0.994784139,0.19057375,0.28685465,0.476695338,0.524319056
25,20190613,1,0.086049121,0.814282709,0.231377226,0.289290556,0.794955149,0.354758005,0.372669074,0.763485803,0.380787068,0.582774892,0.361854293,0.634487513,0.865012867,0.03502581,0.922206539,0.977130934,0.411600257,0.76126031,0.659314048,0.48438874,0.737175334,0.450680434,0.762302584,0.289807552,0.915507202,0.098760315,1,0.231653382,0.659314048,0.48438874,0.650155935,0.639117273,0.773502965,0.072912589,0.824817918,0.336934858,0.574333617,0.779891782,0.469710321,0.53568359,0.712211929,0.50353957,0.830105294,0.527228507,0.246632488,0.501960557,0.552732921,0.210697884,0.553116721,0.894310833,0,0.263343787,0.326742535,0.233183077,0.341005696,0.859813237,0.382502434,0.739076795,0.676325132,0.368637364,0.826626179,1
27,20190702,1,0.270409853,0.30888659,0.381469722,0.208796103,0.527481502,0.438380738,0.520833508,0.524268207,0.618244976,0.769944617,0.457555192,0.857795626,0.921130101,0.432385134,0.923858284,0.668203717,0.917167218,0.602901771,0.45794595,0.667993802,0.70185476,0.627248773,0.77165208,0.628462404,0.847457935,0.595451047,0.703260554,0.896927516,0.45794595,0.667993802,0.893497457,0.681197083,0.83837097,0.434886015,0.677711543,0.732835319,0.212657436,0.949950653,0.219211644,0.748875685,0.708635313,0.272930833,0.600233015,0.768641514,0.189563962,0.445235598,0.941619755,0.464947145,0.901531367,0.527495107,0.305313244,0.29335592,0.509776535,0.652701659,0.785710619,0.778572159,0.058520714,0.795127608,0.718073346,0.354851538,0.728668706,0.572957979
32,20191202,1,0.522774832,0.643585502,0.542180256,0.793447281,0.869987158,0.569682331,0.835085831,0.829327303,0.575556517,0.620716147,0.650531363,0.574228873,0.782901328,0.648365114,0.609026401,0.864670414,0.744376175,0.273714845,0.768911083,0.704458751,0.762693535,0.621759886,0.491864596,0.548733363,0.619440407,0.540413417,0.689266858,0.57283165,0.768911083,0.704458751,0.524174124,0.625802844,0.22284102,0.297370233,0.681102193,0.778814277,0.541665821,0.540928774,0.346740746,0.718556836,0.414258773,0.620329295,0.148834454,0.429179777,0.426381597,0.371226507,0.376981549,0.669291962,0.365168308,0.012173367,0.571288429,0.815452177,0.860330959,0.655390791,0.851844662,0.911467103,0.349098562,0.765571049,0.293875336,0.670350866,0.234725506,0.119900179
36,20191213,1,0.18954805,0,0.897682956,0.280500209,0.459508638,0.580408225,0.24477475,0.44344039,0.677664838,0.1397378,0.137595077,0.764386144,0.058306432,0.002261537,0.715472428,0.091086127,0.495052452,0.265831228,0.576996629,0.871486436,0.510530425,0.784849222,0.372004345,0.622051218,0.351615942,0.514306869,0.382147196,0.77791132,0.576996629,0.871486436,0.531855506,0.667955059,0.32941403,0.194753405,0.35203879,0.564020484,0.471202348,0.90606942,0.284214324,0.786762876,0.507920361,0.372574035,0.370278753,0.969447074,0.569849153,0.656432321,0.504547403,0.322573833,0.671257311,0.749222182,0.090281986,0.174575297,0.306571973,0.554627423,0.808646544,0.87062198,0.5353329,0.48348372,0.813340623,0.529556064,0.755620055,0.433354546
38,20191216,1,0.6710777,0.814889928,0.723166154,0.736330055,0.84969998,0.658494899,0.511723978,1,0.617833168,0.373222884,0.787627524,0.707258781,0.285133657,0.170517279,0.872904064,0.562678861,0.368814939,0.825543212,0.613372033,0.536184734,0.300658145,0.629999723,0.212127654,0.529537848,0.224211453,0.17589035,0.416694964,0.200530965,0.613372033,0.536184734,0.265969107,0.854565839,0.303250345,0.250403278,0.359589799,0,0.721629425,0.596807744,0.454671236,0,0.801438565,0.260583466,0.409517265,0.529971781,0.55006154,0.419125635,0.836618042,0,0.279272376,1,0.678529224,0.736019405,0.656848278,0.420734453,0.041100842,0.385112469,0.547284363,0,0.833376206,0.058570441,0.267475471,0.821394999
38,20191223,1,0.241450365,0.353139509,0.441484549,0.355374714,0.536774244,0.440691856,0.282213936,0.254723969,0.487902539,0.605243987,0.018457031,0.86739422,0.819196319,0.194720102,0.887810308,0.801988354,0.310968076,0.526357369,0.602650117,0.638414492,0.496400007,0.391016777,0.672543969,0.35594875,0.799747078,0.435988383,0.803862498,0.434684211,0.602650117,0.638414492,0.481735649,0.347793166,0.922433642,0.280072066,0.743132461,0.954427825,0.444233334,0.507857004,0.481121196,0.471068684,0.808642766,0.544826367,0.558363381,0.639987811,0.398381116,1,0.275895305,0.29102589,0.833455712,0.557172279,0.173547183,0.207036433,0.112720863,0.172497689,0.548931425,0.827984197,0.108678943,0.914508046,0.655462109,0.665812359,0.965726695,0.078555944
