No,date,Label,baseline_HBO,baseline_HHB,baseline_TSI,Stage1_HBO,Stage1_HHB,Stage1_TSI,Stage2_HBO,Stage2_HHB,Stage2_TSI,Stage3_HBO,Stage3_HHB,Stage3_TSI,Stage4_HBO,Stage4_HHB,Stage4_TSI,Stage5_HBO,Stage5_HHB,Stage5_TSI,Stage1_activation_HBO,Stage1_activation_HHB,Stage2_activation_HBO,Stage2_activation_HHB,Stage3_activation_HBO,Stage3_activation_HHB,Stage4_activation_HBO,Stage4_activation_HHB,Stage5_activation_HBO,Stage5_activation_HHB,Stage1_different_HBO,Stage1_different_HHB,Stage2_different_HBO,Stage2_different_HHB,Stage3_different_HBO,Stage3_different_HHB,Stage4_different_HBO,Stage4_different_HHB,Stage5_different_HBO,Stage5_different_HHB,baseline_s_HBO,Stage1_s_HBO,Stage2_s_HBO,Stage3_s_HBO,Stage4_s_HBO,Stage5_s_HBO,baseline_s_HHB,Stage1_s_HHB,Stage2_s_HHB,Stage3_s_HHB,Stage4_s_HHB,Stage5_s_HHB,baseline_HBT,Stage1_HBT,Stage2_HBT,Stage3_HBT,Stage4_HBT,Stage5_HBT,baseline_s_HBT,Stage1_s_HBT,Stage2_s_HBT,Stage3_s_HBT,Stage4_s_HBT,Stage5_s_HBT
5,20181227,1,0.324414197,0.18607206,0.329751687,0.691506075,0.474175483,0.531927545,0.73334882,0.584001192,0.62676171,0.774172709,0.478260568,0.640168774,0.872895592,0.360203718,0.822310141,0.867798244,0.467848163,0.793778648,0.80251026,0.69539876,0.822065324,0.751507501,0.812014013,0.70797039,0.807586089,0.522376247,0.843035659,0.656782238,0.80251026,0.69539876,0.65031517,0.756351959,0.296769392,0.452555619,0.757207683,0.226192296,0.572684684,0.559314987,0.844285237,0.741002536,0.39476184,0.552864643,0.718525066,0.356430612,0.580151089,0.524105546,0.611212589,0.312263409,0.580399812,0.75583873,0.294882075,0.584854696,0.699621486,0.701712868,0.754599678,0.789607865,0.778288225,0.671969992,0.548388304,0.447221104,0.733376081,0.411648704
7,20181228,1,0.374742306,0.429573046,0,0.186521102,0.042779983,0.66741775,0.331021315,0.108104552,0.77486033,0.440642667,0,0.808090468,0.880729466,0.045572647,0.954281668,0.81577072,0.067836564,0.952297689,0.448057187,0.003491363,0.535795779,0.108994884,0.581306316,0.193273994,0.780676666,0.174953559,0.782545125,0.273690683,0.448057187,0.003491363,0.662729134,0.651712238,0.444054354,0.47459049,1,0.350082682,0.514911612,0.4596477,0,0.911330573,0.231024093,1,0.911685561,0.303980639,0,0.513211219,0.209575507,0.501104699,0.631028899,0.584696423,0.460935589,0.091471558,0.252800214,0.248311133,0.597276882,0.593256192,0,0.841955452,0.163545825,0.942547143,0.850179815,0.314024806
10,20190215,1,0.326662532,0.483171139,0.845076168,0.605870066,0.541260621,1,0.738157995,0.640694558,0.971290345,1,0.991621005,0.652285941,0.788046646,0.904579452,0.591571017,0.474014197,0.648255179,0.620943742,0.747364339,0.475782883,0.823635626,0.567823864,0.945242081,0.89403676,0.753671951,0.714369748,0.596153005,0.618825343,0.747364339,0.475782883,0.757442681,0.750554335,0.700528557,1,0.534013812,0.264217141,0.259251228,0.243848468,0.684611436,0.708112281,0.868842608,0.307301513,0.450978311,0.190067378,0.577109997,0.315813138,0.880165767,0.421379842,0.566225977,0.336253737,0.101930055,0.229137721,0.347721549,0.436323643,0.676712749,0.845760508,0.668510112,0.455544562,0.543082406,0.642717706,0.807818682,0.581409676
11,20190315,1,0.274441769,0.027475786,0.299549625,0.758321478,0.348371661,0.713404648,0.836538598,0.557769569,0.882489568,0.893335465,0.731549076,0.829878284,0.918531697,0.709443341,0.926059907,0.949450449,0.829925488,0.977978287,0.883601749,0.717916263,0.919568803,0.853358362,0.914679336,1,0.867352605,0.844409588,0.921806991,0.971532845,0.883601749,0.717916263,0.72050831,0.869318366,0.32044697,0.790825499,0.706269033,0.311690697,0.613583706,0.59181921,0.839121359,0.828860825,0.458699454,0.543829045,0.630818346,0.498386196,0.697675316,0.438228892,0.729458063,0.547723331,0.514061571,0.939957509,0.015158188,0.264232485,0.703590735,0.900297677,0.795519064,0.741405736,0.743390125,0.69732764,0.922188516,0.305226368,0.60169287,0.677041384
14,20190313,1,0.486226854,0.899831425,0.139371383,0.229777852,0.705128591,0.195203683,0.04358948,0.403199325,0.307408661,0.103876961,0.167013032,0.564056068,0.470071104,0.240087589,0.814835278,0.724036762,0.389046381,0.869377511,0.387006138,0.241236619,0.28220739,0.011663217,0.309979952,0.008692884,0.456260199,0.036208211,0.663217187,0.236518253,0.387006138,0.241236619,0.198798397,0.257083328,0.369250774,0.304786795,0.935721041,0.37686167,0.777725362,0.591739823,0.526685055,0.290514913,0.392152279,0.752531935,1,0.655760703,0.344375359,0.180569128,0.322524969,0.455523302,0.722919876,0.954946531,0.327013041,0.948738146,0.958815223,0.92072327,0.971867052,1,1,0.703396528,0.516696162,0.409193337,0.875466761,0.387594882
17,20190416,1,0.105729462,0.764239192,0.306389833,0.393953615,0.830776602,0.625147479,0.536272975,0.519451883,0.839443146,0.686049895,0.035431349,1,0.871634583,0.397468973,0.979818152,0.916365388,0.687590185,0.913915599,0.789704136,0.505934662,0.839934833,0.22935053,0.897816925,0,0.944792299,0.217845856,0.995157884,0.498538355,0.789704136,0.505934662,0.715130005,0.259059509,0.506476857,0,0.818894147,0.612813106,0.621415892,0.735472526,0.648263373,0.757058803,0.588450762,0.543796841,0.757379853,0.505670812,0.566047098,0.168676678,0.013423166,0.678229812,0.786729203,0.912985231,0.756492527,0.554779269,0.218323015,0.12227844,0.273872652,0.367553375,0.562086377,0.008123462,0.281344622,0.315931062,0.713496214,0.359863681
19,20190418,1,0.146923981,0.518664315,0.165593777,0.312101306,0.575228347,0.578731073,0.427419717,0.538454684,0.702364328,0.519234146,0.542686566,0.645063227,0.73901586,0.441674664,0.807208464,0.921808264,0.181515638,0.973795793,0.706170787,0.476862105,0.744564864,0.443210533,0.77229148,0.53757531,0.836748931,0.387026033,0.975603833,0.300586088,0.706170787,0.476862105,0.654389443,0.580685263,0.406346329,0.58748416,0.839392332,0.241848222,0.740693235,0.213333787,0.631576065,0.713488033,0.567610768,0.49384676,0.885080173,0.391820202,0.585733697,0.243348014,0.561422857,0.505909315,0.458670838,0.349068967,0,0.231465794,0.392149319,0.495680116,0.785743756,0.887439367,0.660398059,0.606886853,0.644691823,0.639455659,0.819720567,0.592631824
21,20190510,1,1,0.686714178,0.491800182,0.516037334,0.900402641,0.049129424,0.170580026,0.513706208,0.184488624,0.331405815,0.393628467,0.526907629,0.514390355,0.155777852,0.944654041,0.155276645,0.466082914,0.465648616,0.159820514,0.654946524,0.028447757,0.285802325,0.12061671,0.316697536,0.159498016,0.10163614,0.02222346,0.396378528,0.159820514,0.654946524,0.046419911,0.170705778,0.546238648,0.438951108,0.806805687,0.125024398,0.181654884,0.740695101,0.540790317,0,0.2096456,0.69391653,0.809418211,0.226052806,0.570491883,0.259230541,0.217598562,0.337131594,0.531854918,0.75247431,0.255459682,0.627683005,0.591672573,0.538565059,0.685432,0.693237836,0.669197813,0.443771097,0.368408736,0.547649231,0.750094993,0.471696383
21,20190513,1,0.431901695,0.570581064,0.359110022,0.665908592,0.579077548,0.621086331,0.803468226,0.359534276,0.829620262,0.728457886,0.175642877,0.822760581,0.772333398,0.101773526,0.937592417,0.696554637,0.320465225,0.785286931,0.701702545,0.430198235,0.796424578,0.233273029,0.716756563,0.231113508,0.677546128,0.131940645,0.676338824,0.362968335,0.701702545,0.430198235,0.781097484,0.348112816,0.081275448,0.370099645,0.715351281,0.255472134,0.491079078,0.650206483,0.595477145,1,0.329636495,0.396647202,0.453160918,0.338664886,0.505696502,0.320821065,0.518081176,0.327243902,0.375942415,0.561078762,1,0.652089085,0.223286012,0.279581855,0.315504679,0.233774678,0.571747774,0,0.151036076,0.600371058,0.767260238,0.313438183
24,20190610,1,0.247603013,0.441301137,0.94898671,0.168472447,1,0.036953216,0.439357279,0.733784223,0.068477037,0.856280672,0.295065831,0.607755005,0.84771166,0.093980689,0.868915474,0.482766711,0.078153624,0.845995917,0.53717713,0.999505365,0.686677782,0.688907986,0.909564266,0.404561326,0.840471523,0.200392706,0.645655992,0.274245235,0.53717713,0.999505365,0.83963104,0.335358691,1,0.043394305,0.680245848,0.153075182,0.216577719,0.42613584,0.632584862,0.610948065,0.682053529,0.733330441,0.292972016,0.178787897,0.715381938,0.420157695,0,0.390437283,0.385838985,0.479052728,0.395435462,0.534404174,0.574489175,0.346334674,0.340666817,0.514579141,0.560532434,0.92075172,0.463565836,0.215218451,0.405516001,0.323161441
