Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy,CH4_Oxy,CH4_Deoxy,CH1_PD730,CH1_PD850,CH2_PD730,CH2_PD850,CH3_PD730,CH3_PD850,CH4_PD730,CH4_PD850,Answers,airplane_playstate,trail_times,frameRate,Airplane X,Airplane Y,Correct,Wrong,Slow,AnswerRate,CorrectRate,VFTstates,VFTchoose,VFTCount,Culfstates,ax,ay,az,gx,gy,gz
0.003,5.27,-2.21,-2.77,0.50,-4.13,3.12,0.22,-5.15,-1.45,-0.77,585.00,1317.00,300.00,661.00,1065.00,1943.00,1217.00,4095.00,,,,,,,,,,,,0,0,0,,604,15556,3828,281,169,296
1.216,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,683.00,1391.00,491.00,831.00,1013.00,2318.00,1482.00,4095.00,,,,,,,,,,,,0,0,0,,-1152,14872,5660,-488,-608,-96
1.237,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,611.00,1424.00,426.00,955.00,976.00,2239.00,1525.00,4095.00,,,,,,,,,,,,0,0,0,,-1056,14956,5504,-532,-172,-201
1.258,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,630.00,1373.00,384.00,859.00,1108.00,2192.00,1519.00,4095.00,,,,,,,,,,,,0,0,0,,-1024,14976,5524,-556,-277,-331
1.279,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,702.00,1355.00,532.00,833.00,976.00,2345.00,1501.00,4095.00,,,,,,,,,,,,0,0,0,,-908,14912,5608,-466,-376,-380
1.3,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,625.00,1467.00,391.00,978.00,987.00,2194.00,1485.00,4095.00,,,,,,,,,,,,0,0,0,,-1032,14960,6016,-354,-299,-422
1.32,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,606.00,1357.00,368.00,849.00,1122.00,2155.00,1527.00,4095.00,,,,,,,,,,,,0,0,0,,-1192,14988,5644,13,1523,22
1.34,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,720.00,1321.00,560.00,810.00,961.00,2359.00,1493.00,4095.00,,,,,,,,,,,,0,0,0,,-1236,15032,5588,160,1625,-125
1.402,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,614.00,1499.00,383.00,1011.00,959.00,2173.00,1478.00,4095.00,,,,,,,,,,,,0,0,0,,-1240,14920,5048,114,1521,-17
1.482,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,572.00,1347.00,385.00,807.00,1123.00,2181.00,1476.00,4095.00,,,,,,,,,,,,0,0,0,,-1332,14884,5132,-42,971,-241
1.515,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,767.00,1274.00,554.00,818.00,953.00,2302.00,1491.00,4095.00,,,,,,,,,,,,0,0,0,,-1392,14788,5056,-49,394,-165
1.552,1.33,-0.01,-3.91,2.18,-5.12,3.79,-0.15,1.13,-0.84,1.24,623.00,1520.00,400.00,968.00,960.00,2192.00,1422.00,4095.00,,,,,,,,,,,,0,0,0,,-1304,14888,5176,84,-274,-34
1.614,1.38,0.08,-3.18,5.17,-1.82,3.29,1.77,-1.27,0.74,-1.10,523.00,1363.00,387.00,861.00,1056.00,2167.00,1568.00,4095.00,,,,,,,,,,,,0,0,0,,-1296,14944,5372,33,-575,-109
1.675,1.44,0.14,4.86,-3.87,1.78,-1.19,1.27,-0.88,-0.04,0.06,737.00,1264.00,462.00,842.00,1043.00,2187.00,1494.00,4095.00,,,,,,,,,,,,0,0,0,,-1344,14884,5392,138,-798,-65
1.717,1.49,0.09,0.46,-1.15,3.05,-2.93,-0.92,1.10,-0.80,1.17,689.00,1398.00,496.00,839.00,975.00,2261.00,1426.00,4095.00,,,,,,,,,,,,0,0,0,,-1208,14904,5328,150,-811,-133
1.839,1.55,0.09,-2.51,3.32,-4.33,3.53,0.07,1.41,-0.07,0.11,571.00,1395.00,400.00,945.00,942.00,2157.00,1491.00,4095.00,,,,,,,,,,,,0,0,0,,-1236,14968,5508,75,-498,-203
1.859,1.60,0.25,1.40,-0.13,-1.10,3.19,3.27,-2.58,-0.11,0.16,641.00,1311.00,384.00,839.00,1103.00,2115.00,1488.00,4095.00,,,,,,,,,,,,0,0,0,,-1180,14980,5396,56,-241,-413
1.9,1.66,0.14,3.31,-2.58,6.37,-6.19,-1.77,1.46,-0.47,0.69,707.00,1298.00,557.00,803.00,971.00,2316.00,1455.00,4095.00,,,,,,,,,,,,0,0,0,,-1264,14968,5028,-3,-306,-472
1.942,1.71,0.15,-2.12,1.61,-6.10,4.21,0.30,1.41,-0.74,1.09,622.00,1438.00,398.00,995.00,938.00,2137.00,1431.00,4095.00,,,,,,,,,,,,0,0,0,,-1336,14976,5248,20,-601,-567
2.003,1.77,0.30,-0.41,2.14,0.06,2.51,3.03,-3.00,0.24,-0.35,586.00,1325.00,390.00,816.00,1133.00,2159.00,1520.00,4095.00,,,,,,,,,,,,0,0,0,,-1332,14816,5220,1,-999,-557
2.064,1.82,0.18,5.34,-5.06,5.50,-6.32,-2.01,1.95,-0.57,0.84,779.00,1280.00,570.00,834.00,950.00,2308.00,1446.00,4095.00,,,,,,,,,,,,0,0,0,,-1336,14884,5252,114,-1120,-447
2.126,1.88,0.18,-2.81,1.64,-5.56,3.94,0.12,1.00,-1.16,1.72,629.00,1477.00,400.00,981.00,962.00,2176.00,1394.00,4095.00,,,,,,,,,,,,0,0,0,,-1320,14848,5468,-105,-861,-272
2.209,1.93,0.27,-2.55,4.33,-1.47,2.56,2.11,-1.99,0.40,-0.59,541.00,1360.00,400.00,866.00,1091.00,2179.00,1535.00,4095.00,,,,,,,,,,,,0,0,0,,-1308,15012,5584,-167,-362,-182
2.23,1.99,0.27,6.00,-5.35,3.19,-3.53,0.27,-0.38,-0.31,0.46,782.00,1257.00,511.00,848.00,1034.00,2245.00,1469.00,4095.00,,,,,,,,,,,,0,0,0,,-1332,14768,5276,-74,21,-96
2.27,2.04,0.22,-0.73,-0.72,1.26,-1.65,-0.72,0.42,-0.89,1.31,688.00,1449.00,478.00,870.00,1008.00,2285.00,1418.00,4095.00,,,,,,,,,,,,0,0,0,,-1312,15068,5228,-230,102,-224
2.331,2.10,0.21,-2.16,2.54,-3.47,1.90,-0.04,0.96,-0.15,0.22,592.00,1405.00,430.00,954.00,967.00,2192.00,1484.00,4095.00,,,,,,,,,,,,0,0,0,,-1224,14980,5356,-152,25,-16
2.391,2.15,0.33,2.55,-1.08,-0.83,2.44,2.68,-2.42,-0.25,0.37,661.00,1285.00,398.00,847.00,1105.00,2155.00,1475.00,4095.00,,,,,,,,,,,,0,0,0,,-1156,14840,5312,-37,-120,-169
2.431,2.21,0.24,2.72,-2.62,5.76,-5.75,-1.51,1.02,-0.75,1.11,716.00,1330.00,550.00,813.00,990.00,2320.00,1430.00,4095.00,,,,,,,,,,,,0,0,0,,-1176,15040,5264,-104,-178,-148
2.494,2.26,0.22,-1.46,1.01,-5.97,3.76,-0.12,1.53,-0.82,1.21,635.00,1424.00,407.00,1002.00,939.00,2166.00,1424.00,4095.00,,,,,,,,,,,,0,0,0,,-1092,14948,5244,-50,-472,-307
2.599,2.32,0.38,0.05,1.51,-0.46,2.78,3.30,-3.37,0.04,-0.05,601.00,1323.00,388.00,827.00,1150.00,2157.00,1501.00,4095.00,,,,,,,,,,,,0,0,0,,-1112,15208,5296,195,-704,-392
2.62,2.37,0.25,4.75,-4.62,5.91,-6.88,-2.24,2.01,-0.82,1.21,769.00,1295.00,583.00,833.00,951.00,2325.00,1424.00,4095.00,,,,,,,,,,,,0,0,0,,-1088,15064,5280,285,-789,-395
2.66,2.43,0.26,-3.07,2.02,-6.89,5.19,0.46,0.62,-1.21,1.79,619.00,1477.00,383.00,1000.00,976.00,2169.00,1390.00,4095.00,,,,,,,,,,,,0,0,0,,-1100,15200,5416,333,-588,-504
2.722,2.48,0.37,-1.45,3.39,-0.67,2.29,2.42,-2.42,0.24,-0.35,558.00,1335.00,400.00,845.00,1110.00,2177.00,1520.00,4095.00,,,,,,,,,,,,0,0,0,,-1128,14924,5324,294,-192,-467
2.785,2.54,0.31,6.38,-5.64,4.41,-5.03,-0.67,0.40,-0.60,0.89,789.00,1248.00,542.00,841.00,1008.00,2281.00,1443.00,4095.00,,,,,,,,,,,,0,0,0,,-1328,15116,5432,453,30,-288
2.827,2.59,0.27,-1.53,0.12,-1.47,0.35,-0.64,0.73,-1.41,2.08,667.00,1462.00,451.00,919.00,990.00,2259.00,1373.00,4095.00,,,,,,,,,,,,0,0,0,,-1464,15376,6152,1345,65,214
2.869,2.65,0.25,-2.06,2.07,-2.97,1.56,-0.13,0.54,-0.27,0.40,606.00,1417.00,434.00,944.00,991.00,2225.00,1473.00,4095.00,,,,,,,,,,,,0,0,0,,-1628,15688,7028,3765,18,820
