Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy,CH4_Oxy,CH4_Deoxy,CH1_PD730,CH1_PD850,CH2_PD730,CH2_PD850,CH3_PD730,CH3_PD850,CH4_PD730,CH4_PD850,Answers,airplane_playstate,trail_times,frameRate,Airplane X,Airplane Y,Correct,Wrong,Slow,AnswerRate,CorrectRate,VFTstates,VFTchoose,VFTCount,Culfstates,ax,ay,az,gx,gy,gz
1.277,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,879.00,2122.00,673.00,1038.00,1171.00,2945.00,438.00,638.00,,,,,,,,,,,,0,0,0,,372,15924,1612,748,-269,-239
1.298,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1005.00,2043.00,752.00,976.00,1157.00,3008.00,405.00,745.00,,,,,,,,,,,,0,0,0,,308,16128,2236,487,-56,-269
1.319,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,963.00,2131.00,735.00,1036.00,1151.00,3018.00,386.00,739.00,,,,,,,,,,,,0,0,0,,188,16408,2268,331,595,-339
1.339,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,934.00,2187.00,713.00,1057.00,1126.00,3002.00,370.00,721.00,,,,,,,,,,,,0,0,0,,304,16164,2084,161,656,-710
1.359,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,917.00,2123.00,688.00,1021.00,1202.00,2957.00,465.00,686.00,,,,,,,,,,,,0,0,0,,0,15968,2268,-619,175,-888
1.381,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1040.00,2036.00,778.00,973.00,1142.00,3055.00,389.00,807.00,,,,,,,,,,,,0,0,0,,-36,15644,2676,-591,13,-353
1.401,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,855.00,2077.00,656.00,997.00,1207.00,2912.00,474.00,627.00,,,,,,,,,,,,0,0,0,,292,15968,3344,-472,564,215
1.442,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1050.00,1968.00,774.00,926.00,1138.00,3061.00,399.00,832.00,,,,,,,,,,,,0,0,0,,332,15908,3184,-482,436,-12
1.463,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,932.00,2225.00,709.00,1106.00,1066.00,2977.00,283.00,731.00,,,,,,,,,,,,0,0,0,,260,15896,3312,-328,152,-74
1.526,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,819.00,2082.00,629.00,1005.00,1213.00,2902.00,493.00,650.00,,,,,,,,,,,,0,0,0,,316,15908,3540,-165,-48,-295
1.587,1.28,-0.02,3.02,-2.93,3.22,-2.49,-0.42,0.11,-2.74,0.89,1042.00,2015.00,767.00,954.00,1159.00,3024.00,411.00,781.00,,,,,,,,,,,,0,0,0,,180,15736,3420,-293,-133,-320
