Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy,CH4_Oxy,CH4_Deoxy,CH1_PD730,CH1_PD850,CH2_PD730,CH2_PD850,CH3_PD730,CH3_PD850,CH4_PD730,CH4_PD850,Answers,airplane_playstate,trail_times,frameRate,Airplane X,Airplane Y,Correct,Wrong,Slow,AnswerRate,CorrectRate,VFTstates,VFTchoose,VFTCount,Culfstates,ax,ay,az,gx,gy,gz
1.161,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,893.00,2003.00,403.00,611.00,672.00,1770.00,1187.00,1643.00,,,,,,,,,,,,0,0,0,,-560,15764,4012,-243,95,-171
1.182,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,784.00,1922.00,208.00,511.00,906.00,1603.00,1385.00,1591.00,,,,,,,,,,,,0,0,0,,-560,15676,4092,-135,62,-174
1.202,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,944.00,1830.00,375.00,343.00,917.00,1697.00,1299.00,1704.00,,,,,,,,,,,,0,0,0,,-580,15580,3988,-144,57,-87
1.222,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,905.00,1945.00,444.00,394.00,811.00,1836.00,1251.00,1697.00,,,,,,,,,,,,0,0,0,,-472,15584,4140,-83,119,-159
1.243,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,885.00,1952.00,354.00,580.00,720.00,1737.00,1289.00,1671.00,,,,,,,,,,,,0,0,0,,-452,15568,4012,-128,124,-210
1.263,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1022.00,1843.00,474.00,299.00,950.00,1776.00,1305.00,1755.00,,,,,,,,,,,,0,0,0,,-468,15540,4224,-70,84,-152
1.283,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,921.00,2003.00,446.00,464.00,735.00,1840.00,1214.00,1695.00,,,,,,,,,,,,0,0,0,,-540,15552,4088,-146,131,-126
1.324,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,818.00,1970.00,267.00,595.00,747.00,1722.00,1335.00,1653.00,,,,,,,,,,,,0,0,0,,-396,15632,4040,-58,182,-159
1.385,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,877.00,1937.00,206.00,455.00,1023.00,1552.00,1341.00,1670.00,,,,,,,,,,,,0,0,0,,-524,15488,4156,-302,52,-270
1.447,1.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,951.00,1839.00,560.00,237.00,857.00,1971.00,1288.00,1751.00,,,,,,,,,,,,0,0,0,,-532,15644,4120,-266,37,-156
1.489,1.33,-0.26,-1.43,0.77,-16.39,5.95,-5.18,8.04,-0.22,0.99,886.00,1995.00,365.00,732.00,593.00,1732.00,1227.00,1653.00,,,,,,,,,,,,0,0,0,,-464,15544,4180,-254,77,-193
1.551,1.39,0.34,-1.53,3.47,-35.00,49.29,11.80,-9.42,4.45,-3.14,767.00,1863.00,49.00,478.00,1120.00,1413.00,1409.00,1535.00,,,,,,,,,,,,0,0,0,,-448,15540,4240,-202,99,-222
1.652,1.44,0.17,5.84,-4.06,51.22,-26.99,-3.03,-0.12,-2.24,0.82,1008.00,1703.00,634.00,122.00,887.00,1980.00,1285.00,1799.00,,,,,,,,,,,,0,0,0,,-544,15472,4312,-168,114,-149
1.673,1.50,-0.12,-2.33,1.01,-13.74,3.23,-5.79,8.33,-1.39,2.69,889.00,2054.00,403.00,709.00,590.00,1760.00,1143.00,1654.00,,,,,,,,,,,,0,0,0,,-444,15520,4128,-179,-1,-288
1.713,1.55,0.22,-3.07,5.10,-25.78,31.77,6.77,-5.09,3.55,-2.98,722.00,1895.00,107.00,531.00,971.00,1535.00,1420.00,1584.00,,,,,,,,,,,,0,0,0,,-588,15488,4188,-209,-13,-180
1.775,1.61,0.34,3.79,-2.86,15.84,-8.22,2.60,-3.07,-0.73,0.14,981.00,1789.00,437.00,299.00,939.00,1715.00,1297.00,1726.00,,,,,,,,,,,,0,0,0,,-544,15632,4368,-99,95,-176
1.838,1.66,0.16,0.20,-0.29,5.59,-5.23,-3.25,2.95,-0.95,1.49,911.00,1924.00,448.00,414.00,754.00,1839.00,1210.00,1679.00,,,,,,,,,,,,0,0,0,,-540,15600,4180,-140,180,-186
1.898,1.72,0.04,-1.32,1.89,-12.84,8.44,-2.27,3.94,0.73,-0.30,832.00,1927.00,299.00,595.00,702.00,1723.00,1293.00,1648.00,,,,,,,,,,,,0,0,0,,-636,15528,4208,-93,128,-168
2.001,1.77,0.47,-0.43,1.24,-12.34,18.70,8.69,-7.11,1.41,-1.02,848.00,1893.00,170.00,443.00,1046.00,1502.00,1328.00,1636.00,,,,,,,,,,,,0,0,0,,-492,15644,4276,-157,125,-44
2.022,1.83,0.28,2.59,-2.40,32.99,-19.81,-3.40,0.55,-1.97,0.70,978.00,1853.00,599.00,207.00,861.00,1973.00,1287.00,1786.00,,,,,,,,,,,,0,0,0,,-436,15584,4212,-179,159,-138
2.062,1.88,-0.06,-2.26,0.72,-16.53,5.74,-6.56,9.49,-1.09,1.73,902.00,2064.00,370.00,740.00,562.00,1759.00,1198.00,1678.00,,,,,,,,,,,,0,0,0,,-520,15504,4248,-200,101,-219
2.103,1.94,0.50,-2.95,3.99,-38.50,53.76,11.26,-9.29,4.17,-3.25,765.00,1943.00,41.00,487.00,1123.00,1438.00,1425.00,1557.00,,,,,,,,,,,,0,0,0,,-440,15584,4304,-29,148,-56
2.168,1.99,0.33,5.33,-4.85,46.00,-25.47,-3.00,-0.38,-3.08,0.96,1062.00,1775.00,642.00,144.00,899.00,1991.00,1295.00,1853.00,,,,,,,,,,,,0,0,0,,-436,15484,4368,-183,190,-186
2.229,2.05,0.03,-2.47,1.04,-13.01,3.54,-5.72,7.45,-1.53,2.55,890.00,2064.00,391.00,683.00,618.00,1797.00,1155.00,1670.00,,,,,,,,,,,,0,0,0,,-528,15460,4312,53,163,-143
2.291,2.10,0.27,-2.54,4.15,-18.92,21.02,4.82,-3.34,3.31,-2.65,753.00,1904.00,169.00,540.00,915.00,1582.00,1401.00,1585.00,,,,,,,,,,,,0,0,0,,-548,15476,4056,-46,32,-129
2.374,2.16,0.41,3.50,-2.18,12.25,-4.62,3.25,-3.33,-0.49,0.08,950.00,1776.00,384.00,313.00,941.00,1683.00,1295.00,1712.00,,,,,,,,,,,,0,0,0,,-516,15608,4296,-14,131,-149
2.396,2.21,0.27,0.47,-0.30,8.97,-7.41,-2.49,1.81,-0.60,1.09,907.00,1904.00,474.00,384.00,791.00,1840.00,1229.00,1674.00,,,,,,,,,,,,0,0,0,,-504,15564,4116,33,148,-180
2.458,2.27,0.12,0.00,0.41,-11.37,5.03,-2.71,4.95,0.56,0.21,880.00,1903.00,350.00,615.00,670.00,1706.00,1262.00,1637.00,,,,,,,,,,,,0,0,0,,-516,15640,4172,-86,-5,-195
2.479,2.32,0.60,-0.34,1.63,-15.39,22.53,9.76,-7.94,2.40,-1.63,829.00,1867.00,146.00,451.00,1073.00,1472.00,1348.00,1599.00,,,,,,,,,,,,0,0,0,,-476,15480,4140,-104,-8,-153
2.542,2.38,0.41,4.01,-3.41,38.05,-22.27,-3.32,0.44,-1.73,0.73,1006.00,1799.00,624.00,181.00,865.00,1973.00,1279.00,1767.00,,,,,,,,,,,,0,0,0,,-532,15544,4332,-39,94,-184
2.605,2.43,0.07,-1.96,1.03,-15.64,5.10,-6.35,9.42,-0.97,1.85,882.00,2023.00,377.00,727.00,562.00,1748.00,1187.00,1664.00,,,,,,,,,,,,0,0,0,,-612,15512,4252,-33,137,-154
2.648,2.49,0.64,-2.56,4.18,-39.83,56.10,11.59,-9.17,4.73,-3.50,752.00,1904.00,37.00,482.00,1109.00,1415.00,1430.00,1533.00,,,,,,,,,,,,0,0,0,,-444,15576,4216,-163,40,-139
2.732,2.54,0.52,6.31,-5.64,42.57,-24.34,-1.90,-0.96,-2.57,0.97,1089.00,1744.00,643.00,160.00,909.00,1936.00,1282.00,1815.00,,,,,,,,,,,,0,0,0,,-580,15444,4184,-350,220,-82
2.793,2.60,0.25,-2.28,0.48,-8.42,0.20,-4.79,5.65,-1.56,2.15,914.00,2079.00,431.00,623.00,670.00,1818.00,1181.00,1690.00,,,,,,,,,,,,0,0,0,,-408,15600,4384,-143,235,-161
2.814,2.65,0.42,-2.52,2.66,-14.76,13.53,3.65,-2.27,2.73,-2.28,816.00,1980.00,235.00,560.00,882.00,1610.00,1388.00,1606.00,,,,,,,,,,,,0,0,0,,-448,15584,4244,-15,116,-213
2.877,2.71,0.58,2.35,-2.12,7.37,-1.06,3.54,-3.91,-1.11,0.09,967.00,1856.00,346.00,345.00,966.00,1690.00,1309.00,1754.00,,,,,,,,,,,,0,0,0,,-516,15532,4156,46,71,-176
2.919,2.76,0.44,0.74,-0.92,14.60,-9.95,-2.27,0.39,-0.65,0.34,933.00,1915.00,491.00,329.00,851.00,1895.00,1281.00,1711.00,,,,,,,,,,,,0,0,0,,-568,15480,4304,-244,80,-172
2.982,2.82,0.23,-0.64,0.61,-13.19,5.59,-3.72,5.71,0.07,0.34,881.00,1942.00,351.00,651.00,655.00,1740.00,1264.00,1663.00,,,,,,,,,,,,0,0,0,,-472,15516,4340,-50,134,-159
3.045,2.87,0.75,-0.65,1.98,-17.78,26.06,10.78,-9.06,2.88,-2.47,818.00,1872.00,126.00,451.00,1119.00,1457.00,1399.00,1605.00,,,,,,,,,,,,0,0,0,,-508,15404,4244,-119,131,-54
3.108,2.93,0.56,4.76,-3.69,43.26,-24.17,-3.15,0.17,-1.77,0.73,1008.00,1760.00,629.00,155.00,875.00,1974.00,1280.00,1770.00,,,,,,,,,,,,0,0,0,,-472,15592,4256,-179,93,-128
3.15,2.98,0.20,-1.59,0.93,-15.82,5.11,-6.70,9.70,-1.04,2.16,881.00,1999.00,378.00,732.00,557.00,1759.00,1169.00,1655.00,,,,,,,,,,,,0,0,0,,-444,15532,4232,-97,216,-88
3.232,3.04,0.77,-2.70,5.06,-39.90,56.12,11.70,-9.30,5.60,-4.24,719.00,1870.00,37.00,483.00,1115.00,1414.00,1465.00,1511.00,,,,,,,,,,,,0,0,0,,-512,15640,4232,-167,208,-175
3.252,3.09,0.71,6.88,-5.54,35.93,-20.55,-0.52,-1.68,-2.14,0.62,1072.00,1701.00,591.00,188.00,922.00,1869.00,1296.00,1801.00,,,,,,,,,,,,0,0,0,,-452,15576,4284,-106,90,-200
3.315,3.15,0.48,-0.96,-0.04,-4.59,-1.47,-3.78,4.37,-1.04,1.46,918.00,2001.00,440.00,560.00,705.00,1808.00,1214.00,1686.00,,,,,,,,,,,,0,0,0,,-496,15524,4224,56,18,-192
3.376,3.20,0.60,-1.79,2.94,-15.52,15.86,2.85,-0.90,2.87,-1.98,793.00,1909.00,210.00,542.00,831.00,1602.00,1362.00,1584.00,,,,,,,,,,,,0,0,0,,-604,15484,4244,-62,50,-161
3.458,3.26,0.84,2.50,-1.49,3.61,2.60,5.42,-4.79,0.25,-0.59,932.00,1814.00,304.00,363.00,979.00,1606.00,1325.00,1693.00,,,,,,,,,,,,0,0,0,,-492,15416,4144,-208,101,-224
3.478,3.31,0.68,1.30,-0.88,20.15,-12.52,-2.43,0.51,-0.63,0.28,922.00,1872.00,510.00,283.00,848.00,1901.00,1285.00,1713.00,,,,,,,,,,,,0,0,0,,-512,15492,4288,-249,84,-221
