Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy,CH4_Oxy,CH4_Deoxy,CH1_PD730,CH1_PD850,CH2_PD730,CH2_PD850,CH3_PD730,CH3_PD850,CH4_PD730,CH4_PD850,Answers,airplane_playstate,trail_times,frameRate,Airplane X,Airplane Y,Correct,Wrong,Slow,AnswerRate,CorrectRate,VFTstates,VFTchoose,VFTCount,Culfstates,ax,ay,az,gx,gy,gz
1.197,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,637.00,1516.00,421.00,1074.00,1776.00,3226.00,1008.00,1633.00,,,,,,,,,,,,0,0,0,,-120,14988,5972,-45,108,-110
1.217,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,823.00,1459.00,928.00,825.00,1619.00,3738.00,950.00,1763.00,,,,,,,,,,,,0,0,0,,0,14948,5688,-75,140,-99
1.238,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,751.00,1588.00,821.00,1098.00,1371.00,3761.00,866.00,1747.00,,,,,,,,,,,,0,0,0,,-24,14996,5804,-182,139,-141
1.259,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,668.00,1555.00,626.00,1165.00,1441.00,3566.00,941.00,1705.00,,,,,,,,,,,,0,0,0,,-64,15024,5900,-149,145,-96
1.28,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,749.00,1520.00,609.00,1035.00,1735.00,3356.00,973.00,1737.00,,,,,,,,,,,,0,0,0,,-24,14852,5932,-142,125,-178
1.301,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,763.00,1535.00,979.00,822.00,1533.00,4095.00,890.00,1813.00,,,,,,,,,,,,0,0,0,,-92,15152,6020,-152,107,-204
1.322,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,640.00,1535.00,466.00,1104.00,1733.00,3359.00,989.00,1680.00,,,,,,,,,,,,0,0,0,,-8,14980,6028,-100,94,-63
1.343,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,799.00,1475.00,865.00,860.00,1616.00,3758.00,947.00,1767.00,,,,,,,,,,,,0,0,0,,96,14920,5880,-90,208,-77
1.364,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,747.00,1583.00,844.00,1052.00,1419.00,3886.00,870.00,1751.00,,,,,,,,,,,,0,0,0,,-12,14856,5804,-188,70,-208
1.467,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,694.00,1525.00,693.00,1178.00,1386.00,3567.00,921.00,1680.00,,,,,,,,,,,,0,0,0,,48,15024,5696,-246,-27,-212
1.488,1.28,0.27,1.22,-0.53,-2.93,5.37,5.36,-4.11,1.10,-1.00,732.00,1478.00,572.00,993.00,1771.00,3280.00,968.00,1699.00,,,,,,,,,,,,0,0,0,,-20,14984,5944,-33,116,-260
1.529,1.34,0.04,2.30,-2.38,15.94,-12.11,-4.35,1.94,-1.82,1.74,793.00,1488.00,1045.00,752.00,1523.00,4095.00,880.00,1772.00,,,,,,,,,,,,0,0,0,,-16,14904,5648,-113,122,-266
1.591,1.39,-0.14,-0.82,0.61,-9.04,3.07,-3.55,6.07,0.54,0.80,714.00,1554.00,724.00,1345.00,1200.00,3551.00,887.00,1655.00,,,,,,,,,,,,0,0,0,,-76,14832,5988,-55,-44,-207
1.651,1.45,0.28,-0.10,1.54,-9.75,14.69,8.24,-6.10,2.86,-2.23,670.00,1473.00,391.00,1013.00,1872.00,3087.00,1002.00,1638.00,,,,,,,,,,,,0,0,0,,92,15044,5940,24,72,-236
1.733,1.50,0.07,5.65,-4.70,22.11,-15.48,-3.82,1.15,-1.75,1.24,846.00,1387.00,1121.00,645.00,1574.00,4095.00,903.00,1791.00,,,,,,,,,,,,0,0,0,,-20,15024,5716,-83,296,-124
1.754,1.56,-0.11,-1.67,0.77,-6.09,0.66,-3.65,5.10,-0.85,1.99,719.00,1600.00,782.00,1277.00,1267.00,3659.00,853.00,1694.00,,,,,,,,,,,,0,0,0,,-16,14936,5672,-166,253,-118
1.816,1.61,0.08,-1.42,2.32,-7.63,8.36,3.70,-2.15,2.06,-1.17,658.00,1520.00,530.00,1104.00,1641.00,3322.00,960.00,1643.00,,,,,,,,,,,,0,0,0,,-48,14848,5736,-117,75,-210
1.858,1.67,0.14,3.34,-2.30,7.75,-4.28,1.36,-1.15,0.16,-0.18,775.00,1425.00,794.00,843.00,1623.00,3549.00,942.00,1725.00,,,,,,,,,,,,0,0,0,,-60,14912,5788,-22,50,-174
