Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy,CH4_Oxy,CH4_Deoxy,CH1_PD730,CH1_PD850,CH2_PD730,CH2_PD850,CH3_PD730,CH3_PD850,CH4_PD730,CH4_PD850,Answers,airplane_playstate,trail_times,frameRate,Airplane X,Airplane Y,Correct,Wrong,Slow,AnswerRate,CorrectRate,VFTstates,VFTchoose,VFTCount,Culfstates,ax,ay,az,gx,gy,gz
1.178,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2022.00,3696.00,1255.00,1290.00,1360.00,2541.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-1504,15636,4144,866,-355,13
1.199,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1908.00,3726.00,1196.00,1408.00,1261.00,2466.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-1392,15424,4096,408,-592,9
1.218,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1782.00,3494.00,1078.00,1351.00,1434.00,2367.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-1172,15196,4420,431,-534,267
1.238,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2000.00,3298.00,1255.00,1219.00,1365.00,2499.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-1156,15492,4424,772,-252,436
1.259,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1886.00,3536.00,1200.00,1360.00,1296.00,2494.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-848,15312,3936,1041,-108,939
1.28,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1817.00,3463.00,1139.00,1363.00,1296.00,2432.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-904,15664,3352,-371,-334,-89
1.301,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1835.00,3422.00,1114.00,1314.00,1394.00,2360.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-932,15556,4072,-295,-357,356
1.362,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1935.00,3347.00,1236.00,1231.00,1391.00,2511.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-616,15684,4144,132,498,791
1.425,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1869.00,3632.00,1174.00,1413.00,1238.00,2439.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-528,15648,3580,236,1147,795
1.571,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1760.00,3503.00,1042.00,1343.00,1431.00,2304.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-220,16004,3164,-26,793,360
1.592,1.33,-0.06,2.98,-2.45,4.86,-3.17,-1.19,0.22,0.00,0.00,2035.00,3333.00,1270.00,1194.00,1360.00,2544.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-300,15996,3324,-163,-89,-171
1.613,1.38,-0.15,-2.76,0.58,-2.12,0.28,-1.79,2.24,0.00,0.00,1917.00,3856.00,1197.00,1435.00,1232.00,2467.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-412,15968,3700,194,-708,-380
