Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy,CH4_Oxy,CH4_Deoxy,CH1_PD730,CH1_PD850,CH2_PD730,CH2_PD850,CH3_PD730,CH3_PD850,CH4_PD730,CH4_PD850,Answers,airplane_playstate,trail_times,frameRate,Airplane X,Airplane Y,Correct,Wrong,Slow,AnswerRate,CorrectRate,VFTstates,VFTchoose,VFTCount,Culfstates,ax,ay,az,gx,gy,gz
1.225,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,351.00,872.00,454.00,505.00,816.00,1980.00,2979.00,4095.00,,,,,,,,,,,,0,0,0,,-2928,15764,2024,185,52,58
1.246,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,350.00,911.00,470.00,573.00,741.00,2001.00,2901.00,4095.00,,,,,,,,,,,,0,0,0,,-2972,15752,1612,62,127,202
1.267,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,295.00,924.00,389.00,589.00,803.00,1917.00,2455.00,4095.00,,,,,,,,,,,,0,0,0,,-2916,15888,1732,35,109,249
1.287,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,343.00,837.00,442.00,508.00,835.00,1975.00,3222.00,4095.00,,,,,,,,,,,,0,0,0,,-2796,15840,1580,-113,3,306
1.308,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,370.00,921.00,483.00,561.00,753.00,2015.00,2516.00,4095.00,,,,,,,,,,,,0,0,0,,-2684,15920,1604,57,57,217
1.329,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,322.00,943.00,441.00,609.00,781.00,1981.00,2864.00,4095.00,,,,,,,,,,,,0,0,0,,-2600,15952,1556,-70,142,164
1.35,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,382.00,927.00,511.00,561.00,799.00,2061.00,2427.00,4095.00,,,,,,,,,,,,0,0,0,,-2780,15832,1476,15,361,66
1.371,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,331.00,976.00,459.00,639.00,773.00,2002.00,3211.00,4095.00,,,,,,,,,,,,0,0,0,,-2772,15912,1524,-29,352,58
1.413,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,345.00,917.00,415.00,582.00,855.00,1959.00,2814.00,4095.00,,,,,,,,,,,,0,0,0,,-2696,15936,1448,0,232,-9
1.475,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,402.00,903.00,501.00,528.00,816.00,2057.00,2663.00,4095.00,,,,,,,,,,,,0,0,0,,-2604,15968,1528,21,150,-89
1.581,1.28,-0.10,-2.12,1.42,-1.21,-0.05,-1.93,2.20,2.05,-3.02,336.00,956.00,468.00,594.00,733.00,2030.00,3183.00,4095.00,,,,,,,,,,,,0,0,0,,-2556,15912,1632,-72,136,-178
1.601,1.34,-0.06,-3.09,3.35,-3.96,4.00,0.63,-0.25,-2.05,3.02,308.00,943.00,395.00,594.00,799.00,1959.00,2472.00,4095.00,,,,,,,,,,,,0,0,0,,-2756,15740,1492,-24,57,-157
1.661,1.39,-0.06,0.55,0.14,2.25,-0.41,0.02,-0.55,1.83,-2.70,343.00,890.00,448.00,523.00,821.00,2023.00,3141.00,4095.00,,,,,,,,,,,,0,0,0,,-2552,15960,1460,-66,91,-135
1.683,1.45,-0.14,-0.68,-0.59,-0.24,-1.23,-1.70,1.43,0.34,-0.50,365.00,953.00,490.00,590.00,761.00,2053.00,2864.00,4095.00,,,,,,,,,,,,0,0,0,,-2716,15996,1592,-100,101,-177
1.743,1.50,-0.10,-4.33,4.75,-5.23,3.92,0.62,-0.27,-1.50,2.22,292.00,954.00,406.00,626.00,800.00,1961.00,2557.00,4095.00,,,,,,,,,,,,0,0,0,,-2684,15788,1576,-143,79,-53
1.784,1.56,-0.05,2.04,-0.94,1.99,-0.73,0.89,-1.40,2.45,-3.62,354.00,864.00,458.00,533.00,846.00,1999.00,3263.00,4095.00,,,,,,,,,,,,0,0,0,,-2608,15968,1448,-96,152,21
1.845,1.61,-0.08,0.65,-1.64,1.37,-1.99,-0.69,0.31,-1.97,2.90,377.00,930.00,496.00,565.00,794.00,2033.00,2485.00,4095.00,,,,,,,,,,,,0,0,0,,-2636,15920,1584,-92,173,-32
1.95,1.67,-0.09,-2.77,2.14,-3.46,1.55,-0.24,0.39,1.19,-1.76,327.00,962.00,447.00,622.00,784.00,1993.00,3019.00,4095.00,,,,,,,,,,,,0,0,0,,-2520,15944,1336,-56,195,-84
1.971,1.72,-0.00,0.21,-0.22,-1.33,1.34,1.66,-2.02,1.03,-1.52,352.00,911.00,435.00,575.00,863.00,1972.00,2989.00,4095.00,,,,,,,,,,,,0,0,0,,-2516,16040,1532,38,137,-129
2.013,1.78,-0.05,1.71,-3.09,2.68,-2.91,-0.99,0.25,-2.04,3.01,400.00,927.00,509.00,550.00,801.00,2061.00,2474.00,4095.00,,,,,,,,,,,,0,0,0,,-2512,15908,1452,34,83,-198
2.056,1.83,-0.10,-3.07,1.63,-3.33,1.18,-1.09,1.32,2.34,-3.45,338.00,987.00,455.00,625.00,757.00,2010.00,3241.00,4095.00,,,,,,,,,,,,0,0,0,,-2668,15980,1460,1,58,-250
2.119,1.89,-0.05,-1.96,2.21,-3.51,3.53,0.98,-0.83,-1.30,1.92,321.00,930.00,402.00,591.00,819.00,1962.00,2589.00,4095.00,,,,,,,,,,,,0,0,0,,-2620,15892,1468,23,103,-230
