Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy,CH4_Oxy,CH4_Deoxy,CH1_PD730,CH1_PD850,CH2_PD730,CH2_PD850,CH3_PD730,CH3_PD850,CH4_PD730,CH4_PD850,Answers,airplane_playstate,trail_times,frameRate,Airplane X,Airplane Y,Correct,Wrong,Slow,AnswerRate,CorrectRate,VFTstates,VFTchoose,VFTCount,Culfstates,ax,ay,az,gx,gy,gz
1.314,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1152.00,1898.00,389.00,599.00,1259.00,1777.00,981.00,1525.00,,,,,,,,,,,,0,0,0,,-1464,14996,4448,-235,0,74
1.335,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1157.00,1918.00,495.00,576.00,1187.00,1902.00,974.00,1680.00,,,,,,,,,,,,0,0,0,,-1188,15488,4980,168,-1146,-445
1.355,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1105.00,1924.00,423.00,694.00,1153.00,1838.00,992.00,1625.00,,,,,,,,,,,,0,0,0,,-1572,14988,4864,290,-246,-543
1.375,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1127.00,1914.00,373.00,623.00,1269.00,1782.00,1081.00,1621.00,,,,,,,,,,,,0,0,0,,-1264,14696,4624,528,661,102
1.395,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1146.00,1915.00,469.00,560.00,1213.00,1854.00,981.00,1597.00,,,,,,,,,,,,0,0,0,,-1300,15224,4100,-163,459,40
1.416,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1157.00,1925.00,431.00,619.00,1111.00,1844.00,923.00,1584.00,,,,,,,,,,,,0,0,0,,-1428,15252,5208,406,342,465
1.436,1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1171.00,1886.00,444.00,620.00,1136.00,1811.00,906.00,1510.00,,,,,,,,,,,,0,0,0,,-2176,14840,4228,-576,2564,-240
1.456,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1104.00,1959.00,355.00,638.00,1183.00,1712.00,943.00,1377.00,,,,,,,,,,,,0,0,0,,-2056,15252,3628,13,2429,162
1.476,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1152.00,1856.00,409.00,522.00,1221.00,1790.00,927.00,1447.00,,,,,,,,,,,,0,0,0,,-2204,14724,3396,-1163,1363,-245
1.537,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1201.00,1959.00,464.00,603.00,1126.00,1815.00,867.00,1456.00,,,,,,,,,,,,0,0,0,,-2400,15348,3780,-1696,574,-750
1.598,1.29,0.08,-1.95,1.63,-5.11,5.53,1.62,-0.27,1.74,-0.07,1088.00,1980.00,346.00,639.00,1168.00,1712.00,931.00,1442.00,,,,,,,,,,,,0,0,0,,-3204,14328,4792,-1740,832,-40
1.64,1.34,0.20,1.57,-1.41,1.51,1.28,2.50,-1.65,0.06,-1.15,1203.00,1869.00,386.00,551.00,1239.00,1716.00,1018.00,1587.00,,,,,,,,,,,,0,0,0,,-2332,14480,5132,-1496,-280,-75
1.701,1.40,0.13,-0.15,-0.23,5.87,-4.33,-1.30,0.72,-1.41,-0.24,1165.00,1939.00,483.00,539.00,1168.00,1872.00,995.00,1641.00,,,,,,,,,,,,0,0,0,,-2348,14696,5020,-307,13,1354
1.761,1.45,0.14,-0.44,0.12,-5.58,3.57,0.45,0.37,1.23,-0.48,1149.00,1943.00,388.00,686.00,1153.00,1763.00,961.00,1488.00,,,,,,,,,,,,0,0,0,,-1876,15024,4396,-772,-58,1065
1.823,1.51,0.27,-0.04,-0.33,-2.38,2.92,2.63,-1.81,2.77,-1.99,1169.00,1936.00,379.00,615.00,1247.00,1715.00,1014.00,1458.00,,,,,,,,,,,,0,0,0,,-1712,15312,4388,-1163,-1444,-646
1.886,1.56,0.26,-0.06,-0.31,4.26,-3.05,0.09,-0.25,-0.58,0.50,1168.00,1936.00,464.00,555.00,1200.00,1818.00,942.00,1557.00,,,,,,,,,,,,0,0,0,,-2380,14516,5344,-1061,-1410,-345
1.927,1.62,0.21,0.05,-0.74,-2.41,0.91,-0.74,1.19,-1.31,1.06,1193.00,1950.00,423.00,650.00,1127.00,1808.00,926.00,1579.00,,,,,,,,,,,,0,0,0,,-2264,15020,5052,-191,-1840,-214
1.988,1.67,0.30,-1.21,0.95,-4.12,4.00,2.07,-0.99,1.71,-1.06,1114.00,1959.00,369.00,640.00,1205.00,1715.00,983.00,1483.00,,,,,,,,,,,,0,0,0,,-1656,14556,4864,415,-2011,1103
2.05,1.73,0.34,1.12,-0.37,4.20,-1.10,1.03,-0.66,1.89,-0.72,1147.00,1851.00,418.00,528.00,1206.00,1771.00,962.00,1459.00,,,,,,,,,,,,0,0,0,,-1224,15364,4988,-61,-1962,580
2.111,1.78,0.27,0.45,-1.06,1.36,-1.05,-1.06,1.69,-0.00,1.92,1205.00,1936.00,439.00,590.00,1103.00,1806.00,863.00,1465.00,,,,,,,,,,,,0,0,0,,-1348,14920,5424,-1890,-2103,-1285
2.195,1.84,0.35,-1.82,1.86,-5.19,5.18,1.96,-0.12,2.57,0.04,1072.00,1958.00,353.00,647.00,1152.00,1683.00,912.00,1392.00,,,,,,,,,,,,0,0,0,,-1872,14316,6164,-938,-908,-1151
2.218,1.89,0.46,1.38,-1.14,0.44,1.40,2.53,-1.15,2.17,-0.78,1190.00,1870.00,391.00,573.00,1205.00,1691.00,960.00,1445.00,,,,,,,,,,,,0,0,0,,-2448,14404,7056,756,246,-114
2.259,1.95,0.41,0.05,-0.21,3.60,-3.45,-0.62,0.55,0.12,0.22,1159.00,1922.00,480.00,576.00,1164.00,1830.00,944.00,1526.00,,,,,,,,,,,,0,0,0,,-1716,14404,5520,1522,-308,81
