Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy,CH4_Oxy,CH4_Deoxy,CH1_PD730,CH1_PD850,CH2_PD730,CH2_PD850,CH3_PD730,CH3_PD850,CH4_PD730,CH4_PD850,Answers,airplane_playstate,trail_times,frameRate,Airplane X,Airplane Y,Correct,Wrong,Slow,AnswerRate,CorrectRate,VFTstates,VFTchoose,VFTCount,Culfstates,ax,ay,az,gx,gy,gz
1.281,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,658.00,959.00,704.00,817.00,1584.00,2672.00,720.00,834.00,,,,,,,,,,,,0,0,0,,-356,16212,-3320,-1309,-1096,-1393
1.302,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,602.00,895.00,680.00,776.00,1628.00,2670.00,816.00,807.00,,,,,,,,,,,,0,0,0,,-4,15680,-2812,-2077,-860,-532
1.322,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,715.00,877.00,722.00,758.00,1609.00,2721.00,741.00,889.00,,,,,,,,,,,,0,0,0,,-188,15856,-1692,-3092,409,732
1.343,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,620.00,978.00,704.00,805.00,1582.00,2719.00,750.00,799.00,,,,,,,,,,,,0,0,0,,80,16588,-1292,-2982,1334,391
1.364,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,664.00,871.00,683.00,796.00,1611.00,2705.00,790.00,850.00,,,,,,,,,,,,0,0,0,,44,16928,-1612,-1903,1881,-305
1.384,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,695.00,945.00,704.00,770.00,1618.00,2741.00,735.00,866.00,,,,,,,,,,,,0,0,0,,-544,16992,-1524,-1825,1614,-1460
1.404,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,646.00,880.00,682.00,793.00,1627.00,2702.00,815.00,822.00,,,,,,,,,,,,0,0,0,,-784,16292,-2076,912,590,-731
1.425,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,708.00,926.00,706.00,762.00,1610.00,2684.00,720.00,854.00,,,,,,,,,,,,0,0,0,,-1124,16696,-2540,588,-410,-1644
1.507,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,608.00,928.00,702.00,751.00,1535.00,2624.00,761.00,777.00,,,,,,,,,,,,0,0,0,,-1700,15940,-2164,385,-909,-1487
1.527,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,659.00,865.00,668.00,778.00,1571.00,2559.00,753.00,836.00,,,,,,,,,,,,0,0,0,,-2052,16060,-2100,-65,-1023,-1425
1.63,1.28,0.05,-1.05,1.00,1.09,-0.17,0.92,-0.22,1.03,0.48,635.00,926.00,688.00,751.00,1590.00,2599.00,727.00,790.00,,,,,,,,,,,,0,0,0,,-2128,15784,-1920,-458,-731,-1211
1.65,1.34,0.06,1.14,0.26,1.33,-0.67,0.29,0.35,0.23,-0.31,635.00,866.00,704.00,754.00,1559.00,2624.00,770.00,833.00,,,,,,,,,,,,0,0,0,,-2312,16208,-2296,278,-938,-759
1.692,1.39,0.08,0.54,-0.69,-0.37,-0.05,0.54,0.18,-1.31,1.86,676.00,910.00,702.00,793.00,1567.00,2611.00,704.00,835.00,,,,,,,,,,,,0,0,0,,-2504,15684,-2336,277,-1520,-590
1.753,1.45,0.14,-1.46,2.59,0.06,0.42,1.25,-0.62,3.28,-1.70,587.00,902.00,679.00,770.00,1615.00,2593.00,785.00,766.00,,,,,,,,,,,,0,0,0,,-2224,15432,-2460,728,-1005,1138
1.815,1.50,0.14,3.33,-1.96,2.01,-1.62,0.13,0.18,-3.02,3.07,688.00,843.00,732.00,753.00,1578.00,2653.00,680.00,865.00,,,,,,,,,,,,0,0,0,,-1796,16620,-2992,638,-1400,1018
1.858,1.56,0.14,-2.28,1.47,-1.27,0.49,0.07,0.45,0.05,1.22,633.00,960.00,693.00,810.00,1557.00,2640.00,711.00,805.00,,,,,,,,,,,,0,0,0,,-1408,15540,-2304,1261,-651,1432
1.918,1.61,0.17,0.21,1.59,-0.47,0.82,0.88,-0.50,2.37,-1.74,601.00,867.00,671.00,778.00,1615.00,2623.00,800.00,795.00,,,,,,,,,,,,0,0,0,,-888,16968,-2804,1180,-219,447
2.0,1.67,0.17,2.11,-1.89,1.83,-1.20,-0.00,-0.02,-1.84,1.85,701.00,883.00,718.00,750.00,1599.00,2681.00,711.00,853.00,,,,,,,,,,,,0,0,0,,-980,16412,-2660,225,-434,-426
2.023,1.72,0.13,-2.44,2.73,0.12,-0.34,-0.44,0.47,1.98,-0.59,593.00,934.00,707.00,784.00,1570.00,2693.00,757.00,783.00,,,,,,,,,,,,0,0,0,,-1288,16384,-2080,-715,-494,-748
2.084,1.78,0.13,2.13,-0.67,-1.26,1.09,0.06,-0.05,-0.26,0.04,656.00,854.00,671.00,797.00,1600.00,2677.00,762.00,841.00,,,,,,,,,,,,0,0,0,,-1580,16104,-1976,-725,-364,-654
2.147,1.83,0.14,-0.40,0.32,1.11,-0.49,0.31,-0.19,-0.01,0.85,651.00,919.00,700.00,757.00,1605.00,2661.00,726.00,815.00,,,,,,,,,,,,0,0,0,,-1576,16120,-1788,238,-25,-564
2.191,1.89,0.15,0.40,1.01,1.02,-0.80,0.37,0.40,1.58,-0.48,618.00,874.00,713.00,766.00,1553.00,2613.00,758.00,793.00,,,,,,,,,,,,0,0,0,,-1740,16664,-2472,604,-114,-616
2.252,1.94,0.19,1.05,-0.28,-0.53,0.62,0.86,0.45,-2.23,2.17,655.00,882.00,679.00,784.00,1535.00,2559.00,704.00,859.00,,,,,,,,,,,,0,0,0,,-1668,16016,-2216,451,-295,-84
2.315,2.00,0.26,-1.67,2.69,0.40,0.25,1.58,-0.43,3.47,-1.24,586.00,907.00,681.00,763.00,1589.00,2547.00,763.00,751.00,,,,,,,,,,,,0,0,0,,-1728,16272,-2368,313,-154,55
2.357,2.05,0.27,3.53,-1.59,2.29,-1.49,0.54,0.19,-0.84,0.73,672.00,828.00,723.00,742.00,1566.00,2610.00,742.00,845.00,,,,,,,,,,,,0,0,0,,-1648,16280,-2172,1738,280,-269
2.42,2.11,0.28,-1.82,1.58,-0.73,0.45,0.56,0.55,-0.33,1.68,624.00,940.00,688.00,794.00,1535.00,2583.00,698.00,807.00,,,,,,,,,,,,0,0,0,,-1620,16336,-2904,1455,248,-419
2.483,2.16,0.35,0.42,1.89,-0.21,1.01,1.59,-0.49,3.13,-1.67,589.00,853.00,661.00,766.00,1594.00,2550.00,786.00,770.00,,,,,,,,,,,,0,0,0,,-1632,16028,-2652,1454,258,-215
2.525,2.22,0.37,3.10,-1.80,2.67,-1.54,0.66,0.12,-1.39,1.81,685.00,847.00,720.00,732.00,1568.00,2602.00,707.00,839.00,,,,,,,,,,,,0,0,0,,-1556,16224,-2900,2551,340,-62
