Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy,CH4_Oxy,CH4_Deoxy,CH1_PD730,CH1_PD850,CH2_PD730,CH2_PD850,CH3_PD730,CH3_PD850,CH4_PD730,CH4_PD850,Answers,airplane_playstate,trail_times,frameRate,Airplane X,Airplane Y,Correct,Wrong,Slow,AnswerRate,CorrectRate,VFTstates,VFTchoose,VFTCount,Culfstates,ax,ay,az,gx,gy,gz
1.03,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,785.00,1756.00,224.00,384.00,437.00,1049.00,757.00,1158.00,,,,,,,,,,,,0,0,0,,-2200,15888,-1376,60,399,-227
1.051,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,805.00,1754.00,225.00,373.00,450.00,1050.00,783.00,1142.00,,,,,,,,,,,,0,0,0,,-2188,16092,-1608,112,91,-439
1.071,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,816.00,1757.00,242.00,368.00,446.00,1073.00,763.00,1191.00,,,,,,,,,,,,0,0,0,,-2368,15964,-1304,-425,10,-204
1.091,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,800.00,1787.00,231.00,389.00,436.00,1067.00,749.00,1165.00,,,,,,,,,,,,0,0,0,,-2364,16224,-968,-690,170,-179
1.112,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,802.00,1775.00,225.00,378.00,461.00,1056.00,787.00,1151.00,,,,,,,,,,,,0,0,0,,-2240,16316,-1048,-649,206,-177
1.133,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,815.00,1743.00,258.00,363.00,439.00,1067.00,748.00,1171.00,,,,,,,,,,,,0,0,0,,-2376,16048,-1740,2529,662,-502
1.154,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,791.00,1766.00,233.00,385.00,429.00,1040.00,739.00,1135.00,,,,,,,,,,,,0,0,0,,-2464,16008,-2388,2146,440,-318
1.216,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,779.00,1745.00,221.00,373.00,449.00,1040.00,783.00,1138.00,,,,,,,,,,,,0,0,0,,-2588,16452,-2600,1851,351,-350
1.297,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,802.00,1739.00,235.00,364.00,445.00,1059.00,751.00,1175.00,,,,,,,,,,,,0,0,0,,-2632,16132,-2508,1375,266,-353
1.318,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,794.00,1760.00,236.00,374.00,434.00,1063.00,747.00,1152.00,,,,,,,,,,,,0,0,0,,-2496,15984,-2804,1194,293,-507
1.379,1.33,0.02,-0.48,0.63,-1.55,1.42,0.31,0.09,0.25,-0.02,779.00,1762.00,222.00,384.00,438.00,1041.00,758.00,1147.00,,,,,,,,,,,,0,0,0,,-2696,15944,-3052,828,126,-515
1.42,1.38,0.02,0.29,-0.10,1.05,-0.43,0.12,-0.26,-0.01,-0.03,799.00,1743.00,234.00,364.00,448.00,1059.00,762.00,1159.00,,,,,,,,,,,,0,0,0,,-2616,15740,-3104,625,10,-319
1.48,1.44,-0.01,-0.15,-0.09,1.11,-0.92,-0.65,0.41,-0.89,0.41,805.00,1773.00,240.00,368.00,438.00,1072.00,756.00,1186.00,,,,,,,,,,,,0,0,0,,-2856,15844,-3180,763,274,-178
1.563,1.49,-0.04,-0.51,0.17,-1.51,0.12,-0.61,0.36,-0.72,0.46,799.00,1786.00,238.00,397.00,439.00,1072.00,752.00,1177.00,,,,,,,,,,,,0,0,0,,-2748,15944,-3172,663,409,-121
1.604,1.55,-0.03,-0.36,0.03,-0.81,0.51,0.26,-0.76,0.23,-0.80,803.00,1782.00,230.00,382.00,459.00,1067.00,791.00,1172.00,,,,,,,,,,,,0,0,0,,-2560,16076,-3520,626,639,-295
1.645,1.60,-0.06,0.12,-0.68,1.08,-1.89,-0.65,-0.01,-1.20,0.47,827.00,1782.00,253.00,378.00,448.00,1084.00,758.00,1199.00,,,,,,,,,,,,0,0,0,,-2564,16000,-3524,194,504,-354
1.708,1.66,-0.07,-0.58,0.38,-1.79,0.52,-0.38,0.58,-0.26,0.70,791.00,1781.00,234.00,397.00,432.00,1056.00,736.00,1148.00,,,,,,,,,,,,0,0,0,,-2620,15996,-3452,45,206,-433
1.77,1.71,-0.04,-0.26,0.44,-1.08,1.01,0.56,-0.45,0.55,-0.34,784.00,1756.00,225.00,381.00,449.00,1046.00,767.00,1143.00,,,,,,,,,,,,0,0,0,,-2704,15960,-3300,165,189,-436
1.812,1.77,-0.06,0.33,-0.18,1.11,-0.92,-0.37,0.32,-0.70,0.67,802.00,1744.00,240.00,368.00,438.00,1063.00,743.00,1169.00,,,,,,,,,,,,0,0,0,,-2580,15736,-3516,-82,587,-553
1.872,1.82,-0.08,-0.29,0.14,-0.20,-0.48,-0.50,0.62,-0.32,0.57,797.00,1772.00,240.00,383.00,432.00,1060.00,742.00,1155.00,,,,,,,,,,,,0,0,0,,-2740,15992,-3608,-230,237,-263
1.934,1.88,-0.07,-0.71,0.82,-0.65,0.38,0.23,-0.01,0.05,-0.05,774.00,1769.00,231.00,381.00,441.00,1047.00,762.00,1157.00,,,,,,,,,,,,0,0,0,,-2796,15960,-3476,24,10,-335
2.058,1.93,-0.05,0.25,-0.09,1.15,-1.09,0.22,-0.42,-0.15,0.02,799.00,1745.00,242.00,369.00,451.00,1059.00,762.00,1164.00,,,,,,,,,,,,0,0,0,,-2776,15976,-3520,480,239,-383
2.078,1.99,-0.09,-0.17,-0.11,0.49,-0.71,-0.85,0.61,-0.85,0.45,806.00,1775.00,240.00,375.00,435.00,1075.00,754.00,1183.00,,,,,,,,,,,,0,0,0,,-2824,15608,-3792,648,220,-237
2.12,2.04,-0.12,-0.64,0.21,-0.93,-0.08,-0.73,0.57,-0.71,0.52,799.00,1793.00,238.00,390.00,435.00,1071.00,749.00,1174.00,,,,,,,,,,,,0,0,0,,-2896,15540,-3756,314,175,-182
2.161,2.10,-0.10,-0.37,0.19,-1.05,0.67,0.41,-1.05,0.19,-0.76,796.00,1775.00,229.00,384.00,465.00,1069.00,790.00,1173.00,,,,,,,,,,,,0,0,0,,-2808,15636,-3472,-79,120,-84
2.223,2.15,-0.13,0.08,-0.64,1.62,-2.28,-0.82,0.01,-1.66,0.65,826.00,1783.00,256.00,374.00,449.00,1091.00,757.00,1215.00,,,,,,,,,,,,0,0,0,,-2904,15832,-3320,-338,247,-180
2.284,2.21,-0.16,-0.60,0.18,0.15,-2.15,-0.61,0.36,-0.19,0.40,800.00,1792.00,261.00,395.00,439.00,1072.00,747.00,1154.00,,,,,,,,,,,,0,0,0,,-2884,16068,-3532,-119,346,-236
2.326,2.26,-0.12,-0.28,0.47,-2.07,2.18,0.62,-0.52,0.67,-0.47,783.00,1756.00,215.00,384.00,450.00,1045.00,771.00,1142.00,,,,,,,,,,,,0,0,0,,-2740,15792,-3416,169,182,-151
2.428,2.32,-0.11,0.23,-0.01,0.96,-0.40,0.08,-0.21,-0.78,0.80,796.00,1743.00,234.00,365.00,447.00,1059.00,739.00,1169.00,,,,,,,,,,,,0,0,0,,-2688,15852,-3748,365,324,-252
2.448,2.37,-0.14,-0.23,0.21,0.36,-0.82,-0.68,0.80,-0.64,0.65,793.00,1764.00,242.00,378.00,429.00,1062.00,743.00,1167.00,,,,,,,,,,,,0,0,0,,-2696,15764,-3904,515,68,-349
2.469,2.43,-0.14,-0.61,0.65,-1.05,0.67,-0.14,0.32,0.02,0.06,780.00,1770.00,229.00,384.00,436.00,1053.00,758.00,1155.00,,,,,,,,,,,,0,0,0,,-2732,15432,-3788,277,159,-67
2.531,2.48,-0.12,0.18,0.05,0.74,-0.49,0.12,-0.26,-0.23,0.17,794.00,1743.00,236.00,369.00,448.00,1059.00,757.00,1163.00,,,,,,,,,,,,0,0,0,,-2752,15768,-4004,-197,-111,-250
2.593,2.54,-0.14,0.11,-0.20,1.00,-1.26,-0.47,0.14,-0.89,0.51,806.00,1760.00,245.00,373.00,443.00,1072.00,752.00,1183.00,,,,,,,,,,,,0,0,0,,-2912,15888,-3436,-501,-97,-31
2.635,2.59,-0.16,-0.53,0.36,-1.08,0.05,-0.52,0.33,-0.74,0.63,791.00,1778.00,237.00,391.00,439.00,1069.00,745.00,1172.00,,,,,,,,,,,,0,0,0,,-2844,15924,-3348,-259,173,-51
