Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy,CH4_Oxy,CH4_Deoxy,CH1_PD730,CH1_PD850,CH2_PD730,CH2_PD850,CH3_PD730,CH3_PD850,CH4_PD730,CH4_PD850,Answers,airplane_playstate,trail_times,frameRate,Airplane X,Airplane Y,Correct,Wrong,Slow,AnswerRate,CorrectRate,VFTstates,VFTchoose,VFTCount,Culfstates,ax,ay,az,gx,gy,gz
1.337,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3360.00,4095.00,741.00,1965.00,1088.00,3233.00,1498.00,3093.00,,,,,,,,,,,,0,0,0,,-212,16424,-648,63,215,20
1.357,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3199.00,4095.00,726.00,1958.00,1040.00,3220.00,1485.00,3099.00,,,,,,,,,,,,0,0,0,,-268,16416,-896,40,457,-226
1.377,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3343.00,4095.00,693.00,1980.00,1047.00,3216.00,1507.00,3071.00,,,,,,,,,,,,0,0,0,,-272,16292,-1048,-59,341,-100
1.397,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3279.00,4095.00,722.00,1964.00,1088.00,3233.00,1490.00,3105.00,,,,,,,,,,,,0,0,0,,-312,16216,-876,-189,144,-121
1.419,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3249.00,4095.00,734.00,1975.00,1072.00,3255.00,1488.00,3115.00,,,,,,,,,,,,0,0,0,,-208,16416,-972,-326,101,-115
1.438,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3345.00,4095.00,720.00,1989.00,1081.00,3248.00,1506.00,3107.00,,,,,,,,,,,,0,0,0,,-224,16388,-756,-154,128,-120
1.459,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3312.00,4095.00,725.00,1941.00,1089.00,3271.00,1511.00,3142.00,,,,,,,,,,,,0,0,0,,-484,16256,-1128,254,-157,-364
1.479,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3168.00,4095.00,722.00,1966.00,1072.00,3277.00,1493.00,3150.00,,,,,,,,,,,,0,0,0,,-656,16240,-1188,211,-78,-288
1.539,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3317.00,4095.00,706.00,1984.00,1088.00,3271.00,1517.00,3135.00,,,,,,,,,,,,0,0,0,,-592,16432,-1032,229,54,-112
1.602,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3216.00,4095.00,725.00,1955.00,1095.00,3270.00,1520.00,3152.00,,,,,,,,,,,,0,0,0,,-588,16232,-1060,106,72,-280
1.643,1.28,-0.01,-0.22,0.32,0.58,-0.54,-0.15,0.02,-0.29,0.08,3235.00,4095.00,735.00,1951.00,1078.00,3267.00,1503.00,3146.00,,,,,,,,,,,,0,0,0,,-692,16324,-1176,183,-2,-53
1.704,1.33,-0.00,0.07,-0.11,-0.01,0.01,0.09,0.04,1.39,-0.51,3294.00,4095.00,721.00,1968.00,1072.00,3235.00,1505.00,2991.00,,,,,,,,,,,,0,0,0,,-592,16228,-984,300,29,119
1.746,1.39,0.03,-0.64,0.95,0.24,0.34,0.67,-0.72,0.33,-0.52,3151.00,4095.00,705.00,1931.00,1105.00,3226.00,1535.00,3120.00,,,,,,,,,,,,0,0,0,,-568,16560,-1228,323,160,59
1.867,1.45,0.02,0.16,-0.24,1.31,-1.06,-0.09,-0.07,-0.37,0.07,3312.00,4095.00,746.00,1922.00,1082.00,3267.00,1506.00,3157.00,,,,,,,,,,,,0,0,0,,-452,16392,-1432,260,143,-244
1.888,1.50,0.02,-0.39,0.58,0.02,0.05,-0.09,0.15,-0.17,0.06,3200.00,4095.00,719.00,1963.00,1069.00,3248.00,1501.00,3133.00,,,,,,,,,,,,0,0,0,,-588,16292,-1280,65,109,-167
1.909,1.55,0.05,-0.32,0.48,0.10,0.34,0.59,-0.54,0.68,-0.60,3214.00,4095.00,707.00,1942.00,1096.00,3221.00,1532.00,3083.00,,,,,,,,,,,,0,0,0,,-584,16212,-1388,215,69,38
1.97,1.61,0.05,0.01,-0.01,0.74,-0.37,0.05,-0.19,-0.14,-0.18,3280.00,4095.00,726.00,1930.00,1086.00,3259.00,1520.00,3149.00,,,,,,,,,,,,0,0,0,,-608,16392,-1372,309,245,82
2.031,1.66,0.04,-0.72,1.06,0.22,-0.14,-0.14,0.10,-0.17,0.19,3137.00,4095.00,724.00,1958.00,1073.00,3259.00,1491.00,3122.00,,,,,,,,,,,,0,0,0,,-492,16264,-1436,225,301,127
2.092,1.72,0.05,0.01,-0.01,-0.30,0.47,0.19,-0.27,0.03,-0.24,3280.00,4095.00,707.00,1966.00,1088.00,3248.00,1520.00,3133.00,,,,,,,,,,,,0,0,0,,-404,16404,-1592,138,279,33
2.135,1.77,0.05,-0.38,0.56,0.42,-0.26,0.11,-0.48,-0.17,-0.21,3203.00,4095.00,726.00,1949.00,1102.00,3277.00,1523.00,3155.00,,,,,,,,,,,,0,0,0,,-336,16384,-1632,50,180,-182
2.216,1.83,0.03,-0.34,0.51,0.26,-0.43,-0.40,-0.07,-0.65,0.13,3210.00,4095.00,735.00,1970.00,1088.00,3307.00,1509.00,3187.00,,,,,,,,,,,,0,0,0,,-480,16212,-1688,-67,72,-118
2.237,1.88,0.01,-0.01,0.02,-0.44,0.01,-0.33,-0.03,-0.20,-0.18,3276.00,4095.00,727.00,2002.00,1084.00,3294.00,1522.00,3157.00,,,,,,,,,,,,0,0,0,,-388,16328,-1532,-116,107,-367
2.299,1.94,0.04,-0.67,0.98,0.11,-0.00,0.63,-0.95,0.34,-0.75,3147.00,4095.00,720.00,1959.00,1120.00,3251.00,1554.00,3138.00,,,,,,,,,,,,0,0,0,,-408,16332,-1436,-268,184,-285
2.36,2.00,0.03,0.15,-0.22,1.29,-1.20,-0.08,-0.18,-0.51,0.07,3309.00,4095.00,752.00,1931.00,1088.00,3275.00,1510.00,3175.00,,,,,,,,,,,,0,0,0,,-356,16328,-1280,-311,118,-308
2.403,2.05,0.04,-0.40,0.59,0.09,0.03,0.05,0.00,-0.11,-0.01,3199.00,4095.00,719.00,1959.00,1075.00,3243.00,1505.00,3131.00,,,,,,,,,,,,0,0,0,,-572,16392,-1352,-272,72,-229
2.485,2.10,0.07,-0.38,0.56,0.11,0.44,0.68,-0.70,0.34,-0.52,3203.00,4095.00,703.00,1936.00,1104.00,3223.00,1535.00,3119.00,,,,,,,,,,,,0,0,0,,-492,16464,-1356,-114,163,-248
2.546,2.16,0.07,0.02,-0.02,0.82,-0.37,0.19,-0.27,-0.11,-0.12,3282.00,4095.00,725.00,1924.00,1088.00,3248.00,1514.00,3140.00,,,,,,,,,,,,0,0,0,,-492,16284,-1296,-82,192,-163
2.588,2.21,0.07,-0.64,0.94,1.18,-1.14,-0.07,0.09,-0.29,0.14,3152.00,4095.00,751.00,1936.00,1072.00,3250.00,1498.00,3141.00,,,,,,,,,,,,0,0,0,,-440,16376,-1492,-133,142,-162
2.63,2.27,0.08,0.01,-0.01,0.29,-0.01,0.32,-0.40,0.13,-0.27,3280.00,4095.00,718.00,1946.00,1093.00,3243.00,1520.00,3123.00,,,,,,,,,,,,0,0,0,,-388,16276,-1420,-259,153,-225
2.692,2.33,0.09,-0.37,0.55,-0.40,0.25,0.34,-0.50,-0.17,-0.18,3204.00,4095.00,717.00,1986.00,1099.00,3250.00,1521.00,3153.00,,,,,,,,,,,,0,0,0,,-448,16492,-1356,-198,181,-249
2.733,2.38,0.08,-0.34,0.50,0.30,-0.32,-0.23,-0.09,-0.48,0.07,3211.00,4095.00,730.00,1961.00,1086.00,3287.00,1509.00,3171.00,,,,,,,,,,,,0,0,0,,-480,16388,-1340,-246,208,-226
2.795,2.43,0.06,0.03,-0.04,-0.13,-0.10,-0.22,-0.03,-0.25,-0.12,3284.00,4095.00,727.00,1983.00,1082.00,3280.00,1518.00,3158.00,,,,,,,,,,,,0,0,0,,-480,16180,-1364,-212,147,-174
2.857,2.49,0.08,-0.63,0.93,-0.20,0.23,0.33,-0.77,-0.12,-0.37,3154.00,4095.00,715.00,1971.00,1115.00,3274.00,1535.00,3163.00,,,,,,,,,,,,0,0,0,,-436,16204,-1336,-236,141,-268
2.96,2.54,0.05,0.20,-0.29,0.90,-1.14,-0.41,-0.25,-0.79,0.04,3319.00,4095.00,755.00,1958.00,1099.00,3325.00,1520.00,3212.00,,,,,,,,,,,,0,0,0,,-480,16564,-1340,-105,122,-332
2.981,2.60,0.04,-0.32,0.48,-0.26,0.07,-0.23,0.11,-0.28,0.05,3214.00,4095.00,722.00,1984.00,1074.00,3269.00,1505.00,3147.00,,,,,,,,,,,,0,0,0,,-596,16400,-1336,-35,73,-369
3.022,2.65,0.07,-0.33,0.48,0.09,0.42,0.59,-0.64,0.29,-0.51,3213.00,4095.00,704.00,1939.00,1102.00,3229.00,1535.00,3123.00,,,,,,,,,,,,0,0,0,,-640,16228,-1248,2,-21,-147
3.085,2.71,0.08,0.10,-0.15,0.90,-0.40,0.39,-0.39,-0.14,-0.03,3299.00,4095.00,725.00,1919.00,1091.00,3233.00,1508.00,3137.00,,,,,,,,,,,,0,0,0,,-536,16472,-1224,42,185,-69
3.167,2.77,0.08,-0.65,0.96,0.70,-0.17,0.06,0.05,-0.28,0.22,3150.00,4095.00,719.00,1923.00,1072.00,3237.00,1491.00,3133.00,,,,,,,,,,,,0,0,0,,-580,16536,-1280,30,338,-10
3.187,2.82,0.10,0.07,-0.11,0.20,0.49,0.49,-0.37,0.27,-0.32,3294.00,4095.00,700.00,1927.00,1088.00,3219.00,1520.00,3110.00,,,,,,,,,,,,0,0,0,,-660,16292,-1444,10,263,-358
3.248,2.87,0.12,-0.33,0.49,0.79,-0.15,0.41,-0.39,-0.06,-0.18,3212.00,4095.00,717.00,1915.00,1091.00,3231.00,1518.00,3140.00,,,,,,,,,,,,0,0,0,,-496,16388,-1580,-143,67,-136
3.33,2.93,0.11,-0.30,0.44,0.72,-0.46,0.05,-0.14,-0.29,0.07,3219.00,4095.00,730.00,1936.00,1083.00,3255.00,1504.00,3147.00,,,,,,,,,,,,0,0,0,,-464,16408,-1340,-164,11,-303
3.351,2.98,0.11,0.06,-0.09,0.07,-0.01,0.13,-0.20,0.01,-0.23,3291.00,4095.00,721.00,1963.00,1085.00,3250.00,1520.00,3135.00,,,,,,,,,,,,0,0,0,,-612,16316,-1268,-179,21,-410
3.412,3.04,0.14,-0.65,0.97,0.15,0.32,0.61,-0.78,0.15,-0.46,3149.00,4095.00,707.00,1939.00,1110.00,3239.00,1535.00,3137.00,,,,,,,,,,,,0,0,0,,-704,16324,-1364,-8,-41,-324
3.474,3.10,0.12,0.17,-0.26,1.21,-1.13,-0.18,-0.19,-0.59,0.05,3314.00,4095.00,750.00,1933.00,1091.00,3290.00,1514.00,3187.00,,,,,,,,,,,,0,0,0,,-772,16100,-1388,19,101,-225
3.516,3.15,0.11,-0.38,0.56,-0.15,0.09,-0.22,0.04,-0.30,0.04,3203.00,4095.00,720.00,1975.00,1078.00,3274.00,1506.00,3150.00,,,,,,,,,,,,0,0,0,,-636,16272,-1348,-99,191,-86
3.557,3.20,0.12,-0.31,0.46,-0.10,0.35,0.34,-0.62,0.08,-0.44,3216.00,4095.00,709.00,1957.00,1106.00,3260.00,1535.00,3143.00,,,,,,,,,,,,0,0,0,,-524,16420,-1556,-154,268,-67
3.618,3.26,0.11,0.08,-0.13,0.49,-0.46,-0.00,-0.22,-0.30,-0.05,3296.00,4095.00,733.00,1954.00,1089.00,3269.00,1514.00,3159.00,,,,,,,,,,,,0,0,0,,-648,16212,-1212,-325,134,-241
3.699,3.31,0.11,-0.64,0.94,0.48,-0.13,0.04,0.07,-0.19,0.16,3152.00,4095.00,720.00,1937.00,1071.00,3238.00,1494.00,3127.00,,,,,,,,,,,,0,0,0,,-660,16352,-1340,-197,132,-163
3.719,3.37,0.18,0.13,-0.20,0.22,0.62,1.47,-1.61,0.31,-0.33,3306.00,4095.00,695.00,1919.00,1143.00,3201.00,1520.00,3106.00,,,,,,,,,,,,0,0,0,,-624,16420,-1180,-132,118,-107
3.801,3.42,0.20,-0.30,0.45,0.81,-0.00,0.59,-0.42,0.07,-0.16,3218.00,4095.00,711.00,1906.00,1089.00,3210.00,1513.00,3122.00,,,,,,,,,,,,0,0,0,,-608,16400,-1292,11,301,-431
3.843,3.48,0.20,-0.30,0.45,1.20,-0.55,0.18,-0.15,0.21,-0.19,3218.00,4095.00,727.00,1904.00,1081.00,3239.00,1511.00,3107.00,,,,,,,,,,,,0,0,0,,-460,16324,-1400,-27,198,-334
3.905,3.54,0.20,0.05,-0.07,0.47,-0.07,0.35,-0.10,0.08,-0.18,3289.00,4095.00,718.00,1935.00,1075.00,3213.00,1514.00,3122.00,,,,,,,,,,,,0,0,0,,-648,16224,-1328,-49,281,-291
3.966,3.59,0.23,-0.65,0.97,0.35,0.31,0.78,-0.89,0.34,-0.52,3149.00,4095.00,705.00,1925.00,1113.00,3226.00,1535.00,3119.00,,,,,,,,,,,,0,0,0,,-616,16384,-1472,-131,201,-184
