Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy,CH4_Oxy,CH4_Deoxy,CH1_PD730,CH1_PD850,CH2_PD730,CH2_PD850,CH3_PD730,CH3_PD850,CH4_PD730,CH4_PD850,Answers,airplane_playstate,trail_times,frameRate,Airplane X,Airplane Y,Correct,Wrong,Slow,AnswerRate,CorrectRate,VFTstates,VFTchoose,VFTCount,Culfstates,ax,ay,az,gx,gy,gz
1.326,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,848.00,686.00,1054.00,1582.00,3182.00,0.00,43.00,,,,,,,,,,,,0,1,0,,-1044,16124,716,183,-197,-144
1.347,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,214.00,849.00,709.00,1047.00,1566.00,3222.00,0.00,90.00,,,,,,,,,,,,0,1,0,,-952,16160,792,92,-273,-39
1.368,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,205.00,878.00,698.00,1083.00,1553.00,3216.00,0.00,68.00,,,,,,,,,,,,0,1,0,,-1128,16432,664,40,-125,77
1.389,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,194.00,851.00,675.00,1063.00,1575.00,3143.00,0.00,64.00,,,,,,,,,,,,0,1,0,,-940,16224,904,64,2,-103
1.41,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,220.00,848.00,702.00,1050.00,1555.00,3169.00,0.00,95.00,,,,,,,,,,,,0,1,0,,-872,16148,828,-39,-47,48
1.43,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,217.00,917.00,693.00,1075.00,1554.00,3193.00,0.00,68.00,,,,,,,,,,,,0,1,0,,-956,16180,1128,10,68,-240
1.452,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,208.00,907.00,670.00,1058.00,1555.00,3152.00,0.00,50.00,,,,,,,,,,,,0,1,0,,-968,16108,1016,76,85,-126
1.514,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,222.00,892.00,688.00,1035.00,1568.00,3184.00,0.00,71.00,,,,,,,,,,,,0,1,0,,-972,16144,1148,-155,187,-84
1.555,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,222.00,912.00,695.00,1045.00,1527.00,3200.00,0.00,77.00,,,,,,,,,,,,0,1,0,,-980,16140,976,-270,182,-202
1.618,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,208.00,914.00,663.00,1081.00,1558.00,3167.00,0.00,49.00,,,,,,,,,,,,0,1,0,,-836,16016,1128,-238,321,1
1.68,1.33,-0.00,0.22,-1.01,0.42,-0.01,-0.03,-0.10,nan,nan,222.00,898.00,683.00,1042.00,1569.00,3196.00,0.00,72.00,,,,,,,,,,,,0,1,0,,-728,16292,1028,-18,327,53
1.721,1.38,-0.02,0.42,-2.05,0.55,-0.66,-0.42,0.07,nan,nan,234.00,916.00,706.00,1055.00,1565.00,3230.00,0.00,91.00,,,,,,,,,,,,0,1,0,,-796,16332,884,99,275,-109
1.785,1.44,-0.05,-1.24,-0.52,-0.97,0.32,-0.51,0.23,nan,nan,222.00,939.00,688.00,1091.00,1554.00,3227.00,0.00,79.00,,,,,,,,,,,,0,1,0,,-780,16192,820,126,51,-157
1.89,1.49,-0.05,-0.87,-0.23,-0.46,0.26,-0.14,-0.41,nan,nan,217.00,918.00,684.00,1071.00,1598.00,3235.00,0.00,70.00,,,,,,,,,,,,0,1,0,,-864,16148,1060,31,90,-159
1.931,1.55,-0.10,1.28,-3.19,0.65,-1.06,-0.93,0.03,nan,nan,245.00,913.00,720.00,1062.00,1583.00,3299.00,0.00,102.00,,,,,,,,,,,,0,1,0,,-896,16168,1024,-46,353,-115
1.952,1.60,-0.14,-1.27,-0.76,-1.01,-0.06,-0.94,0.16,nan,nan,225.00,946.00,703.00,1104.00,1573.00,3290.00,0.00,80.00,,,,,,,,,,,,0,1,0,,-768,16252,856,-86,512,-107
1.995,1.66,-0.16,-1.37,0.03,-1.07,0.55,-0.67,-0.22,nan,nan,216.00,930.00,681.00,1089.00,1597.00,3287.00,0.00,64.00,,,,,,,,,,,,0,1,0,,-640,16232,808,-80,282,-128
2.056,1.71,-0.20,0.18,-1.97,-0.16,-0.22,-0.98,-0.04,nan,nan,234.00,923.00,698.00,1072.00,1591.00,3312.00,0.00,82.00,,,,,,,,,,,,0,1,0,,-748,16388,748,117,-73,-218
2.118,1.77,-0.25,-0.67,-1.12,-0.22,-0.30,-1.03,0.64,nan,nan,227.00,933.00,702.00,1077.00,1535.00,3259.00,0.00,85.00,,,,,,,,,,,,0,1,0,,-724,16104,864,139,-233,-340
2.181,1.82,-0.24,-1.35,0.28,-0.99,1.02,-0.13,-0.07,nan,nan,213.00,923.00,663.00,1072.00,1569.00,3205.00,0.00,58.00,,,,,,,,,,,,0,1,0,,-868,16252,896,-51,-411,-414
2.263,1.88,-0.23,0.11,-1.22,0.60,-0.20,-0.14,-0.20,nan,nan,225.00,907.00,688.00,1040.00,1580.00,3217.00,0.00,77.00,,,,,,,,,,,,0,1,0,,-968,16024,1144,-76,-288,-313
2.284,1.93,-0.26,-0.07,-1.89,0.32,-0.53,-0.69,0.27,nan,nan,234.00,930.00,704.00,1061.00,1556.00,3247.00,0.00,91.00,,,,,,,,,,,,0,1,0,,-952,16200,1136,-64,39,-343
2.326,1.99,-0.27,-0.88,-1.05,-0.73,0.24,-0.44,0.07,nan,nan,227.00,939.00,688.00,1083.00,1566.00,3233.00,0.00,79.00,,,,,,,,,,,,0,1,0,,-1044,16096,872,-24,273,-296
2.386,2.04,-0.26,-0.56,-1.32,-0.29,0.61,-0.10,-0.44,nan,nan,229.00,934.00,669.00,1054.00,1600.00,3234.00,0.00,79.00,,,,,,,,,,,,0,1,0,,-968,16124,716,-162,158,-207
2.45,2.10,-0.29,0.83,-3.78,0.68,-1.07,-0.83,0.11,nan,nan,255.00,944.00,720.00,1061.00,1574.00,3280.00,0.00,105.00,,,,,,,,,,,,0,1,0,,-948,16236,1104,-84,57,-217
2.49,2.15,-0.32,-1.45,-1.66,-1.06,0.22,-0.85,0.30,nan,nan,237.00,976.00,693.00,1098.00,1558.00,3265.00,0.00,79.00,,,,,,,,,,,,0,1,0,,-1016,16168,948,1,45,-185
2.635,2.21,-0.32,-1.30,-0.83,-1.37,0.81,-0.33,-0.38,nan,nan,226.00,949.00,675.00,1094.00,1601.00,3257.00,0.00,64.00,,,,,,,,,,,,0,1,0,,-916,16244,804,50,68,-134
2.655,2.26,-0.35,0.49,-3.07,0.50,-0.60,-0.91,-0.02,nan,nan,247.00,939.00,704.00,1055.00,1587.00,3301.00,0.00,81.00,,,,,,,,,,,,0,1,0,,-972,16284,852,-55,17,-286
2.676,2.32,-0.40,-0.91,-1.21,-0.56,0.00,-1.43,0.37,nan,nan,229.00,944.00,695.00,1083.00,1569.00,3335.00,0.00,82.00,,,,,,,,,,,,0,1,0,,-1108,16236,884,18,16,-365
2.697,2.37,-0.43,-2.06,0.61,-1.40,0.96,-0.95,-0.09,nan,nan,212.00,941.00,670.00,1091.00,1594.00,3312.00,0.00,60.00,,,,,,,,,,,,0,1,0,,-1072,16188,1040,35,-17,-359
2.759,2.43,-0.47,-0.03,-1.66,0.05,-0.21,-1.21,-0.19,nan,nan,231.00,923.00,695.00,1063.00,1610.00,3355.00,0.00,83.00,,,,,,,,,,,,0,1,0,,-1228,16232,788,-18,-28,-188
2.801,2.48,-0.54,-0.28,-1.89,-0.19,-0.73,-1.88,0.34,nan,nan,235.00,938.00,718.00,1088.00,1584.00,3397.00,0.00,94.00,,,,,,,,,,,,0,1,0,,-1188,16160,824,-63,142,-25
