Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy,CH4_Oxy,CH4_Deoxy,CH1_PD730,CH1_PD850,CH2_PD730,CH2_PD850,CH3_PD730,CH3_PD850,CH4_PD730,CH4_PD850,Answers,airplane_playstate,trail_times,frameRate,Airplane X,Airplane Y,Correct,Wrong,Slow,AnswerRate,CorrectRate,VFTstates,VFTchoose,VFTCount,Culfstates,ax,ay,az,gx,gy,gz
1.096,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,271.00,496.00,89.00,309.00,178.00,294.00,511.00,403.00,,,,,,,,,,,,0,1,0,,-5308,15300,80,47,21,-55
1.117,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,301.00,498.00,112.00,305.00,170.00,308.00,499.00,474.00,,,,,,,,,,,,0,1,0,,-5268,15336,-164,69,95,-83
1.138,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,272.00,553.00,94.00,323.00,165.00,298.00,464.00,442.00,,,,,,,,,,,,0,1,0,,-5208,15200,-176,177,128,-2
1.159,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,261.00,527.00,87.00,314.00,186.00,291.00,542.00,419.00,,,,,,,,,,,,0,1,0,,-5224,15424,-168,77,38,49
1.179,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,305.00,511.00,109.00,310.00,176.00,307.00,480.00,483.00,,,,,,,,,,,,0,1,0,,-5204,15460,-144,28,34,-75
1.201,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,279.00,549.00,100.00,333.00,161.00,301.00,482.00,432.00,,,,,,,,,,,,0,1,0,,-4468,15792,-944,1447,-263,715
1.221,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,255.00,507.00,83.00,309.00,176.00,289.00,533.00,437.00,,,,,,,,,,,,0,1,0,,-4372,15836,-976,1749,-367,227
1.263,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,273.00,487.00,97.00,297.00,174.00,295.00,465.00,459.00,,,,,,,,,,,,0,1,0,,-4300,15652,-1328,1807,-429,-312
1.304,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,274.00,511.00,105.00,314.00,152.00,304.00,496.00,422.00,,,,,,,,,,,,0,1,0,,-4416,15544,-1884,2092,-927,-563
1.408,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,246.00,524.00,82.00,309.00,167.00,288.00,496.00,450.00,,,,,,,,,,,,0,1,0,,-4444,15360,-1816,1977,-1643,-399
1.471,1.33,0.02,1.95,-0.54,2.07,-1.30,0.43,-0.20,0.86,-0.15,272.00,485.00,99.00,298.00,171.00,294.00,493.00,429.00,,,,,,,,,,,,0,1,0,,-4468,15468,-1956,1910,-2293,-580
1.491,1.38,-0.06,1.16,-1.33,2.46,-2.87,-1.68,0.95,-0.98,-0.19,288.00,511.00,107.00,306.00,167.00,310.00,511.00,462.00,,,,,,,,,,,,0,1,0,,-4636,15672,-2076,1389,-2487,-783
1.533,1.44,-0.11,-1.57,0.58,-0.85,-0.69,-0.98,0.28,-2.69,2.17,273.00,541.00,101.00,329.00,171.00,307.00,464.00,464.00,,,,,,,,,,,,0,1,0,,-4724,15364,-1788,1555,-2225,-474
1.595,1.49,-0.04,0.30,-0.05,-1.14,0.54,1.22,-2.60,3.01,-2.79,273.00,511.00,95.00,322.00,192.00,304.00,547.00,423.00,,,,,,,,,,,,0,1,0,,-4760,15444,-1916,1096,-1927,-388
1.656,1.55,-0.14,1.38,-2.58,3.02,-5.48,-1.95,0.28,-4.15,1.32,307.00,524.00,122.00,321.00,174.00,319.00,499.00,503.00,,,,,,,,,,,,0,1,0,,-4680,15072,-1624,374,-1124,123
1.697,1.60,-0.17,-2.47,0.41,-0.97,-2.39,-0.76,0.31,-0.92,0.94,280.00,563.00,111.00,346.00,170.00,304.00,480.00,447.00,,,,,,,,,,,,0,1,0,,-4800,15404,-1472,-678,-182,196
1.759,1.66,-0.09,-0.37,0.93,-0.17,0.41,1.47,-2.10,1.52,-2.15,262.00,511.00,94.00,311.00,186.00,297.00,543.00,441.00,,,,,,,,,,,,0,1,0,,-4524,15620,-1532,-647,762,505
1.822,1.71,-0.10,2.68,-1.78,3.67,-3.79,-0.26,-0.18,-2.31,1.53,287.00,487.00,110.00,299.00,173.00,302.00,477.00,465.00,,,,,,,,,,,,0,1,0,,-4536,15300,-1640,-466,1567,798
1.883,1.77,-0.18,0.30,-0.05,0.67,-0.83,-1.84,1.91,1.48,-0.54,273.00,511.00,99.00,311.00,159.00,304.00,498.00,423.00,,,,,,,,,,,,0,1,0,,-4324,15508,-2148,-598,1652,631
1.925,1.82,-0.13,-1.20,2.15,-1.29,1.59,0.79,-0.21,-1.30,0.28,249.00,511.00,90.00,315.00,170.00,290.00,501.00,462.00,,,,,,,,,,,,0,1,0,,-4328,15404,-2212,-1005,1568,353
2.009,1.88,-0.14,2.99,-1.23,2.01,-1.83,-0.29,-0.39,-0.82,1.98,277.00,474.00,102.00,303.00,175.00,304.00,453.00,433.00,,,,,,,,,,,,0,1,0,,-4152,15500,-2164,-1345,1099,527
2.135,1.93,-0.21,1.02,-0.89,1.93,-2.69,-1.54,1.35,-1.13,-0.14,282.00,508.00,107.00,311.00,163.00,305.00,511.00,464.00,,,,,,,,,,,,0,1,0,,-4144,15832,-1772,-1211,757,771
2.156,1.99,-0.26,-0.88,0.82,-0.39,-1.03,-1.24,1.02,-2.48,1.86,266.00,523.00,102.00,326.00,165.00,304.00,470.00,464.00,,,,,,,,,,,,0,1,0,,-4048,16336,-1808,-797,796,619
2.177,2.04,-0.23,0.42,-0.10,-0.26,-0.52,0.44,-1.45,3.38,-2.98,273.00,509.00,99.00,320.00,183.00,304.00,549.00,419.00,,,,,,,,,,,,0,1,0,,-3664,16196,-1908,-447,380,-226
2.198,2.10,-0.31,2.30,-2.71,2.82,-4.95,-1.87,0.04,-4.15,1.24,304.00,507.00,119.00,319.00,176.00,320.00,501.00,504.00,,,,,,,,,,,,0,1,0,,-3860,15808,-1664,-204,-116,-630
2.26,2.15,-0.35,-2.41,0.86,-0.78,-2.46,-1.17,0.56,-0.94,1.15,273.00,555.00,111.00,344.00,169.00,307.00,475.00,445.00,,,,,,,,,,,,0,1,0,,-4000,16052,-1908,-61,-447,-834
2.322,2.21,-0.23,-0.37,1.07,-0.80,0.62,2.02,-2.29,2.32,-2.56,260.00,509.00,94.00,317.00,186.00,292.00,547.00,432.00,,,,,,,,,,,,0,1,0,,-4176,15744,-1508,-309,-523,-718
2.363,2.26,-0.23,3.92,-2.83,3.52,-4.07,-0.21,0.13,-2.45,1.81,297.00,477.00,112.00,303.00,170.00,299.00,471.00,464.00,,,,,,,,,,,,0,1,0,,-4204,15584,-1396,-149,-485,-724
2.424,2.32,-0.28,1.03,-0.09,0.58,-1.17,-1.18,1.80,2.20,-0.71,270.00,497.00,101.00,315.00,158.00,297.00,496.00,413.00,,,,,,,,,,,,0,1,0,,-4372,15436,-1364,-227,-381,-609
2.506,2.37,-0.23,-0.82,2.70,-1.29,1.59,0.73,0.14,-0.29,0.02,240.00,496.00,90.00,315.00,167.00,288.00,499.00,447.00,,,,,,,,,,,,0,1,0,,-4548,15572,-1368,-285,-142,-482
2.527,2.43,-0.19,3.28,-0.85,0.92,-0.35,0.51,-0.44,0.23,0.52,270.00,464.00,96.00,304.00,173.00,295.00,481.00,432.00,,,,,,,,,,,,0,1,0,,-4540,15512,-1232,-290,62,-293
2.59,2.48,-0.25,1.34,-0.34,1.90,-3.36,-1.41,1.76,0.27,-0.39,272.00,494.00,111.00,317.00,159.00,300.00,505.00,442.00,,,,,,,,,,,,0,1,0,,-4392,15600,-1248,-286,137,-161
2.651,2.54,-0.27,-0.62,1.59,-1.34,0.03,-0.56,1.02,-2.19,1.92,254.00,507.00,98.00,329.00,163.00,296.00,466.00,458.00,,,,,,,,,,,,0,1,0,,-4404,15728,-1252,-275,248,-48
2.734,2.59,-0.19,1.54,-0.40,-0.43,-0.27,1.38,-1.97,3.91,-2.68,272.00,491.00,98.00,320.00,185.00,297.00,535.00,407.00,,,,,,,,,,,,0,1,0,,-4424,15692,-1412,-71,406,-210
2.755,2.65,-0.25,3.02,-2.95,3.41,-6.06,-1.49,0.66,-3.43,0.93,304.00,496.00,125.00,321.00,169.00,310.00,503.00,494.00,,,,,,,,,,,,0,1,0,,-4364,15596,-1484,29,261,-211
2.859,2.70,-0.28,-1.38,0.79,-1.86,-0.53,-0.72,0.62,-0.33,1.17,269.00,534.00,102.00,341.00,167.00,301.00,469.00,434.00,,,,,,,,,,,,0,1,0,,-4460,15904,-1604,128,229,-266
2.88,2.76,-0.13,0.36,0.97,-0.39,-0.10,2.58,-2.07,3.04,-2.22,258.00,496.00,97.00,318.00,182.00,284.00,530.00,416.00,,,,,,,,,,,,0,1,0,,-4460,15428,-1580,-38,200,-315
2.92,2.81,-0.12,4.24,-2.43,4.48,-4.23,0.12,0.90,-2.48,2.09,289.00,466.00,111.00,293.00,162.00,289.00,464.00,461.00,,,,,,,,,,,,0,1,0,,-4484,15532,-1340,-113,178,-180
2.982,2.87,-0.10,2.04,-0.37,1.41,-1.08,0.19,1.58,3.03,-0.65,269.00,481.00,99.00,304.00,156.00,283.00,487.00,399.00,,,,,,,,,,,,0,1,0,,-4376,15424,-1372,-87,257,-154
3.023,2.92,0.05,0.46,2.42,-2.04,4.01,3.01,-0.41,0.57,0.03,238.00,475.00,80.00,304.00,165.00,267.00,491.00,432.00,,,,,,,,,,,,0,1,0,,-4352,15580,-1540,-138,188,-192
3.065,2.98,0.11,4.10,-0.92,2.63,-0.73,1.20,0.09,0.32,0.92,267.00,450.00,95.00,287.00,166.00,283.00,470.00,426.00,,,,,,,,,,,,0,1,0,,-4396,15632,-1536,-186,-68,-308
3.126,3.03,0.06,2.42,-0.70,1.73,-0.43,-0.81,2.27,1.11,-0.34,272.00,478.00,95.00,295.00,153.00,289.00,496.00,427.00,,,,,,,,,,,,0,1,0,,-4404,15512,-1332,-142,-37,-156
3.229,3.09,0.11,-0.49,2.59,-1.77,3.24,1.09,0.92,-1.50,1.89,240.00,491.00,83.00,307.00,159.00,278.00,461.00,446.00,,,,,,,,,,,,0,1,0,,-4440,15600,-1532,-135,138,-193
