,Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy
0,1.197,0.04,0.0,0.16754479427126165,0.9143152432344811,0.4355714485930644,0.5598317546058882,0.37736361489311215,0.0
1,1.217,0.1,0.0,0.16579586853735453,0.9155659507867288,0.42768979245355726,0.5652875921770876,0.3727332901672751,0.02157232567739525
2,1.238,0.15,0.0,0.1640638636811752,0.9167878683041736,0.4198671282790568,0.5707233888501774,0.3681210587895374,0.04304214828665659
3,1.259,0.21,0.0,0.16234902222396735,0.9179805381297357,0.4121057966497352,0.5761370910910799,0.36352796117694913,0.06440125629001814
4,1.28,0.26,0.0,0.16065156140330528,0.9191435281360975,0.40440806661463535,0.5815266643230378,0.35895500053390134,0.08564154027687486
5,1.301,0.32,0.0,0.15897167315320565,0.9202764320022913,0.39677613399304495,0.5868900946646702,0.3544031421291716,0.10675499990332453
6,1.322,1.06,0.0,0.15730952413122593,0.9213788694536688,0.38921211980365217,0.5922253906471394,0.3498733126534472,0.12773375065721107
7,1.343,1.12,0.0,0.15566525579170157,0.9224504864658524,0.38171806882203174,0.5975305849090143,0.34536639965792776,0.1485700304418883
8,1.364,1.17,0.0,0.15403898450412956,0.9234909554333726,0.3742959482666675,0.6028037358674204,0.34088325107439027,0.16925620597236676
9,1.467,1.23,0.0,0.15243080171556697,0.9244999753037908,0.3669476466133769,0.6080429293640568,0.3364246748168839,0.18978477897793497
10,1.488,1.28,0.27,0.15084077415577182,0.925477271678215,0.3596749725376735,0.6132462802846663,0.33199143846501217,0.21014839220574774
11,1.529,1.34,0.04,0.14926894408368635,0.9264225968791946,0.3524796539842748,0.6184119341505843,0.32758426902857674,0.23033983522021756
12,1.591,1.39,-0.14,0.14771532957376018,0.92733572998705,0.34536333736266744,0.6235380686810839,0.3232038527932154,0.25035204999328514
13,1.651,1.45,0.28,0.1461799248405643,0.9282164768456739,0.3383275868674525,0.6286228953252144,0.3188508352465626,0.2701781362808093
14,1.733,1.5,0.07,0.14466270060014924,0.9290646700387644,0.3313738839221132,0.6336646607615718,0.3145258210843182,0.2898113567805677
15,1.754,1.56,-0.11,0.14316360446662463,0.9298801688373605,0.32450362674476,0.638661648364235,0.3102293742954164,0.30924514206779186
16,1.816,1.61,0.08,0.14168256138247512,0.9306628591194719,0.31771813003422994,0.6436121796332409,0.3059620183252942,0.32847309530465163
17,1.858,1.67,0.14,0.1402194740811957,0.931412653262502,0.31101862477478587,0.6485146155881544,0.3017242363160821,0.3474889967205475
18,1.922,1.72,0.0,0.13877422358089514,0.9321294900090736,0.304406258157613,0.6533673581231739,0.297516471422349,0.3662868078605107
19,1.963,1.78,-0.1,0.13734666970753545,0.932813334306832,0.2978820936172263,0.6581688513219892,0.2933391272008283,0.3848606755994723
20,2.025,1.83,0.22,0.13593665164645438,0.9334641771228416,0.2914471109807557,0.6629175827304686,0.2891925680723841,0.40320493592055817
21,2.086,1.89,-0.01,0.1345439885208049,0.934082035233226,0.28510220672796516,0.6676120845850172,0.2850771198543228,0.4213141174558961
22,2.168,1.94,-0.26,0.13316847999553477,0.9346669509887237,0.2788481943597541,0.6722509349941657,0.2809930703609827,0.43918294478874825
23,2.189,2.0,0.16,0.13180990690551178,0.9352189920568464,0.27268580487275845,0.6768327590707833,0.27694067007035966,0.4568063415160865
24,2.249,2.05,0.04,0.13046803190637454,0.9357382511413428,0.26661568733752494,0.681356230012236,0.2729201328543415,0.47417943307103155
25,2.311,2.11,-0.08,0.12914260014664783,0.9362248456796728,0.2606384095775819,0.6858200701258684,0.26893163676991555,0.4912975493049358
26,2.372,2.16,0.1,0.12783333995962093,0.936678917519238,0.2547544589465001,0.6902230517976017,0.2649753249085306,0.5081562268292286
27,2.413,2.22,0.29,0.12653996357348712,0.9371006325730951,0.2489642431998575,0.6945639984019347,0.26105130630068685,0.5247512111173795
28,2.475,2.27,0.2,0.1252621678382959,0.937490180455816,0.24326809145897996,0.6988417851517841,0.2571596568727577,0.5410784583675377
29,2.535,2.33,0.15,0.12399963496833154,0.9378477741000888,0.23766625526333565,0.703055339886559,0.25330042045301787,0.5571341371266426
30,2.598,2.38,0.55,0.12275203329858861,0.9381736493546373,0.2321589097084461,0.7072036437968754,0.2494736098238869,0.5729146296770318
31,2.639,2.44,0.35,0.12151901805408401,0.9384680645640082,0.22674615466620376,0.7112857320842861,0.24567920781746716,0.5884165331867649
32,2.702,2.49,0.14,0.12030023213081929,0.9387313001307446,0.22142801608452414,0.7153006945543732,0.24191716845153335,0.6036366606251373
33,2.764,2.55,0.52,0.11909530688727935,0.9389636580604221,0.21620444736328745,0.719247676141659,0.23818741810320176,0.6185720414451066
34,2.807,2.6,0.48,0.11790386294541673,0.9391654614899786,0.2110753308035957,0.7231258773649325,0.23448985671755565,0.6332199220346614
35,2.847,2.66,0.32,0.11672551100010524,0.9393370541997567,0.20604047912743517,0.7269345547117865,0.23082435904849422,0.6475777659395378
36,2.908,2.71,0.37,0.11555985263603122,0.9394788001097292,0.20109963706474465,0.730673020951696,0.22719077592905895,0.6616432538600717
37,2.968,2.77,0.6,0.11440648115095889,0.939591082760443,0.19625248300471107,0.7343406453776973,0.2235889355685081,0.6754142834252267
38,3.03,2.82,0.43,0.1132649823842793,0.9396743047792473,0.19149863070797818,0.7379368539771662,0.22001864487342918,0.6888889687470168
39,3.092,2.88,0.29,0.11213493554970791,0.939728887332415,0.1868376310763268,0.7414611295324043,0.21647969079017523,0.7020656397587546
40,3.153,2.93,0.73,0.11101591407093153,0.9397552695638526,0.1822689739762177,0.7449130116519859,0.21297184166592026,0.7149428413407558
41,3.194,2.99,0.51,0.10990748641895137,0.9397539080211899,0.1777920901124623,0.7482920967340374,0.20949484862565426,0.7275193322373248
42,3.278,3.04,0.31,0.10880921694983817,0.9397252760701259,0.17340635294819792,0.7515980378628565,0.20604844696245336,0.7397940837690812
43,3.299,3.1,0.59,0.10772066674161174,0.9396698632979639,0.1691110806672895,0.7548305446406725,0.20263235753839362,0.7517662783449125
44,3.361,3.15,0.63,0.10664139442897802,0.9395881749073055,0.16490553817533496,0.7579893829566928,0.19924628819351595,0.7634353077780527
45,3.403,3.21,0.51,0.10557095703467675,0.9394807311009159,0.16078893913558326,0.7610743746957231,0.19588993516025385,0.7748007714110617
46,3.464,3.26,0.47,0.10450891079617261,0.9393480664588522,0.15676044803612052,0.7640853973888674,0.19256298448074477,0.7858624740547829
47,3.506,3.32,0.76,0.1034548119863948,0.939190729309066,0.15281918228463937,0.7670223838091482,0.1892651134244967,0.7966204237465786
48,3.568,3.37,0.53,0.1024082177272289,0.9390092810927222,0.14896421432711415,0.7698853215150026,0.18599599190395694,0.8070748293332946
49,3.67,3.43,0.32,0.10136868679448285,0.9388042957254603,0.1451945737867491,0.7726742523444935,0.18275528388558426,0.8172260978845903
50,3.691,3.48,0.72,0.1003357804130672,0.938576358955781,0.14150924961959482,0.7753892718629416,0.17954264879407272,0.8270748319424296
