,Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy
0,0.003,16.3,10.66,1.0,1.0,1.0,1.0,1.0,1.0
1,0.065,0.04,0.0,0.9820936590257405,0.9819475435963656,0.9823175335939174,0.9818165363264891,0.9836166651169511,0.9820087577469903
2,0.128,0.1,0.0,0.9641954234590808,0.9639024017524771,0.964639378948318,0.9636430365192592,0.9672376799844861,0.9640241002750216
3,0.189,0.15,0.0,0.9463125747360009,0.9458719215414425,0.9469726915603092,0.9454869147687819,0.9508696151593622,0.9460533613241645
4,0.23,0.21,0.0,0.9284523777901842,0.9278634354488408,0.9293246131775349,0.9273555684813185,0.9345190268924423,0.9281038605046327
5,0.292,0.26,0.0,0.9106220738683659,0.9098842542076689,0.911702264747229,0.9092563710428717,0.9181924506702609,0.9101828961055941
6,0.353,0.32,0.0,0.8928288733938821,0.8919416596824741,0.8941127394120044,0.8911966646342337,0.9018963948016434,0.8922977379511812
7,0.415,0.37,0.0,0.8750799488928468,0.8740428978171011,0.8765630955667917,0.8731837531115461,0.8856373340623527,0.8744556203182398
8,0.498,0.43,0.0,0.8573824279966383,0.8561951716597259,0.8590603499905671,0.8552248949660395,0.8694217034100568,0.8566637349295934
9,0.518,0.48,0.0,0.8397433865336285,0.8384056344780884,0.8416114710657441,0.8373272963758828,0.8532558917812431,0.8389292240358515
10,0.58,0.54,0.0,0.822169841722368,0.8206813829771151,0.8242233720973645,0.8194981043623507,0.8371462359810489,0.8212591735980566
11,0.64,0.59,0.02,0.8046687454777344,0.8030294506303971,0.8069029047434945,0.8017444000618206,0.8210990146763399,0.8036606065827522
12,0.682,0.65,-0.01,0.7872469778408568,0.7854568011362938,0.7896568525675217,0.7840731921244175,0.8051204425017449,0.7861404763803522
13,0.723,0.7,0.02,0.7699113405429696,0.7679703220087505,0.7724919247223706,0.7664914102494557,0.7892166642877483,0.7687056603570163
14,0.785,0.76,0.03,0.752668550712714,0.7505768183122422,0.7554147497759983,0.7490058988671504,0.7733937494193542,0.7513629535495677
15,0.906,0.81,0.01,0.7355252347357789,0.7332830065496087,0.7384318696869051,0.7316234109754298,0.757657686333252,0.7341190625123555
16,0.948,0.87,0.0,0.7184879222751737,0.7160955087109159,0.7215497339377841,0.7143506021400283,0.7420143771608652,0.7169805993243261
17,0.969,0.92,0.02,0.7015630404598353,0.6990208464908756,0.7047746938348493,0.6971940246654389,0.7264696325241178,0.6999540757639708
18,1.01,0.98,-0.02,0.6847569082486926,0.682065435681753,0.6881129969797927,0.6801601219436968,0.7110291664902282,0.6830458976592094
19,1.053,1.03,-0.05,0.6680757309767491,0.6652355807481102,0.6715707819207608,0.6632552229873795,0.6956985916913176,0.6662623594186895
20,1.114,1.09,-0.01,0.6515255950891884,0.6485374695891559,0.6551540729881798,0.6464855371526455,0.680483414614119,0.6496096387504151
21,1.176,1.14,-0.0,0.6351124630689681,0.6319771684939026,0.6388687753207012,0.6298571490575716,0.6653890310645675,0.6330937915730602
22,1.237,1.2,-0.03,0.6188421685628397,0.6155606172937632,0.6227206700860033,0.61337601370052,0.6504207218115727,0.6167207471247864
23,1.32,1.25,-0.0,0.6027204117102298,0.599293624716682,0.6067154099006519,0.597047951782752,0.6355836484138007,0.6004963032738594
24,1.341,1.31,0.02,0.5867527546789234,0.5831818639463641,0.5908585144526992,0.5808786452390101,0.6208828492328493,0.5844261220348576
25,1.381,1.36,-0.01,0.5709446174110276,0.5672308683896738,0.5751553663302266,0.5648736329793131,0.6063232356357804,0.5685157252937733
26,1.443,1.42,-0.01,0.5553012735822389,0.5514460276548164,0.5596112070585608,0.5490383068447534,0.5919095883895512,0.5527704907448422
27,1.524,1.47,0.01,0.5398278467769844,0.5358325837424738,0.5442311333484581,0.5333779077796283,0.5776465542495025,0.5371956480414847
28,1.607,1.53,-0.02,0.5245293068815822,0.520395627451653,0.5290200935571205,0.51789752222182,0.5635386427436694,0.5217962751633028
29,1.628,1.58,-0.06,0.5094104666971425,0.5051400950015991,0.5139828843634927,0.502602078712913,0.5495902231543093,0.5065772950006614
