,Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy
0,1.155,0.04,0.0,0.41879818177925004,0.5449165402861369,0.12846523253104847,0.0,0.061809217035946724,0.24781385561619995
1,1.176,0.1,0.0,0.4263464876790768,0.5406499660646916,0.1311872934820741,0.0029738622794479317,0.06725057143973448,0.2426579355570947
2,1.197,0.15,0.0,0.4338275821569794,0.5364363563733865,0.13386613704816086,0.005982863425253822,0.07262557766227053,0.23752431208542885
3,1.217,0.21,0.0,0.4412381664686982,0.5322774628611258,0.1365005161353533,0.00902559288549895,0.07793150406545916,0.23241483694346005
4,1.239,0.26,0.0,0.4485749956176946,0.5281749921673592,0.13908921771793747,0.012100611571962641,0.08316566711401988,0.22733133943857953
5,1.258,0.32,0.0,0.45583488121496574,0.5241306045724556,0.14163106384516558,0.01520645371557902,0.0883254339052674,0.222275625071
6,1.278,1.06,0.0,0.4630146942602214,0.5201459127199788,0.1441249126002848,0.018341628766433596,0.09340822463711183,0.21724947420443913
7,1.298,1.11,0.0,0.4701113678416626,0.5162224804116095,0.1465696590115017,0.021504623333132664,0.09841151501158954,0.21225464078048337
8,1.319,1.17,0.0,0.47712189975178504,0.5123618214752654,0.14896423591463243,0.024693903156180117,0.10333283857136963,0.20729285107717732
9,1.382,1.22,0.0,0.4840433550168163,0.5085653987067867,0.151307614767306,0.02790791510979568,0.10816978896681091,0.20236580251225048
10,1.444,1.28,-0.14,0.49087286833756655,0.5048346228853651,0.15359880641470194,0.03114508922640665,0.11292002215126762,0.1974751624912653
11,1.505,1.33,0.09,0.4976076464396494,0.5011708518627195,0.1558368618069008,0.03440384073786244,0.11758125850245059,0.19262256730086272
12,1.567,1.39,0.14,0.5042449703311992,0.4975753897258461,0.1580208726679739,0.037682572127349566,0.12215128486774103,0.18780962104721197
13,1.587,1.45,-0.11,0.5107821974663879,0.49404948603302995,0.1601499721168954,0.04097967518615818,0.126627956531446,0.18303789463974643
14,1.648,1.5,-0.02,0.517216763813213,0.4905943351227168,0.1622233352402606,0.0442935330699039,0.13100919910212067,0.17830892482025335
15,1.709,1.55,0.16,0.5235461858241995,0.48721107549479514,0.16424017961674478,0.047622522349356496,0.13529301031824506,0.17362421323736396
16,1.771,1.61,-0.05,0.5297680623088099,0.4839007892638176,0.1661997657932713,0.05096501505149362,0.13947746177067263,0.1689852255664785
17,1.854,1.66,-0.09,0.5358800762064503,0.4806645016836894,0.16810139771289226,0.05431938068678829,0.1435607005403516,0.16439339067515468
18,1.873,1.72,0.2,0.541879996259011,0.4775031807433412,0.1699444230943857,0.057683988259061555,0.14754095074990636,0.15985009983394538
19,1.934,1.77,0.15,0.5477656785819345,0.47441773683283317,0.1717282337635874,0.061057208254391794,0.15141651502775813,0.15535670597259843
20,1.974,1.83,-0.05,0.5535350681328632,0.47140902247922456,0.17345226593651267,0.06443741460558713,0.15518577588356014,0.15091452298144958
21,2.035,1.88,0.18,0.5591862000770148,0.46847783215140576,0.17511600045438258,0.06782298662873622,0.15884719699385882,0.14652482505776102
22,2.097,1.94,0.27,0.5647172010485693,0.46562490213293267,0.1767189629707702,0.07121231092841555,0.16239932439705654,0.14218884609669352
23,2.158,2.0,0.05,0.5701262903075558,0.4628509104617296,0.17826072409121269,0.07460378326829786,0.16584078759690227,0.1379077791265939
24,2.259,2.05,0.11,0.5754117807919541,0.4601564769353604,0.1797408994657268,0.07799581040424937,0.16917030057386997,0.13368277578831297
25,2.279,2.1,0.31,0.580572080064966,0.45754216318041885,0.18115914983473105,0.08138681187743958,0.17238666270392802,0.1295149458582943
26,2.319,2.16,0.14,0.5856056911576387,0.45500847278446827,0.18251518102897418,0.08477522176530848,0.17548875958433607,0.12540535681518006
27,2.36,2.21,0.06,0.5905112133071755,0.45255585148887045,0.1838087439241489,0.08815949038840577,0.1784755637662108,0.12135503344966755
28,2.443,2.27,0.35,0.5952873425913656,0.45018468744077783,0.18503963435089038,0.09153808597121536,0.18134613539370553,0.11736495751730712
29,2.484,2.33,0.35,0.5999328724596337,0.4478953115024649,0.1862076929608438,0.0949094962551166,0.1840996227497621,0.11343606743385722
30,2.525,2.38,0.14,0.6044466941612411,0.44568799761606853,0.1873128050494559,0.09827223006166004,0.18673526270849686,0.10956925801274262
31,2.608,2.43,0.35,0.6088277970711836,0.4435629632217377,0.18835490033611596,0.10162481880444926,0.18925238109442435,0.10576538024409231
32,2.669,2.49,0.42,0.6130752689143355,0.4415203697271656,0.18933395270226744,0.10496581794815033,0.1916503929488981,0.10202524111477687
33,2.71,2.54,0.21,0.6171882958884498,0.4395603230264821,0.19024997988812095,0.10829380841354128,0.19392880270431145,0.09834960346885235
