,Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy
0,0.056,18.82,-0.06,0.0,0.6526049979811422,0.0,0.0,0.0,1.0
1,1.264,0.04,0.0,0.008805050650364637,0.6548168225591949,0.015558646657176028,0.01654474466097326,0.0038784399604577242,0.9877251474622106
2,1.285,0.1,0.0,0.01757353831069949,0.6571355834576467,0.031087784326518184,0.033117841752149886,0.007779095018166852,0.9754482902909681
3,1.305,0.15,0.0,0.026302058204371093,0.6595597433271019,0.046581213463799835,0.049712370976450246,0.01170023076177338,0.9631745190438914
4,1.326,0.21,0.0,0.03498724321029177,0.6620876647109927,0.06203276832211559,0.06632139386136325,0.015640093236620793,0.950908922002185
5,1.347,0.26,0.0,0.0436257668780661,0.664717612484105,0.07743632276109481,0.08293796088966826,0.019596910869263066,0.9386565801312098
6,1.367,1.05,0.0,0.052214346374556034,0.6674477564321186,0.09278579598368575,0.09955511863356464,0.023568896418460588,0.9264225620641166
7,1.387,1.11,0.0,0.060749745357717426,0.670276173961079,0.10807515819034934,0.11616591687587041,0.027554248947765758,0.9142119191192174
8,1.429,1.16,0.0,0.0692287767738468,0.673200852926126,0.12329843614107514,0.13276341570272557,0.031551155814970845,0.9020296803611955
9,1.511,1.22,0.0,0.0776483055746548,0.676219694569218,0.1384497186161997,0.149340692552989,0.03555779467385441,0.8898808477156934
10,1.552,1.27,0.0,0.08600525135085271,0.6793305165559929,0.1535231617675537,0.16589084921026329,0.03957233548382196,0.8777703911462639
11,1.594,1.33,0.15,0.0942965908792011,0.682531056102314,0.16851299435199987,0.18240701872420623,0.04359294252319336,0.8657032439021192
12,1.657,1.38,0.04,0.10251936058022547,0.6858189731814419,0.1834135228399428,0.19888237224850439,0.04761777640205034,0.8536842978445862
13,1.718,1.44,-0.12,0.11067065888406284,0.6891918538031203,0.19821913639189956,0.2153101257835836,0.05164499607073078,0.8417183988596316
14,1.759,1.49,0.25,0.11874764850216823,0.692647213356167,0.21292431169672082,0.23168354681281292,0.05567276082023554,0.8298103423632833
15,1.862,1.55,0.08,0.1267475586028688,0.6961825000064351,0.22752361766554904,0.24799596082162276,0.05969923227098062,0.8179648689062924
16,1.883,1.6,-0.15,0.13466768688898131,0.6997950981423702,0.2420117199760766,0.2642407576896087,0.06372257634647228,0.8061866598839341
17,1.945,1.66,0.08,0.14250540157591152,0.7034823318608256,0.25638338546212347,0.28041139794635034,0.06774096522863116,0.7944803333564424
18,2.007,1.71,0.05,0.15025814326885834,0.7072414684862033,0.2706334863439997,0.2965014188823129,0.07175257929163281,0.7828504399851736
19,2.069,1.77,-0.0,0.15792342673796067,0.7110697221162774,0.2847570042955582,0.31250444050680143,0.07575560901123589,0.7713014590892459
20,2.129,1.82,-0.07,0.16549884259042627,0.7149642571883187,0.298749034344268,0.32841417134551393,0.07974825684665203,0.7598377948270805
21,2.15,1.88,0.16,0.17298205883887705,0.718922192059373,0.3126047886010479,0.344224414070807,0.08372873909211369,0.7484637725069317
22,2.23,1.93,0.03,0.18037082236534555,0.7229406025947402,0.3263195998170073,0.3599290709583097,0.0876952876954143,0.737183635030137
23,2.273,1.99,-0.16,0.18766296028055535,0.7270165257588574,0.3398889247646435,0.3755221491640313,0.09164615204081447,0.7260015394704571
24,2.313,2.04,0.27,0.19485638117830573,0.7311469632029377,0.35330834744142736,0.3909977658165964,0.09557960069382838,0.7149215537925172
25,2.375,2.1,0.17,0.20194907628496025,0.7353288848438732,0.3665735820940783,0.4063501529197345,0.09949392310552362,0.7039476537120045
26,2.436,2.15,0.02,0.20893912050421198,0.7395592324290795,0.3796804760621763,0.4215736620606344,0.10338743127408284,0.6930837196999495
27,2.498,2.21,0.22,0.2158246733574556,0.7438349230822063,0.3926250124400897,0.4366627689202822,0.10725846136151701,0.6823335341330957
28,2.559,2.26,0.31,0.2226039798202608,0.7481528528248774,0.40540331255652234,0.4516120775823901,0.11110537526359092,0.6717007785920119
29,2.601,2.32,0.29,0.22927537105561038,0.752509900069826,0.41801163827132143,0.46641632463797783,0.11492656213118838,0.6611890313082804
30,2.642,2.37,0.2,0.2358372650447189,0.7569029290810003,0.4304463940895088,0.48107038308309585,0.11872043984150167,0.6508017647617752
31,2.703,2.43,0.52,0.24228816711638637,0.7613287933964641,0.44270412909280976,0.49556926600758755,0.12248545641760428,0.6405423434287343
32,2.766,2.48,0.4,0.2486266703759756,0.7657843392101281,0.4547815386892495,0.5099081300731828,0.12622009139515544,0.630414021681001
33,2.828,2.54,0.09,0.2548514560352551,0.7702664087084571,0.4666754661816823,0.524082278779573,0.12992285713516813,0.620419941836494
34,2.889,2.59,0.46,0.26096129364450804,0.77477184335829,0.4783829041563896,0.5380871655174689,0.13359230008193929,0.6105631323606644
35,2.93,2.65,0.44,0.26695504122847075,0.7792974871418672,0.48990099569314444,0.5519183964079796,0.13722700196538232,0.60084650621843
36,2.99,2.7,0.29,0.27283164532779386,0.7838401897352,0.5012270353983721,0.565571732927999,0.1408255809470969,0.5912728593758558
37,3.05,2.76,0.36,0.2785901409477811,0.7883968096261808,0.5123584702632321,0.5790430943216573,0.14438669270959562,0.5818448694506576
38,3.111,2.81,0.51,0.28422965141620266,0.7929642171692137,0.5232929003486199,0.5923285597982735,0.14790903148822548,0.5725650945103891
39,3.131,2.87,0.39,0.28974938815202184,0.7975392975734873,0.5340280792992641,0.6054243705176142,0.15139133104544625,0.5634359720169558
40,3.192,2.92,0.21,0.29514865034692606,0.8021189538223243,0.5445619146892604,0.6183269313635934,0.15483236558723923,0.554459817915907
41,3.275,2.98,0.55,0.30042682456159486,0.8067001095213743,0.554892468201541,0.6310328125078922,0.15823095062152337,0.5456388258687865
42,3.337,3.03,0.39,0.30558338423868603,0.8112797116737026,0.5650179556439232,0.6435387507653031,0.16158594375854296,0.5369750666266783
43,3.358,3.09,0.11,0.3106178891345671,0.8158547333801043,0.5749367468045214,0.6558416507429156,0.1648962454532578,0.5284704875429665
44,3.42,3.14,0.36,0.3155299846718644,0.8204221764632182,0.5846473651494352,0.6679385857855646,0.16816079968982353,0.5201269122232398
45,3.481,3.2,0.33,0.32031940121495006,0.8249790740142382,0.5941484873657531,0.679826798720254,0.17137859460829505,0.511946040310174
46,3.522,3.25,0.23,0.3249859532705349,0.8295224928611782,0.6034389427530416,0.6915037024025169,0.17454866307369513,0.5039294474011733
47,3.582,3.31,0.24,0.3295295386155624,0.8340495359578152,0.6125177124665979,0.7029668800679144,0.17767008318758853,0.49607858509649544
48,3.644,3.36,0.48,0.3339501373546147,0.8385573446925919,0.6213839286158537,0.7142140854920798,0.18074197874232154,0.4883947811755166
49,3.705,3.42,0.38,0.3382478109090788,0.8430431011168376,0.6300368732214287,0.7252432429628863,0.1837635196181339,0.48087923989869225
50,3.766,3.47,0.17,0.34242270094036226,0.8475040300916823,0.6384759770344535,0.7360524470684516,0.1867339221234119,0.4735330424326459
51,3.827,3.53,0.61,0.3464750282095111,0.8519374013530328,0.6467008182218928,0.7466399623048113,0.18965244927843572,0.46635714739569
52,3.867,3.58,0.51,0.3504050913756373,0.8563405314939944,0.6547111209217129,0.7570042225072064,0.192518411043068,0.4593523915209472
53,3.929,3.64,0.35,0.3542132657356167,0.8607107858641864,0.662506753671831,0.7671438301090487,0.19533116448891572,0.45251949043413847
54,3.971,3.69,0.53,0.3579000019075438,0.8650455803855478,0.6700877277168826,0.7770575552327477,0.19809011391659803,0.44585903954300504
55,4.076,3.75,0.6,0.36146582446046166,0.8693423832843802,0.6774541951969265,0.7867443346166929,0.2007947109188691,0.43937151503521404
56,4.096,3.8,0.55,0.36491133049292446,0.8735987167394401,0.684606447222303,0.7962032703827747,0.20344445439045067,0.4330572749814866
57,4.139,3.86,0.44,0.36823718816298634,0.877812158445955,0.6915449118389357,0.8054336286488982,0.20603889048551446,0.42691656054060023
58,4.201,3.91,0.75,0.37144413517222863,0.8819803430954954,0.6982701518884272,0.8144348379910207,0.2085776125238486,0.42094949726283687
59,4.262,3.97,0.63,0.37453297720646495,0.8861009637716992,0.7047828627673488,0.8232064877593045,0.2110602608468371,0.4151560964883588
60,4.304,4.02,0.33,0.37750458633578177,0.8901717732618386,0.7110838700901749,0.8317483262530181,0.21348652262446824,0.40953625683691136
61,4.344,4.08,0.67,0.3803598993765862,0.8941905852842371,0.7171741272603374,0.8400602587588593,0.21585613161466272,0.40408976578517564
62,4.449,4.13,0.65,0.3830999162183266,0.8981552756315279,0.7230547129538879,0.8481423454574297,0.2181688678762719,0.39881630132803036
63,4.471,4.19,0.42,0.3857256981175268,0.9020637832297979,0.728726828520246,0.8559947992026532,0.22042455743711678,0.39371543371997186
64,4.531,4.24,0.42,0.38823836596169997,0.9059141111138349,0.734191795304461,0.863617983179031,0.22262307191844966,0.38878662729294744
65,4.573,4.3,0.59,0.3906390985056283,0.9097043273189397,0.7394510518953651,0.8710124084417508,0.224764328117244,0.3840292423468621
66,4.637,4.35,0.45,0.3929291305824255,0.9134325656899865,0.7445061513039388,0.8781787313447456,0.22684828754772637,0.37944253710904324
67,4.678,4.41,0.28,0.39510975129173176,0.917097026608635,0.7493587580761788,0.8851177508618678,0.22887495594353982,0.3750256697590164
68,4.74,4.46,0.62,0.3971823021673218,0.9206959776398431,0.7540106453447099,0.8918304058064009,0.2308443827219,0.3707777005150201
69,4.804,4.52,0.44,0.39914817532634694,0.9242277540990357,0.7584636918233502,0.8983177719541651,0.23275666041108775,0.36669759377874334
70,4.865,4.57,0.21,0.4010088116023832,0.9276907595414041,0.7627198787488041,0.9045810590754926,0.2346119240426043,0.3627842203348096
71,4.906,4.63,0.46,0.4027656986644309,0.9310834661748661,0.7667812867736246,0.9106216078813472,0.23641035050930528,0.35903635960157293
72,4.946,4.68,0.45,0.4044203691239899,0.9344044151982029,0.7706500928145584,0.9164408868888327,0.23815215789081565,0.35545270192981426
73,5.007,4.74,0.37,0.4059743986323117,0.9376522170658712,0.7743285668603594,0.92204048921129,0.2398376047474942,0.35203185094597966
74,5.069,4.79,0.3,0.40742940396988486,0.9408255516809964,0.7778190687431139,0.9274221292781226,0.24146698938417502,0.34877232593664803
75,5.13,4.85,0.56,0.4087870411301558,0.943923168518064,0.7811240448770754,0.932587639489429,0.24304064908490355,0.3456725642709372
76,5.211,4.9,0.43,0.4100490033994597,0.9469438866767611,0.7842460249689669,0.9375389668104441,0.24455895931988525,0.34273092385754694
77,5.232,4.96,0.19,0.41121701943511846,0.9498865948682955,0.7871876187036737,0.9422781693106923,0.24602233292586795,0.33994568563312755
78,5.294,5.01,0.65,0.4122928513436466,0.9527502513354177,0.7899515124092148,0.9468074126526648,0.24743121926118322,0.3373150560786598
79,5.335,5.07,0.55,0.4132782927609901,0.9555338837072817,0.7925404657048324,0.9511289665347491,0.2487861033366793,0.3348371697605491
80,5.418,5.12,0.4,0.4141751669366964,0.9582365887902557,0.7949573081359881,0.9552452010930714,0.25008750492378096,0.33251009189317754
81,5.481,5.18,0.52,0.414985324823872,0.9608575322958529,0.7972049357999811,0.9591585832668726,0.2513359776409407,0.3303318209197012
82,5.543,5.23,0.6,0.41571064317674483,0.9633959485069968,0.7992863079658394,0.9628716731320089,0.25253210801980036,0.32830029110788567
83,5.564,5.29,0.52,0.4163530226576318,0.9658511398838421,0.8012044436920733,0.9663871202070987,0.2536765145524331,0.3264133751577842
84,5.626,5.34,0.4,0.41691438595507857,0.9682224766103333,0.8029624184458186,0.9697076597367823,0.2547698467210514,0.32466888681810885
85,5.667,5.4,0.7,0.41739667591488405,0.97050939608274,0.8045633607268141,0.9728361089564799,0.25581278401158364,0.3230645835081982
86,5.728,5.45,0.55,0.4178018536856584,0.9727114023414468,0.8060104486995655,0.9757753633429793,0.25680603491253157,0.32159816894254073
87,5.789,5.51,0.26,0.41813189688048646,0.97482806544734,0.8073069068369464,0.9785283928551018,0.2577503359005245,0.32026729575485313
88,5.85,5.56,0.54,0.4183887977561908,0.9768590208041819,0.8084560025783817,0.9810982381686288,0.25864645041398415,0.3190695681187509
89,5.911,5.62,0.51,0.4185745614116105,0.9788039684284282,0.8094610430056474,0.9834880069095946,0.25949516781629556,0.31800254436209024
90,5.974,5.67,0.34,0.41869120400622173,0.9806626721680393,0.8103253715392147,0.9857008698899875,0.2602973023498194,0.31706373957216266
91,6.036,5.73,0.32,0.41874075100030317,0.9824349588720903,0.8110523646579348,0.9877400573498631,0.2610536920820101,0.31625062818905986
92,6.057,5.78,0.5,0.41872523541771994,0.9841207175132853,0.8116454286447357,0.9896088552098494,0.26176519784484653,0.3155606465846617
93,6.121,5.84,0.38,0.4186466961323025,0.9857198982657003,0.8121079963608834,0.9913106013379727,0.26243270216873266,0.3149911956248349
94,6.161,5.89,0.19,0.4185071761787297,0.987232511540184,0.8124435240512711,0.9928486818346492,0.263057108211957,0.3145396432125822
95,6.223,5.95,0.55,0.41830872108877704,0.9886586269798467,0.8126554881831087,0.9942265273395811,0.2636393386867408,0.3142033268100288
96,6.286,6.0,0.39,0.418053377253756,0.9899983724180116,0.812747382320306,0.995447609364172,0.26418033478285746,0.3139795559372515
97,6.348,6.06,0.12,0.4177431903139446,0.9912519328009164,0.8127227140357676,0.996515436652955,0.2646810550897581,0.31386561464607665
98,6.39,6.11,0.33,0.4173802035757734,0.9924195490773879,0.8125850018637312,0.9974335515774123,0.2651424745180987,0.3138587639670746
99,6.473,6.17,0.36,0.41696645645750663,0.9935015170576356,0.8123377722942028,0.998205526565457,0.26556558322151447,0.3139562443280723
100,6.493,6.22,0.33,0.4165039829641493,0.9944981862431517,0.8119845568114734,0.9988349605697102,0.2659513855194065,0.31415527794261255
101,6.555,6.28,0.26,0.4159948101922914,0.9954099586295295,0.8115288889786376,0.9993254755775578,0.2663008988214107,0.3144530711668904
102,6.656,6.33,0.58,0.41544095686558086,0.9962372874838543,0.8109743015699573,0.9996807131658341,0.2666151525541697,0.31484681682376653
103,6.676,6.39,0.46,0.41484443190150666,0.9969806760981507,0.8103243237528625,0.9999043311028084,0.2668951870910218,0.31533369649248993
104,6.738,6.44,0.23,0.4142072330101769,0.99764067652021,0.8095824783213241,1.0,0.26714205268524005,0.31591088276279133
105,6.798,6.5,0.66,0.4135313453257821,0.9982178882629745,0.8087522789822845,0.9999714000161783,0.2673568084074831,0.3165755414520486
106,6.838,6.55,0.58,0.4128187400714341,0.998712956993555,0.8078372276967735,0.99982221761577,0.26754052108815635,0.3173248337842777
107,6.899,6.61,0.44,0.41207137325804805,0.9991265732029354,0.8068408120772733,0.999556142383766,0.26769426426539306,0.31815591852978575
108,6.94,6.66,0.54,0.4112911844178742,0.9994594708575073,0.8057665028428146,0.9991768638991505,0.26781911713939444,0.3190659541044044
109,7.021,6.72,0.65,0.410480095373226,0.9997124260336564,0.8046177513331909,0.9986880686688057,0.2679161635339129,0.3200521006272697
110,7.042,6.77,0.54,0.40964000904091336,0.9998862555365979,0.8033979870836198,0.9980934371237512,0.2679864908657019,0.3211115219361593
111,7.125,6.83,0.4,0.4087728082728548,0.9999818155046238,0.8021106154611073,0.9973966406794441,0.26803118912276375,0.322241387559461
112,7.187,6.88,0.73,0.40788035473328427,1.0,0.8007590153637167,0.9966013388617164,0.2680513498522297,0.3234388746439134
113,7.23,6.94,0.53,0.4069644878128968,0.9999417395878692,0.7993465369838475,0.9957111764998112,0.26804806515869956,0.3247011698373057
114,7.291,6.99,0.24,0.40602702358020026,0.9998079999046414,0.7978764996365453,0.9947297809878795,0.2680224267138485,0.32602547112537505
115,7.332,7.05,0.5,0.40506975377026405,0.9995997802174598,0.7963521896537524,0.9936607596162229,0.2679755247780805,0.32740898962218556
116,7.374,7.1,0.49,0.4040944448109863,0.9993181119764319,0.7947768583453079,0.9925076969735077,0.2679084472349564,0.32884895131334707
117,7.437,7.16,0.39,0.4031028368869405,0.9989640573613879,0.7931537200273974,0.9912741524210991,0.26782227863903163,0.33034259875156585
118,7.498,7.21,0.35,0.4020966430407901,0.998538707825054,0.7914859501190478,0.9899636576406181,0.26771809927763884,0.33188719270418354
119,7.559,7.27,0.61,0.40107754831220666,0.998043182634636,0.7897766833071411,0.988579714255786,0.2675969842470865,0.3334800137525041
120,7.62,7.32,0.51,0.40004720891421364,0.9974786274137949,0.7880290117803345,0.9871257915295433,0.2674600025437132,0.33511836384282245
121,7.66,7.38,0.3,0.39900725144689875,0.9968462126868718,0.78624598353221,0.9856053241373369,0.2673082161702196,0.33679956778917525
122,7.783,7.43,0.72,0.397959272148452,0.9961471324270894,0.7844306007339182,0.9840217100173442,0.267142679257696,0.3385209747279125
123,7.804,7.49,0.6,0.3969048361834886,0.9953826026103408,0.7825858181765245,0.9823783082982964,0.26696443720378343,0.34027995952424894
124,7.845,7.54,0.46,0.3958454769685952,0.9945538597761555,0.7807145417832114,0.980678437305458,0.2667745258274167,0.34207392413099963
125,7.886,7.6,0.65,0.39478269553499995,0.9936621595974523,0.7788196271914211,0.9789253726452494,0.2665739705406266,0.3439002988997361
126,7.946,7.65,0.71,0.3937179599282447,0.9927087754607218,0.7769038784049653,0.9771223453689234,0.26636378553792195,0.3457565438445927
127,8.008,7.71,0.65,0.3926527046447405,0.9916949970581663,0.7749700465160885,0.9752725402155936,0.26614497300381035,0.34764014985893904
128,8.029,7.76,0.52,0.39158833010509214,0.990622128993212,0.7730208284974309,0.97337909393481,0.26591852233904484,0.34954863988512613
129,8.112,7.82,0.81,0.39052620216407113,0.9894914894007041,0.7710588660637876,0.9714450936887585,0.26568540940622043,0.35147957003749325
130,8.153,7.87,0.66,0.3894676516571116,0.9883044085830095,0.7690867446035198,0.9694735755340578,0.2654465957953811,0.3534305306787996
131,8.215,7.93,0.37,0.38841397398319344,0.9870622276631403,0.7671069921794278,0.9674675229830046,0.26520302811030794,0.3553991474502315
132,8.276,7.98,0.77,0.38736642872397137,0.9857662972558949,0.7651220785988485,0.9654298656440192,0.2649556372761605,0.35738308225514315
133,8.337,8.04,0.76,0.3863262392989995,0.9844179761578845,0.7631344145526866,0.9633634779409366,0.26470533786912703,0.3593800341967116
134,8.358,8.09,0.6,0.3852945926568784,0.9830186300572572,0.7611463508230161,0.9612711779107438,0.26445302746870775,0.361387740469757
135,8.418,8.15,0.6,0.38427263900210046,0.9815696302640098,0.7591601775587987,0.9591557260793215,0.26419958603324556,0.36340397720704576
136,8.482,8.2,0.75,0.3832614915573108,0.9800723524619284,0.7571781236191624,0.9570198244147639,0.2639458752993477,0.365426560280422
137,8.544,8.26,0.62,0.38226222636066054,0.9785281754832842,0.7552023559836039,0.9548661153578099,0.2636927382058769,0.3674533460571223
138,8.606,8.31,0.41,0.38127588209789554,0.9769384801074655,0.7532349792284165,0.9526971809288832,0.2634409983431869,0.3694822321116665
139,8.648,8.37,0.75,0.38030345996877535,0.9753046478848255,0.7512780350685778,0.9505155419111901,0.2631914594282524,0.37151115789376554
140,8.711,8.42,0.58,0.3793459235873679,0.9736280599871181,0.7493335019642808,0.9483236571092755,0.2629449048063071,0.3735381053527533
141,8.774,8.48,0.29,0.37840419891571914,0.9719100960859596,0.7474032947912433,0.9461239226823859,0.2627020969795537,0.3755610995191161
142,8.858,8.53,0.5,0.3774791742303577,0.9701521332607782,0.7454892645738836,0.9439186715519332,0.26246377716345753,0.37757820904376604
143,8.878,8.59,0.47,0.37657170012107505,0.9683555449376688,0.7435931982804175,0.9417101728822862,0.2622306648710796,0.3795875466957598
144,8.919,8.64,0.39,0.3756825895214111,0.9665216998604289,0.7417168186789107,0.9395006316340405,0.26200345752581233,0.3815872698192367
145,8.979,8.7,0.33,0.37481261777026537,0.9646519610948969,0.7398617842532935,0.9372921881888261,0.26178283010277487,0.38357558075042375
146,9.042,8.75,0.61,0.37396252270403785,0.9627476850675518,0.7380296891783076,0.9350869180446406,0.26156943479904105,0.3855507271955829
147,9.105,8.81,0.46,0.37313300477871186,0.9608102206391091,0.7362220633523363,0.9328868315806083,0.2613639007328273,0.3875110025707551
148,9.147,8.86,0.23,0.3723247272213168,0.9588409082135875,0.7344403724870514,0.9306938738899659,0.2611668336717339,0.38945474630411475
149,9.21,8.92,0.62,0.37153831621023053,0.9568410788830939,0.732686018252804,0.928509924679993,0.2609788157901289,0.3913803441016987
150,9.252,8.97,0.5,0.37077436108380724,0.954812053608386,0.7309603384786726,0.9263367982375249,0.2608004054557567,0.3932862281772424
151,9.315,9.03,0.38,0.37003341457682265,0.9527551424351591,0.7292646074060779,0.9241762434586308,0.2606321370456316,0.3951708774468645
152,9.377,9.08,0.53,0.36931599308422236,0.9506716437459695,0.7276000359948488,0.9220299439410209,0.2604745207912533,0.39703281768935145
153,9.419,9.14,0.56,0.3686225769516645,0.9485628435476459,0.7259677722806027,0.9198995181377352,0.26032804265319215,0.3988706216727726
154,9.461,9.19,0.5,0.3679536107923726,0.9464300147939105,0.7243689017822973,0.9177865195706295,0.2601931642250995,0.4006829092481121
155,9.523,9.25,0.37,0.3673095038298287,0.9442744167428061,0.7228044479587977,0.9156924371021272,0.26007032266720287,0.40246834741057586
156,9.585,9.3,0.66,0.36669063026581955,0.9420972943484772,0.7212753727132762,0.9136186952636736,0.2599599306693517,0.4042256503292092
157,9.645,9.36,0.48,0.36609732967331077,0.9398998776868669,0.7197825769442214,0.9115666546393025,0.259862376443681,0.4059535793454372
158,9.687,9.41,0.16,0.36552990741358304,0.9376833814148761,0.7183269011417963,0.9095376123027109,0.2597780237469374,0.4076509429411149
159,9.748,9.47,0.44,0.3649886350770222,0.9354490042625252,0.7169091260282382,0.9075328023062242,0.25970721193249197,0.4093165966766416
160,9.809,9.52,0.41,0.3644737509469212,0.933197928557631,0.7155299732409498,0.9055533962200399,0.2596502560319988,0.41094944309967063
161,9.851,9.58,0.26,0.36398546048560126,0.9309313197825229,0.7141901060568849,0.9036005037201431,0.259607446866566,0.41254843162497257
162,9.953,9.63,0.24,0.3635239368420849,0.9286503261624655,0.7128901301567725,0.9016751732233282,0.2595790511871817,0.41411255838605515
163,9.974,9.69,0.42,0.36308932138046796,0.9263560782856356,0.7116305944276623,0.8997783925678037,0.2595653118440633,0.4156408660591688
164,10.014,9.74,0.3,0.3626817242280955,0.9240496887546068,0.7104119918022332,0.8979110897378749,0.25956644798452766,0.4171324436603364
165,10.077,9.8,0.07,0.36230122484262933,0.9217322518692677,0.709234760133285,0.8960741336311873,0.2595826552789215,0.4185864263160775
166,10.117,9.85,0.44,0.3619478725970959,0.9194048433410255,0.7080992831018137,0.8942683348669738,0.2596141061740862,0.4200019950085277
167,10.178,9.91,0.33,0.36162168738201034,0.917068520038042,0.7070058911570674,0.8924944466337162,0.25966095017378,0.4213783762956896
168,10.24,9.96,0.09,0.36132266022366644,0.9147243197611662,0.705954862486985,0.8907531655745704,0.2597233141454133,0.42271484200758647
169,10.343,10.02,0.29,0.36105075391767527,0.9123732610501905,0.7049464240174393,0.8890451327088349,0.2598013026524019,0.42401070891911147
170,10.364,10.07,0.31,0.3608059036768335,0.9100163430200036,0.7039807524387419,0.8873709343876736,0.25989499831140384,0.42526533840035674
171,10.406,10.13,0.25,0.3605880177924269,0.907654545226065,0.7030579752579187,0.8857311032821866,0.2600044621736504,0.4264781360451924
172,10.468,10.18,0.17,0.3603969783080953,0.905288827558446,0.7021781718752983,0.8841261194018716,0.2601297341295192,0.4276485512788472
173,10.529,10.24,0.45,0.3602326417054082,0.9029201301635256,0.7013413746839697,0.8825564111414613,0.2602708333354487,0.4287760769451979
174,10.57,10.29,0.34,0.36009483960033256,0.900549373392243,0.7005475701906915,0.881022356354115,0.2604277586622724,0.4298602488744055
175,10.632,10.35,0.04,0.3599833794498195,0.898177457773633,0.6997967001568504,0.8795242834488991,0.2606004891640298,0.4309006454314817
176,10.693,10.4,0.45,0.3598980452677697,0.8958052640122255,0.6990886627581026,0.8780624725104886,0.26078898456630717,0.4318968870463307
177,10.734,10.46,0.38,0.35983859834967485,0.8934336530077798,0.6984233137613561,0.8766371564389931,0.26099318577314473,0.4328486357258075
178,10.795,10.51,0.25,0.3598047780052489,0.8910634658957696,0.6978004677177813,0.8752485221078307,0.26121301539150427,0.433755594548376
179,10.836,10.57,0.41,0.3597963022983554,0.8886955241071002,0.6972198991705243,0.8738967115376367,0.26144837827226014,0.4346175071419981
180,10.899,10.62,0.53,0.35981286879352786,0.8863306294456428,0.6966813438757933,0.8725818230842707,0.261699162066677,0.4354341571458835
181,10.96,10.68,0.42,0.3598541553083739,0.8839695641822639,0.69618450003597,0.8713039126390664,0.26196523779736075,0.43620536765668655
182,11.062,10.73,0.27,0.3599198206711395,0.8816130911641183,0.6957290295434001,0.8700629948395167,0.26224646044269284,0.4369310006596974
183,11.083,10.79,0.6,0.360009505482672,0.8792619539381347,0.6953145592335004,0.8688590442886632,0.2625426695337901,0.43761095644551545
184,11.124,10.84,0.42,0.36012283288197944,0.8769168768877619,0.6949406821458074,0.8676919967815241,0.2628536897630486,0.4382451730126404
185,11.165,10.9,0.12,0.36025940931455097,0.8745785653821512,0.6946069587915843,0.866561750536949,0.2631793316033213,0.4388336254563871
186,11.227,10.95,0.37,0.36041882530257097,0.8722477059370364,0.6943129184265956,0.8654681674333534,0.26351939193674395,0.43937632534451143
187,11.289,11.01,0.37,0.3606006562161452,0.8699249663866397,0.6940580603276554,0.8644110742468347,0.26387365469217267,0.43987332007995383
188,11.329,11.06,0.28,0.3608044630446503,0.8676109960659655,0.6938418550715585,0.8633902638902345,0.26424189149009236,0.44032469225119014
189,11.432,11.12,0.28,0.3610297931673035,0.8653064260029358,0.6936637458149856,0.862405496651799,0.2646238622937511,0.4407305589708003
190,11.452,11.17,0.5,0.3612761811220363,0.8630118691199281,0.6935231495739701,0.8614565014321766,0.26501931606520857,0.4410910712029684
191,11.513,11.23,0.41,0.3615431493717738,0.860727920444319,0.6934194585015256,0.8605429769785576,0.2654279914249598,0.4414064130806921
192,11.554,11.28,0.23,0.3618302090672484,0.8584551573276065,0.693352041162071,0.8596645931147767,0.2658496173137851,0.4416768012135366
