,Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy
0,1.178,0.04,0.0,0.5798401685317403,0.5234943310592411,0.6646186662397492,0.18644850894590614,0.5079588571437822,0.19922998964481653
1,1.199,0.1,0.0,0.5803776341076909,0.5224652980216502,0.6588375036779863,0.1896320386270242,0.5018327320126283,0.20781164033087576
2,1.218,0.15,0.0,0.5808894261443797,0.521432820183212,0.6530653744082882,0.19277816306676424,0.49569234263916817,0.21632940718364965
3,1.238,0.21,0.0,0.5813747147207041,0.5203976661475951,0.6473044627333294,0.19588608055510065,0.4895403104368107,0.22478000733089434
4,1.259,0.26,0.0,0.5818326734132466,0.5193606151615924,0.6415569472285759,0.19895503070799597,0.48337928390107754,0.2331602245427907
5,1.28,1.05,0.0,0.5822624797998303,0.5183224563602107,0.635824999149355,0.20198429481538013,0.47721193688083213,0.24146691227137032
6,1.301,1.11,0.0,0.5826633159590466,0.5172839880063046,0.6301107808468193,0.2049731961255525,0.47104096682418944,0.2496969965798389
7,1.362,1.16,0.0,0.5830343689653452,0.5162460167276082,0.6244164441926826,0.20792110006807138,0.46486909299990686,0.25784747895787946
8,1.425,1.22,0.0,0.5833748313792817,0.5152093567540716,0.6187441290125039,0.21082741441738884,0.45869905469498296,0.26591543901929043
9,1.571,1.27,0.0,0.5836839017325238,0.5141748291584595,0.6130959615272011,0.21369158939967828,0.4525336093891125,0.27389803707857757
10,1.592,1.33,-0.06,0.5839607850072206,0.5131432611032044,0.6074740528023949,0.21651311774547502,0.44637553090658283,0.281792516603377
11,1.613,1.38,-0.15,0.5842046931093693,0.5121154850964649,0.6018804972051482,0.21929153469081816,0.44022760754609486,0.2895962065398489
12,1.654,1.44,-0.07,0.5844148453358758,0.5110923382600431,0.5963173708677731,0.22202641792937663,0.4340926401887944,0.2973065235085016
13,1.696,1.49,-0.04,0.5845904688350886,0.5100746616112735,0.5907867301585842,0.22471738751750142,0.42797344038441054,0.3049209738683681
14,1.757,1.55,-0.08,0.5847307990605756,0.5090632993604364,0.5852906101596881,0.22736410573356228,0.42187282841491,0.31243715564804836
15,1.88,1.6,-0.1,0.5848350802177903,0.5080590982249668,0.579831023151918,0.22996627689264604,0.41579363133469766,0.31985276034269
16,1.941,1.66,0.02,0.5849025657030636,0.5070629067616383,0.574409957106957,0.23252364711766713,0.40973868098627003,0.32716557457636325
17,1.961,1.71,-0.02,0.5849325185342514,0.5060755747177463,0.5690293741866587,0.23503600406788752,0.403710811990239,0.3343734816295496
18,1.983,1.77,-0.09,0.5849242117723734,0.5050979524020685,0.5636912092496097,0.23750317662571738,0.3977128597087102,0.34147446283173366
19,2.023,1.82,0.07,0.5848769289336809,0.5041308900761391,0.5583973683650507,0.23992503454257952,0.3917476581811105,0.3484665988193392
20,2.086,1.88,0.03,0.5847899643917648,0.503175237366146,0.5531497273344055,0.24230148804455864,0.38581803803173015,0.35534807065948176
21,2.128,1.93,-0.03,0.5846626237694528,0.5022318426955923,0.5479501302208217,0.24463248739855775,0.37992682434841724,0.36211716084023976
22,2.212,1.99,0.04,0.5844942243203609,0.5013015527387856,0.5428003878872446,0.24691802243983196,0.37407683453207563,0.36877225412832976
23,2.274,2.04,0.08,0.5842840953000271,0.500385211895076,0.5377022765436749,0.24915812206190618,0.3682708761168678,0.3753118382951802
24,2.295,2.1,0.05,0.5840315783266022,0.49948366178349146,0.5326575363044319,0.2513528536698109,0.3625117445612268,0.38173450471249204
25,2.355,2.15,0.01,0.5837360277310206,0.4985977407571639,0.5276678697563788,0.2535023225974089,0.35680222100993986,0.38803894881851503
26,2.417,2.21,0.13,0.5833968108964571,0.4977282834367719,0.5227349405391378,0.25560667148948113,0.3511450700277754,0.39422397045636226
27,2.458,2.26,0.08,0.5830133085866963,0.49687612026207917,0.517860371938406,0.25766607964911986,0.3455430373053606,0.4002884740857362
28,2.52,2.32,-0.0,0.5825849152628605,0.49604207706050285,0.5130457454935556,0.2596807623508069,0.3399988473382318,0.40623146886950634
29,2.583,2.37,0.16,0.5821110393878005,0.4952269746314938,0.5082925996207739,0.261650970119401,0.33451520108020505,0.4120520686366575
30,2.643,2.43,0.15,0.5815911037174403,0.49443162834531507,0.5036024282531083,0.26357698797507634,0.32909477357245537,0.4177494917232349
31,2.685,2.48,0.09,0.5810245455785106,0.4936568477546027,0.49897667949894825,0.2654591346440831,0.3237402115499296,0.42332306069307646
32,2.725,2.54,0.13,0.5804108171323622,0.4929034362169849,0.4944167543206299,0.2672977617351783,0.3184541310270184,0.4287722019402707
33,2.786,2.59,0.19,0.5797493856249045,0.4921721905269061,0.48992400523505786,0.26909325288164543,0.3132391148648278,0.43409644517530915
34,2.848,2.65,0.14,0.5790397336231149,0.4914639005545657,0.4854997350384901,0.27084602284883874,0.3080977103227944,0.43929542279690154
35,2.908,2.7,0.08,0.5782813592389437,0.490779348889722,0.48114519555785995,0.27255651660726854,0.3030324265977227,0.44436886915148227
36,3.011,2.76,0.2,0.5774737763417134,0.4901193104882062,0.4768615864311342,0.27422520837151093,0.2980457323536351,0.4493166196825255
37,3.032,2.81,0.14,0.5766165147602885,0.4894845523192348,0.4726500539192665,0.27585260060556044,0.2931400532460971,0.45413860997187827
38,3.072,2.87,0.03,0.5757091204763585,0.48887583301190013,0.4685116897523208,0.2774392229955326,0.28831776944487714,0.4588348746754356
39,3.153,2.92,0.13,0.5747511558101253,0.4882939024995186,0.4644475300122959,0.27898563139088617,0.28358121315895024,0.46340554635557696
40,3.194,2.98,0.14,0.573742199599553,0.48773950166078717,0.4604585540551278,0.28049240671552067,0.27893266616797907,0.4678508542128571
41,3.215,3.03,0.07,0.5726818473741428,0.4872133619569603,0.45654568347426266,0.28196015385022893,0.2743743573644386,0.47217112271957046
42,3.276,3.09,0.05,0.5715697115239964,0.48671620506461366,0.45270978110804316,0.28338950048822514,0.26990846031057947,0.47636677015795914
43,3.38,3.14,0.11,0.570405421464821,0.48624874250391037,0.4489516500929953,0.2847810959658167,0.2655370908145322,0.48043830706591706
44,3.401,3.2,0.06,0.5691886237995495,0.48581167526250185,0.4452720329650632,0.2861356100705275,0.2612623045299781,0.48438633459312425
45,3.441,3.25,-0.03,0.5679189824773436,0.4854056934153537,0.4416716108109034,0.28745373182910533,0.25708609458384774,0.4882115427707243
46,3.503,3.31,0.1,0.5665961789508456,0.48503147574100186,0.4381510024714284,0.288736168277948,0.25301038923651625,0.49191470869788023
47,3.563,3.36,0.03,0.5652199123326116,0.48468968933496476,0.43471076379984785,0.2899836432185714,0.24903704957895825,0.4954966946487508
48,3.625,3.42,-0.06,0.5637898995516805,0.48438098922124007,0.43135138697644854,0.2911968959608189,0.24516786727131054,0.4989584461036184
49,3.667,3.47,-0.01,0.5623058755111943,0.4841060179629994,0.4280732998822823,0.29237668005665984,0.24140456232728655,0.5023009897080479
50,3.748,3.53,-0.01,0.5607675932479079,0.4838654052736921,0.42487686553384163,0.29352376202754005,0.2377487809488936,0.5055254311640487
51,3.769,3.58,-0.06,0.5591748240942788,0.4836597676297377,0.4217623815807197,0.2946389200882182,0.23420209341580403,0.5086329530573156
52,3.831,3.64,-0.11,0.5575273578435953,0.4834897078859716,0.4187300798681111,0.2957229428699455,0.23076599203356457,0.5116248126247673
53,3.894,3.69,-0.01,0.5558250029183364,0.48335581489499635,0.41578012606582093,0.29677662814578465,0.22744188914468588,0.5145023394666847
54,3.956,3.75,-0.07,0.5540675865417478,0.48325866313148186,0.41291261936530577,0.2978007815607365,0.22423111520654093,0.5172669332077866
55,3.998,3.8,-0.16,0.5522549549125191,0.4831988123222624,0.41012759224615547,0.29879621536919765,0.22113491693990311,0.5199200611116024
56,4.141,3.86,-0.01,0.5503869733824495,0.4831768070828658,0.40742501031333106,0.2997637471821875,0.21815445555190968,0.5224632556524738
57,4.162,3.91,-0.06,0.5484635266370879,0.4831931765608876,0.4048047722064093,0.3007041987267053,0.21529080503724699,0.5248981120494557
58,4.181,3.97,-0.13,0.5464845188794485,0.48324843408644946,0.40226670958203503,0.3016183946194863,0.21254495056136954,0.527226285766309
59,4.222,4.02,-0.09,0.5444498740169894,0.48334307682992866,0.39981058717069484,0.30250716115738846,0.2099177869296291,0.5294494899816717
60,4.264,4.08,-0.07,0.5423595358521137,0.48347758546708786,0.39743610290885745,0.3033713251265714,0.20741011714630503,0.5315694930332926
61,4.326,4.13,-0.13,0.5402134682764907,0.4836524238515605,0.39514288814747905,0.3042117126324068,0.20502265106758338,0.5335881158400239
62,4.387,4.19,-0.21,0.5380116554694788,0.48386803869448103,0.3929305079377985,0.30502914795182234,0.20275600415250286,0.5355072293051448
63,4.509,4.24,-0.1,0.5357541021008332,0.48412485925098403,0.3907984613952065,0.3058244524096567,0.20061069631583328,0.5373287517044871
64,4.53,4.3,-0.17,0.5334408335377289,0.48442329701326275,0.38874618214183126,0.3065984432804802,0.19858715088674464,0.5390546460627677
65,4.55,4.35,-0.27,0.5310718960559278,0.4847637454098509,0.3867730388283314,0.3073519327171653,0.19668569367692534,0.540686917521518
66,4.612,4.41,-0.15,0.5286473570547126,0.48514657951076745,0.3848783357352239,0.30808572670733936,0.1949065521615884,0.5422276107020055
67,4.653,4.46,-0.17,0.5261673052750837,0.4855721557380939,0.38306131345392375,0.3088006240586773,0.19324985477660295,0.5436788070664939
