Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy,CH4_Oxy,CH4_Deoxy,CH1_PD730,CH1_PD850,CH2_PD730,CH2_PD850,CH3_PD730,CH3_PD850,CH4_PD730,CH4_PD850,Answers,airplane_playstate,trail_times,frameRate,Airplane X,Airplane Y,Correct,Wrong,Slow,AnswerRate,CorrectRate,VFTstates,VFTchoose,VFTCount,Culfstates,ax,ay,az,gx,gy,gz
1.223,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1619.00,2416.00,222.00,147.00,1331.00,2976.00,809.00,1553.00,,,,,,,,,,,,0,0,0,,-896,15568,3852,-119,42,-191
1.243,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1499.00,2672.00,139.00,371.00,1204.00,2896.00,710.00,1488.00,,,,,,,,,,,,0,0,0,,-980,15584,3912,-205,183,-124
1.264,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1385.00,2523.00,21.00,253.00,1428.00,2783.00,922.00,1396.00,,,,,,,,,,,,0,0,0,,-840,15648,3720,-59,158,-225
1.284,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1633.00,2458.00,209.00,194.00,1343.00,2967.00,833.00,1577.00,,,,,,,,,,,,0,0,0,,-988,15604,3824,-56,100,-184
1.304,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1519.00,2601.00,151.00,293.00,1266.00,2928.00,752.00,1505.00,,,,,,,,,,,,0,0,0,,-1028,15540,3756,-66,110,-150
1.325,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440.00,2544.00,79.00,272.00,1354.00,2879.00,848.00,1472.00,,,,,,,,,,,,0,0,0,,-980,15596,3720,-192,177,-173
1.346,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1622.00,2448.00,223.00,159.00,1332.00,3006.00,799.00,1575.00,,,,,,,,,,,,0,0,0,,-996,15684,3796,-142,96,-120
1.366,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1520.00,2678.00,137.00,350.00,1212.00,2929.00,714.00,1481.00,,,,,,,,,,,,0,0,0,,-972,15608,3864,-149,105,-144
1.408,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1395.00,2555.00,21.00,263.00,1435.00,2818.00,915.00,1396.00,,,,,,,,,,,,0,0,0,,-944,15652,3852,-183,126,-170
1.469,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1665.00,2450.00,240.00,173.00,1344.00,3012.00,814.00,1605.00,,,,,,,,,,,,0,0,0,,-988,15540,3740,-158,155,-134
1.531,1.28,-0.06,-1.25,-0.00,-6.01,-0.13,-1.10,1.11,-1.46,1.83,1565.00,2663.00,162.00,315.00,1273.00,2960.00,755.00,1518.00,,,,,,,,,,,,0,0,0,,-976,15592,4036,-134,51,-175
1.593,1.34,-0.02,-1.15,1.34,-14.94,18.11,0.69,-0.71,1.67,-1.13,1453.00,2559.00,71.00,275.00,1360.00,2896.00,837.00,1452.00,,,,,,,,,,,,0,0,0,,-896,15652,3948,-53,-42,-194
1.654,1.39,0.01,0.32,-0.56,1.78,-1.33,0.62,-0.56,0.08,-0.13,1568.00,2541.00,150.00,239.00,1350.00,2891.00,816.00,1505.00,,,,,,,,,,,,0,0,0,,-924,15636,3940,-90,47,-190
1.717,1.45,0.00,-0.04,-0.05,6.08,-7.04,-0.22,0.23,-0.75,0.66,1535.00,2542.00,189.00,235.00,1314.00,2927.00,794.00,1523.00,,,,,,,,,,,,0,0,0,,-888,15556,3820,-97,98,-277
1.737,1.50,-0.02,-1.15,0.58,-9.07,4.27,-0.49,1.17,-0.43,1.43,1514.00,2612.00,135.00,316.00,1255.00,2885.00,757.00,1473.00,,,,,,,,,,,,0,0,0,,-772,15580,3640,-251,316,-329
1.799,1.56,0.10,-0.87,1.14,-11.54,16.20,2.34,-1.78,3.34,-2.64,1461.00,2544.00,74.00,253.00,1398.00,2791.00,881.00,1415.00,,,,,,,,,,,,0,0,0,,-920,15780,3760,-410,-199,-203
1.899,1.61,0.04,1.91,-1.73,23.90,-16.34,-0.95,0.47,-2.05,1.26,1622.00,2461.00,226.00,149.00,1314.00,2993.00,787.00,1578.00,,,,,,,,,,,,0,0,0,,-1104,15608,4240,71,-302,-163
1.92,1.67,-0.03,-1.92,0.86,-11.31,4.09,-1.47,2.24,-1.66,3.29,1512.00,2672.00,142.00,347.00,1205.00,2913.00,700.00,1471.00,,,,,,,,,,,,0,0,0,,-964,15516,3964,-161,60,-246
1.962,1.72,0.11,-1.59,2.28,inf,inf,2.72,-2.24,4.58,-3.70,1392.00,2539.00,0.00,259.00,1423.00,2783.00,912.00,1386.00,,,,,,,,,,,,0,0,0,,-844,15752,3836,-59,-95,-272
2.046,1.78,0.07,2.54,-2.21,22.96,-15.94,-0.65,0.08,-1.63,0.47,1646.00,2432.00,225.00,153.00,1335.00,2989.00,815.00,1585.00,,,,,,,,,,,,0,0,0,,-1132,15492,3820,96,-44,-136
2.068,1.83,0.02,-1.20,0.34,-5.99,0.92,-0.96,1.24,-1.57,2.31,1535.00,2634.00,153.00,306.00,1261.00,2934.00,737.00,1505.00,,,,,,,,,,,,0,0,0,,-1000,15524,3816,-47,115,-110
2.13,1.89,0.07,-1.23,1.46,-13.73,17.70,0.98,-0.77,2.04,-1.08,1445.00,2558.00,71.00,265.00,1357.00,2867.00,829.00,1429.00,,,,,,,,,,,,0,0,0,,-864,15632,3660,-131,117,-196
2.213,1.94,0.08,0.29,-0.44,0.66,0.32,0.46,-0.54,0.41,-0.22,1558.00,2535.00,140.00,239.00,1353.00,2909.00,815.00,1489.00,,,,,,,,,,,,0,0,0,,-1052,15712,3692,-117,103,-161
2.273,2.00,0.05,0.03,-0.35,5.69,-4.85,-0.58,0.15,-1.02,0.96,1558.00,2555.00,169.00,225.00,1328.00,2975.00,785.00,1527.00,,,,,,,,,,,,0,0,0,,-1040,15660,3868,-141,174,-154
2.293,2.05,0.01,-1.65,0.78,-9.21,3.78,-0.74,0.73,-0.76,1.66,1511.00,2649.00,139.00,322.00,1291.00,2948.00,752.00,1483.00,,,,,,,,,,,,0,0,0,,-1012,15632,3712,-92,105,-212
2.354,2.11,0.09,-1.38,1.34,-15.18,20.99,1.56,-1.76,2.40,-2.15,1459.00,2582.00,61.00,257.00,1417.00,2878.00,873.00,1450.00,,,,,,,,,,,,0,0,0,,-980,15664,3864,-173,138,-156
2.416,2.16,0.03,1.70,-1.80,20.78,-17.95,-1.03,0.23,-2.28,1.43,1635.00,2487.00,261.00,176.00,1333.00,3022.00,783.00,1585.00,,,,,,,,,,,,0,0,0,,-1016,15664,4152,-207,132,-76
2.478,2.22,-0.04,-2.09,0.93,-12.68,4.94,-1.36,2.12,-2.03,3.44,1511.00,2685.00,139.00,358.00,1211.00,2911.00,699.00,1487.00,,,,,,,,,,,,0,0,0,,-952,15564,3868,-65,203,-168
2.541,2.27,0.10,-1.77,2.47,-38.50,53.55,2.64,-2.22,4.67,-3.83,1382.00,2544.00,16.00,270.00,1424.00,2791.00,917.00,1386.00,,,,,,,,,,,,0,0,0,,-928,15584,3876,-125,189,-53
2.561,2.33,0.06,2.41,-2.19,21.84,-15.73,-0.66,0.05,-1.67,0.58,1648.00,2443.00,227.00,159.00,1337.00,2992.00,811.00,1583.00,,,,,,,,,,,,0,0,0,,-916,15532,3944,-110,195,-108
2.644,2.38,0.01,-1.28,0.37,-4.94,-0.37,-0.92,1.25,-1.55,2.43,1535.00,2640.00,161.00,304.00,1259.00,2928.00,732.00,1499.00,,,,,,,,,,,,0,0,0,,-896,15596,3876,-124,168,-125
2.706,2.44,0.06,-1.40,1.70,-14.81,18.33,0.94,-0.68,1.96,-1.12,1431.00,2559.00,70.00,272.00,1351.00,2864.00,832.00,1435.00,,,,,,,,,,,,0,0,0,,-968,15596,3960,-98,140,-59
2.727,2.49,0.08,-0.07,-0.04,0.28,1.68,0.60,-0.59,0.22,0.12,1535.00,2544.00,131.00,234.00,1353.00,2896.00,803.00,1487.00,,,,,,,,,,,,0,0,0,,-904,15788,3820,-58,157,-173
2.789,2.55,0.05,0.09,-0.08,6.24,-4.48,-0.64,0.31,-1.15,0.98,1534.00,2531.00,164.00,218.00,1318.00,2969.00,786.00,1534.00,,,,,,,,,,,,0,0,0,,-936,15604,3884,-131,124,-187
2.85,2.60,-0.00,-1.64,0.90,-10.85,5.85,-0.99,1.17,-0.65,1.53,1501.00,2640.00,128.00,325.00,1266.00,2942.00,756.00,1482.00,,,,,,,,,,,,0,0,0,,-844,15608,3872,-105,82,-171
2.912,2.66,0.08,-0.96,1.18,-15.16,20.10,1.75,-1.73,2.96,-2.47,1460.00,2550.00,64.00,263.00,1409.00,2853.00,879.00,1430.00,,,,,,,,,,,,0,0,0,,-960,15640,3900,-125,98,-169
3.016,2.71,-0.01,1.67,-1.66,18.95,-14.18,-1.79,0.99,-2.14,1.01,1623.00,2480.00,220.00,171.00,1297.00,3051.00,799.00,1594.00,,,,,,,,,,,,0,0,0,,-848,15652,3856,-94,133,-210
3.058,2.77,-0.12,-2.36,0.94,-12.67,4.42,-2.13,2.30,-2.52,3.77,1518.00,2714.00,143.00,363.00,1216.00,2986.00,693.00,1503.00,,,,,,,,,,,,0,0,0,,-1084,15596,3904,-135,106,-148
3.079,2.82,-0.01,-2.40,2.64,-38.74,53.63,2.06,-2.32,3.74,-3.53,1385.00,2596.00,16.00,272.00,1447.00,2864.00,918.00,1427.00,,,,,,,,,,,,0,0,0,,-948,15776,3932,-80,107,-127
3.12,2.88,-0.07,1.79,-2.00,18.63,-14.57,-1.29,0.02,-2.29,0.78,1650.00,2491.00,226.00,175.00,1355.00,3071.00,811.00,1613.00,,,,,,,,,,,,0,0,0,,-896,15624,3932,-22,190,-206
3.182,2.93,-0.13,-1.42,0.09,-6.83,0.73,-1.21,1.23,-1.70,2.13,1562.00,2674.00,157.00,318.00,1267.00,2963.00,746.00,1520.00,,,,,,,,,,,,0,0,0,,-960,15532,3844,-184,95,-159
3.244,2.99,-0.08,-1.60,1.65,-14.91,19.45,0.85,-0.58,1.78,-0.99,1440.00,2583.00,66.00,265.00,1346.00,2867.00,829.00,1440.00,,,,,,,,,,,,0,0,0,,-952,15760,3864,-78,112,-182
3.326,3.04,-0.05,-0.31,0.33,-0.20,1.28,0.58,-0.34,0.55,-0.40,1511.00,2543.00,135.00,241.00,1335.00,2879.00,821.00,1488.00,,,,,,,,,,,,0,0,0,,-1012,15524,3912,-41,154,-129
3.367,3.10,-0.06,-0.17,0.13,5.99,-3.94,-0.42,0.26,-1.34,1.23,1524.00,2543.00,160.00,217.00,1316.00,2947.00,778.00,1535.00,,,,,,,,,,,,0,0,0,,-1068,15552,3712,-158,157,-201
3.388,3.15,-0.09,-1.76,1.08,-11.72,6.00,-0.65,1.09,-0.81,1.39,1490.00,2640.00,129.00,335.00,1264.00,2909.00,764.00,1497.00,,,,,,,,,,,,0,0,0,,-896,15752,3832,-72,108,-84
3.45,3.21,0.01,-1.18,1.60,-15.85,21.83,1.96,-1.78,2.66,-2.26,1433.00,2544.00,59.00,258.00,1408.00,2834.00,874.00,1439.00,,,,,,,,,,,,0,0,0,,-948,15580,3992,-122,121,-139
3.509,3.26,-0.04,1.92,-1.66,20.67,-14.92,-1.00,0.25,-2.47,1.35,1616.00,2456.00,222.00,163.00,1331.00,3017.00,789.00,1600.00,,,,,,,,,,,,0,0,0,,-964,15704,3844,-112,132,-75
3.571,3.32,-0.12,-2.40,1.34,-14.00,6.06,-1.66,2.26,-2.13,3.21,1486.00,2688.00,134.00,366.00,1208.00,2934.00,709.00,1502.00,,,,,,,,,,,,0,0,0,,-972,15704,3796,-105,141,-199
3.612,3.37,-0.00,-2.06,2.80,-40.54,56.70,2.27,-2.17,4.14,-3.61,1365.00,2551.00,14.00,269.00,1430.00,2829.00,915.00,1407.00,,,,,,,,,,,,0,0,0,,-968,15576,3944,-102,101,-187
3.672,3.43,-0.05,2.18,-2.00,20.42,-15.00,-0.88,-0.09,-2.18,0.79,1638.00,2453.00,224.00,165.00,1353.00,3030.00,809.00,1606.00,,,,,,,,,,,,0,0,0,,-1060,15744,3960,-92,138,-151
3.736,3.48,-0.11,-1.35,0.39,-6.75,2.30,-1.31,1.31,-1.80,2.29,1535.00,2646.00,144.00,304.00,1264.00,2969.00,741.00,1520.00,,,,,,,,,,,,0,0,0,,-844,15608,4096,-113,170,-128
3.796,3.54,-0.08,-1.41,1.72,-17.52,20.33,0.42,-0.61,1.25,-0.92,1430.00,2559.00,66.00,287.00,1359.00,2919.00,834.00,1468.00,,,,,,,,,,,,0,0,0,,-912,15636,3992,-108,154,-120
3.859,3.59,-0.07,-0.26,0.02,-3.68,4.18,0.15,-0.52,0.17,-0.36,1535.00,2559.00,123.00,256.00,1359.00,2943.00,825.00,1509.00,,,,,,,,,,,,0,0,0,,-1036,15596,3924,-77,150,-138
3.88,3.65,-0.12,-0.26,0.02,5.30,-3.93,-0.96,0.10,-1.26,0.39,1535.00,2559.00,162.00,223.00,1341.00,3024.00,813.00,1565.00,,,,,,,,,,,,0,0,0,,-872,15608,3876,-71,145,-165
3.983,3.70,-0.17,-2.18,1.01,-12.49,6.26,-1.14,0.92,-1.35,1.74,1507.00,2689.00,129.00,343.00,1287.00,2980.00,757.00,1515.00,,,,,,,,,,,,0,0,0,,-892,15756,3760,-139,101,-257
4.002,3.76,-0.07,-1.46,1.48,-16.90,21.27,1.84,-1.72,2.76,-2.40,1450.00,2581.00,62.00,273.00,1406.00,2842.00,879.00,1439.00,,,,,,,,,,,,0,0,0,,-1004,15532,3944,-153,130,-138
4.064,3.81,-0.11,1.84,-1.63,21.06,-14.80,-0.95,0.28,-2.34,1.19,1616.00,2462.00,219.00,160.00,1328.00,3009.00,794.00,1599.00,,,,,,,,,,,,0,0,0,,-948,15628,3940,-29,190,-143
4.125,3.87,-0.18,-2.33,1.21,-14.27,6.57,-1.49,2.33,-2.09,3.33,1495.00,2691.00,131.00,365.00,1200.00,2909.00,704.00,1495.00,,,,,,,,,,,,0,0,0,,-996,15584,3732,-105,177,-135
4.167,3.92,-0.04,-1.78,2.51,-36.89,53.01,2.57,-2.21,4.08,-3.38,1379.00,2542.00,16.00,257.00,1425.00,2798.00,905.00,1402.00,,,,,,,,,,,,0,0,0,,-976,15552,3736,-100,152,-106
4.229,3.98,-0.07,2.08,-1.77,16.94,-12.29,-0.62,-0.04,-1.88,0.69,1621.00,2448.00,206.00,176.00,1343.00,2995.00,809.00,1591.00,,,,,,,,,,,,0,0,0,,-948,15568,3892,-132,77,-196
4.291,4.03,-0.12,-1.11,0.42,-4.90,0.44,-0.96,1.33,-1.81,2.39,1526.00,2619.00,154.00,297.00,1255.00,2927.00,737.00,1516.00,,,,,,,,,,,,0,0,0,,-972,15584,4056,-156,155,-105
4.353,4.09,-0.08,-1.31,1.76,-15.64,19.69,0.59,-0.34,1.42,-0.87,1424.00,2546.00,66.00,271.00,1335.00,2878.00,829.00,1456.00,,,,,,,,,,,,0,0,0,,-940,15648,3920,-62,100,-152
4.395,4.14,-0.07,-0.10,0.15,-2.65,4.13,0.06,0.03,0.20,-0.12,1520.00,2534.00,121.00,246.00,1321.00,2910.00,814.00,1498.00,,,,,,,,,,,,0,0,0,,-1020,15592,3952,-88,93,-168
4.476,4.20,-0.10,0.04,0.03,5.24,-3.33,-0.66,0.38,-1.19,1.02,1526.00,2528.00,157.00,220.00,1314.00,2967.00,785.00,1535.00,,,,,,,,,,,,0,0,0,,-1056,15508,3828,-55,118,-154
4.497,4.25,-0.15,-1.84,0.96,-12.49,6.69,-1.10,1.33,-1.33,1.86,1502.00,2657.00,126.00,339.00,1258.00,2943.00,752.00,1509.00,,,,,,,,,,,,0,0,0,,-1060,15532,4124,-124,110,-135
4.558,4.31,-0.06,-1.13,1.30,-15.18,20.99,1.66,-1.76,2.59,-2.37,1455.00,2559.00,61.00,257.00,1414.00,2866.00,880.00,1447.00,,,,,,,,,,,,0,0,0,,-860,15680,3988,-83,179,-195
4.601,4.36,-0.13,1.74,-1.68,18.87,-14.48,-1.42,0.35,-2.73,1.46,1623.00,2475.00,224.00,173.00,1334.00,3059.00,788.00,1612.00,,,,,,,,,,,,0,0,0,,-984,15520,3888,-163,98,-149
4.662,4.42,-0.23,-2.27,0.70,-15.18,7.31,-2.11,2.34,-2.66,3.49,1535.00,2721.00,128.00,371.00,1213.00,2981.00,705.00,1522.00,,,,,,,,,,,,0,0,0,,-908,15732,4064,-79,106,-117
4.725,4.47,-0.12,-2.36,2.55,-35.00,48.25,1.98,-2.17,3.70,-3.40,1391.00,2599.00,20.00,271.00,1437.00,2861.00,912.00,1424.00,,,,,,,,,,,,0,0,0,,-964,15608,3840,-87,157,-211
4.787,4.53,-0.15,1.67,-1.94,18.12,-14.23,-0.81,0.01,-1.90,0.65,1648.00,2499.00,224.00,177.00,1344.00,3014.00,811.00,1594.00,,,,,,,,,,,,0,0,0,,-988,15448,4044,-124,39,-176
