Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy,CH4_Oxy,CH4_Deoxy,CH1_PD730,CH1_PD850,CH2_PD730,CH2_PD850,CH3_PD730,CH3_PD850,CH4_PD730,CH4_PD850,Answers,airplane_playstate,trail_times,frameRate,Airplane X,Airplane Y,Correct,Wrong,Slow,AnswerRate,CorrectRate,VFTstates,VFTchoose,VFTCount,Culfstates,ax,ay,az,gx,gy,gz
1.168,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,732.00,1646.00,637.00,767.00,2228.00,3729.00,1001.00,1302.00,,,,,,,,,,,,0,0,0,,-672,14200,7368,183,524,-73
1.189,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,562.00,1785.00,813.00,675.00,2175.00,4001.00,928.00,1535.00,,,,,,,,,,,,0,0,0,,-424,14340,7004,-49,276,-92
1.209,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,700.00,1499.00,735.00,826.00,2071.00,3803.00,831.00,1410.00,,,,,,,,,,,,0,0,0,,-384,14568,7156,-102,295,-174
1.292,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,890.00,1604.00,666.00,769.00,2176.00,3691.00,977.00,1357.00,,,,,,,,,,,,0,0,0,,-416,14336,6884,21,28,-421
1.312,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,583.00,1770.00,735.00,704.00,2158.00,3761.00,918.00,1445.00,,,,,,,,,,,,0,0,0,,-712,14468,6724,37,-413,-571
1.333,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,511.00,1825.00,823.00,655.00,2153.00,3931.00,901.00,1515.00,,,,,,,,,,,,0,0,0,,-704,14276,7376,-217,265,32
1.353,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,713.00,1481.00,739.00,878.00,2032.00,3792.00,784.00,1397.00,,,,,,,,,,,,0,0,0,,-620,14252,7292,-213,64,-156
1.375,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,963.00,1661.00,610.00,778.00,2241.00,3610.00,1059.00,1267.00,,,,,,,,,,,,0,0,0,,-648,14260,7336,-138,105,-112
1.395,1.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,523.00,1807.00,808.00,688.00,2186.00,3891.00,934.00,1488.00,,,,,,,,,,,,0,0,0,,-644,14284,7320,-89,87,-212
1.457,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,725.00,1529.00,762.00,794.00,2096.00,3847.00,832.00,1424.00,,,,,,,,,,,,0,0,0,,-732,14116,7228,-86,20,-210
1.519,1.32,0.01,3.12,-4.57,-3.46,2.82,0.24,-0.08,1.63,-1.04,835.00,1659.00,670.00,801.00,2151.00,3777.00,941.00,1363.00,,,,,,,,,,,,0,0,0,,-732,14252,7656,-142,76,-153
1.62,1.38,0.03,-0.21,-0.16,-1.62,1.63,0.35,-0.24,1.31,-1.24,699.00,1682.00,691.00,769.00,2166.00,3778.00,957.00,1388.00,,,,,,,,,,,,0,0,0,,-768,14172,7536,-186,133,-130
1.641,1.43,-0.05,-2.54,1.38,2.51,-1.85,-1.47,0.36,-1.53,0.73,671.00,1770.00,774.00,717.00,2167.00,3995.00,906.00,1473.00,,,,,,,,,,,,0,0,0,,-756,14264,7420,-196,183,-60
1.682,1.49,-0.11,2.86,-2.72,-4.53,1.49,-1.42,0.96,-1.29,1.94,759.00,1595.00,734.00,866.00,2096.00,3923.00,845.00,1413.00,,,,,,,,,,,,0,0,0,,-644,14188,7304,-99,151,-36
