Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy,CH4_Oxy,CH4_Deoxy,CH1_PD730,CH1_PD850,CH2_PD730,CH2_PD850,CH3_PD730,CH3_PD850,CH4_PD730,CH4_PD850,Answers,airplane_playstate,trail_times,frameRate,Airplane X,Airplane Y,Correct,Wrong,Slow,AnswerRate,CorrectRate,VFTstates,VFTchoose,VFTCount,Culfstates,ax,ay,az,gx,gy,gz
1.213,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,675.00,1154.00,415.00,1341.00,364.00,931.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-3948,14964,3972,-46,113,-84
1.233,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,679.00,1111.00,321.00,1338.00,429.00,834.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-3872,15200,3740,8,188,-144
1.253,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,676.00,1085.00,394.00,1217.00,481.00,896.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-3996,15044,3656,-203,33,-247
1.273,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,733.00,1088.00,464.00,1295.00,353.00,973.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-3992,15092,3936,-167,38,-128
1.294,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,625.00,1159.00,329.00,1386.00,401.00,845.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-3924,15104,3956,-55,277,-169
1.315,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,688.00,1037.00,379.00,1269.00,503.00,869.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-3956,15116,3864,24,211,-133
1.335,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,765.00,1106.00,499.00,1315.00,420.00,1002.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-3956,15120,3592,-25,224,-166
1.355,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,655.00,1171.00,396.00,1431.00,403.00,902.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-4044,15144,3712,-51,126,-183
1.375,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,719.00,1057.00,372.00,1343.00,526.00,867.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-3920,15168,3708,-62,126,-173
1.457,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,752.00,1126.00,483.00,1291.00,446.00,971.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-3968,14988,3656,-105,69,-161
1.497,1.28,-0.18,-1.76,1.29,-0.60,-1.02,-3.64,4.16,0.00,0.00,671.00,1149.00,433.00,1392.00,369.00,939.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-4008,14976,3752,-31,175,-155
1.559,1.33,-0.05,-0.17,0.40,-4.66,4.97,2.55,-1.13,0.00,0.00,684.00,1105.00,337.00,1392.00,439.00,847.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-3928,15076,3616,-42,205,-158
1.6,1.39,0.05,0.47,0.34,1.28,-0.28,1.89,-3.20,0.00,0.00,678.00,1079.00,402.00,1267.00,497.00,919.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-4032,15048,3780,21,83,-201
1.662,1.44,-0.24,1.27,-1.49,2.85,-4.80,-5.88,4.96,0.00,0.00,738.00,1098.00,499.00,1344.00,368.00,1004.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-4008,15136,3712,-40,89,-156
1.722,1.50,-0.19,-3.71,3.08,-5.36,4.51,0.89,-0.01,0.00,0.00,631.00,1183.00,350.00,1449.00,426.00,878.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-4012,15060,3744,-146,143,-110
1.825,1.55,-0.00,1.68,-0.78,-0.58,0.48,3.54,-5.18,0.00,0.00,705.00,1060.00,399.00,1336.00,537.00,908.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-3948,15032,3564,-14,135,-142
1.847,1.61,-0.21,0.56,-1.94,3.24,-5.37,-4.24,1.45,0.00,0.00,766.00,1143.00,511.00,1344.00,432.00,1034.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-3988,15120,3672,-41,94,-160
1.886,1.66,-0.32,-3.63,2.28,-2.59,0.17,-2.38,2.34,0.00,0.00,658.00,1205.00,421.00,1459.00,398.00,938.00,4095.00,4095.00,,,,,,,,,,,,0,0,0,,-3956,15084,3516,-191,101,-258
