Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy,CH4_Oxy,CH4_Deoxy,CH1_PD730,CH1_PD850,CH2_PD730,CH2_PD850,CH3_PD730,CH3_PD850,CH4_PD730,CH4_PD850,Answers,airplane_playstate,trail_times,frameRate,Airplane X,Airplane Y,Correct,Wrong,Slow,AnswerRate,CorrectRate,VFTstates,VFTchoose,VFTCount,Culfstates,ax,ay,az,gx,gy,gz
1.418,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.00,414.00,336.00,569.00,994.00,2038.00,2132.00,3071.00,,,,,,,,,,,,0,0,0,,-1044,16116,2276,-79,233,-102
1.438,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,107.00,426.00,356.00,563.00,984.00,2062.00,2118.00,3099.00,,,,,,,,,,,,0,0,0,,-1088,16076,2292,-5,194,-110
1.458,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,427.00,350.00,575.00,963.00,2046.00,2110.00,3082.00,,,,,,,,,,,,0,0,0,,-940,16012,2304,-89,136,-164
1.479,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.00,427.00,336.00,576.00,978.00,2032.00,2126.00,3071.00,,,,,,,,,,,,0,0,0,,-904,16060,2280,-107,78,-185
1.499,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,103.00,417.00,347.00,561.00,986.00,2047.00,2123.00,3103.00,,,,,,,,,,,,0,0,0,,-956,16048,2184,-64,61,-150
1.519,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,384.00,368.00,618.00,958.00,2019.00,2078.00,3014.00,,,,,,,,,,,,0,0,0,,-996,15988,2416,-65,-4,-254
1.539,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.00,383.00,355.00,603.00,983.00,2014.00,2107.00,3026.00,,,,,,,,,,,,0,0,0,,-1088,16016,2456,-97,71,-151
1.642,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.00,383.00,381.00,590.00,975.00,2044.00,2085.00,3061.00,,,,,,,,,,,,0,0,0,,-980,16060,2412,-167,239,-167
1.663,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.00,385.00,369.00,622.00,961.00,2034.00,2086.00,3054.00,,,,,,,,,,,,0,0,0,,-1084,15896,2508,-186,213,-153
1.703,1.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.00,384.00,352.00,607.00,981.00,2032.00,2112.00,3046.00,,,,,,,,,,,,0,0,0,,-1076,16068,2560,-207,162,-128
1.764,1.33,-0.04,0.97,0.86,-0.62,0.68,-0.86,0.20,-0.33,0.21,83.00,379.00,346.00,592.00,981.00,2096.00,2096.00,3085.00,,,,,,,,,,,,0,0,0,,-1032,16024,2480,-153,144,-99
1.806,1.39,-0.08,-0.14,1.91,-0.38,-0.54,-0.74,0.54,-0.46,0.35,80.00,385.00,368.00,606.00,961.00,2067.00,2085.00,3089.00,,,,,,,,,,,,0,0,0,,-916,16124,2204,-148,56,-194
1.888,1.44,-0.07,-1.71,4.90,-1.21,0.56,0.06,0.01,0.16,0.01,70.00,378.00,352.00,608.00,975.00,2032.00,2101.00,3043.00,,,,,,,,,,,,0,0,0,,-1040,15920,2412,-146,102,-192
