Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy,CH4_Oxy,CH4_Deoxy,CH1_PD730,CH1_PD850,CH2_PD730,CH2_PD850,CH3_PD730,CH3_PD850,CH4_PD730,CH4_PD850,Answers,airplane_playstate,trail_times,frameRate,Airplane X,Airplane Y,Correct,Wrong,Slow,AnswerRate,CorrectRate,VFTstates,VFTchoose,VFTCount,Culfstates,ax,ay,az,gx,gy,gz
0.012,45.75,8.52,-2.25,-0.42,11.21,-12.87,8.14,0.39,-7.54,-7.46,194.00,365.00,100.00,85.00,535.00,950.00,797.00,966.00,,,,,,,,,,,,4,0,0,,-1872,16128,-1160,-107,119,-169
1.388,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,176.00,384.00,77.00,117.00,499.00,895.00,759.00,903.00,,,,,,,,,,,,0,0,0,,-1980,16172,576,292,144,-156
1.408,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,171.00,362.00,58.00,106.00,524.00,869.00,785.00,902.00,,,,,,,,,,,,0,0,0,,-2144,16116,412,271,52,-177
1.428,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180.00,356.00,80.00,80.00,534.00,903.00,779.00,918.00,,,,,,,,,,,,0,0,0,,-2048,16116,320,345,69,-228
1.449,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,176.00,366.00,80.00,106.00,493.00,907.00,765.00,929.00,,,,,,,,,,,,0,0,0,,-2272,16068,300,242,32,-226
1.469,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,170.00,368.00,55.00,112.00,523.00,885.00,784.00,912.00,,,,,,,,,,,,0,0,0,,-2128,16272,312,163,147,-128
1.489,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,177.00,357.00,75.00,83.00,541.00,906.00,801.00,935.00,,,,,,,,,,,,0,0,0,,-2192,16084,300,63,262,-97
1.509,1.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,183.00,357.00,98.00,86.00,533.00,950.00,781.00,954.00,,,,,,,,,,,,0,0,0,,-2064,16128,-108,44,190,-130
1.53,1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,176.00,370.00,77.00,115.00,511.00,939.00,777.00,945.00,,,,,,,,,,,,0,0,0,,-2160,16116,-32,-73,190,-157
1.572,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,175.00,362.00,59.00,118.00,543.00,912.00,796.00,931.00,,,,,,,,,,,,0,0,0,,-2156,16060,-128,-74,193,-96
1.632,1.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,185.00,352.00,80.00,80.00,545.00,945.00,793.00,951.00,,,,,,,,,,,,0,0,0,,-2144,16176,136,29,170,-163
1.694,1.29,-0.08,0.50,-0.59,-1.24,-1.28,-1.66,1.04,-1.16,0.72,181.00,362.00,81.00,109.00,511.00,946.00,768.00,953.00,,,,,,,,,,,,0,0,0,,-2020,16104,-116,108,84,-185
1.735,1.35,-0.07,-0.65,1.73,-8.97,7.49,0.24,-0.27,0.49,-0.23,163.00,356.00,58.00,117.00,530.00,909.00,785.00,916.00,,,,,,,,,,,,0,0,0,,-2176,16188,-100,66,0,-190
1.796,1.40,-0.01,0.59,0.43,3.31,0.42,0.97,-1.10,0.18,-0.34,171.00,351.00,68.00,87.00,547.00,903.00,794.00,930.00,,,,,,,,,,,,0,0,0,,-2164,16080,-24,14,111,-186
1.856,1.46,-0.05,1.49,-1.33,5.51,-6.10,-0.70,0.19,-0.61,0.18,185.00,355.00,93.00,95.00,526.00,932.00,783.00,946.00,,,,,,,,,,,,0,0,0,,-2236,16168,-112,5,191,-175
1.917,1.51,-0.05,-0.49,0.26,-5.91,-0.38,-0.05,0.07,0.26,-0.02,176.00,368.00,84.00,128.00,523.00,911.00,779.00,919.00,,,,,,,,,,,,0,0,0,,-2220,16132,-252,1,234,-130
1.958,1.57,0.03,0.59,-0.10,-2.06,2.78,1.50,-1.54,0.82,-0.77,176.00,356.00,66.00,101.00,555.00,895.00,803.00,917.00,,,,,,,,,,,,0,0,0,,-2100,16264,-224,35,200,-102
2.04,1.62,0.01,2.30,-2.09,10.67,-8.23,-0.36,-0.03,-0.55,0.14,190.00,351.00,95.00,82.00,529.00,925.00,784.00,945.00,,,,,,,,,,,,0,0,0,,-2104,16144,-312,-16,172,-19
2.061,1.68,-0.05,-0.23,0.38,-1.14,-0.37,-1.21,1.18,-0.49,0.52,174.00,363.00,77.00,106.00,503.00,926.00,767.00,933.00,,,,,,,,,,,,0,0,0,,-2012,16260,-68,126,162,-47
2.122,1.73,-0.01,0.02,1.06,-9.06,10.26,0.71,-0.46,0.29,-0.14,167.00,353.00,50.00,109.00,531.00,897.00,784.00,921.00,,,,,,,,,,,,0,0,0,,-2080,16136,-220,43,140,-104
2.164,1.79,-0.01,1.33,-0.46,8.69,-4.39,0.05,-0.72,-0.34,-0.10,177.00,349.00,80.00,80.00,545.00,927.00,791.00,943.00,,,,,,,,,,,,0,0,0,,-2036,16116,-136,127,151,0
2.226,1.84,-0.09,0.41,-0.04,1.61,-4.79,-1.52,1.00,-1.06,0.50,176.00,358.00,93.00,107.00,511.00,942.00,776.00,955.00,,,,,,,,,,,,0,0,0,,-2040,16128,-176,45,307,28
2.287,1.90,-0.11,-0.49,0.26,-16.51,17.36,-0.49,-0.20,-0.62,0.04,176.00,368.00,39.00,121.00,535.00,934.00,789.00,950.00,,,,,,,,,,,,0,0,0,,-2124,16140,-352,8,326,47
2.329,1.95,-0.09,0.32,0.09,0.90,0.70,0.16,-1.33,-0.29,-0.48,175.00,358.00,70.00,95.00,562.00,938.00,807.00,951.00,,,,,,,,,,,,0,0,0,,-1908,16116,-412,89,187,38
2.413,2.01,-0.18,1.65,-1.78,7.19,-8.19,-1.75,0.09,-1.44,0.20,189.00,357.00,101.00,94.00,539.00,974.00,794.00,977.00,,,,,,,,,,,,0,0,0,,-1888,16316,-312,108,115,-61
2.433,2.06,-0.21,-0.95,0.62,-7.67,2.81,-0.91,0.22,-0.77,0.31,174.00,371.00,73.00,126.00,527.00,939.00,780.00,949.00,,,,,,,,,,,,0,0,0,,-1924,16188,-140,26,105,-125
2.496,2.12,-0.14,-0.52,1.02,-5.43,6.30,1.28,-1.30,0.64,-0.71,169.00,361.00,58.00,105.00,550.00,897.00,803.00,922.00,,,,,,,,,,,,0,0,0,,-2100,16196,-324,45,135,-113
2.559,2.17,-0.14,1.97,-1.19,7.88,-4.12,-0.20,-0.19,-0.38,0.08,182.00,347.00,80.00,82.00,532.00,923.00,784.00,940.00,,,,,,,,,,,,0,0,0,,-1992,16172,-204,133,216,-55
2.601,2.23,-0.19,-0.61,0.94,-0.21,-1.39,-1.17,1.24,-0.61,0.66,170.00,363.00,80.00,105.00,501.00,923.00,763.00,934.00,,,,,,,,,,,,0,0,0,,-1908,16192,-540,106,273,47
2.663,2.28,-0.15,6.54,-6.72,-8.47,10.44,0.65,-0.34,0.58,-0.29,226.00,336.00,49.00,106.00,528.00,896.00,786.00,914.00,,,,,,,,,,,,0,0,0,,-1964,16140,-556,83,228,26
2.726,2.34,-0.11,1.34,0.18,7.64,-2.84,0.57,-1.00,-0.28,-0.19,171.00,343.00,75.00,80.00,548.00,915.00,794.00,943.00,,,,,,,,,,,,0,0,0,,-1792,16260,-548,131,109,-8
2.788,2.39,-0.19,0.87,-0.20,5.34,-6.63,-1.55,1.01,-0.73,0.32,176.00,353.00,96.00,97.00,511.00,943.00,779.00,947.00,,,,,,,,,,,,0,0,0,,-1908,16300,-352,19,69,-57
2.85,2.45,-0.18,-1.06,1.09,-8.63,3.64,-0.13,-0.00,-0.20,0.02,170.00,368.00,71.00,128.00,526.00,916.00,784.00,935.00,,,,,,,,,,,,0,0,0,,-1824,16248,-388,-26,128,-153
2.89,2.50,-0.12,0.40,0.60,-1.65,2.93,0.99,-1.54,0.11,-0.53,170.00,352.00,65.00,99.00,560.00,913.00,803.00,937.00,,,,,,,,,,,,0,0,0,,-1820,16116,-424,-41,188,-152
2.973,2.56,-0.17,1.69,-1.09,8.32,-7.82,-1.09,-0.06,-1.20,0.31,182.00,350.00,97.00,89.00,537.00,953.00,786.00,965.00,,,,,,,,,,,,0,0,0,,-1820,16176,-536,-44,136,-128
2.993,2.61,-0.24,-1.24,1.26,-5.36,1.53,-1.45,0.97,-0.50,0.10,169.00,369.00,75.00,119.00,511.00,940.00,785.00,944.00,,,,,,,,,,,,0,0,0,,-1840,16184,-452,-86,127,-112
3.056,2.67,-0.21,0.49,0.57,-6.60,7.67,0.29,-0.87,-0.16,-0.37,170.00,351.00,55.00,106.00,547.00,922.00,800.00,943.00,,,,,,,,,,,,0,0,0,,-1964,16184,-548,-7,113,-180
3.159,2.72,-0.25,1.05,-0.16,6.08,-2.81,-1.08,-0.27,-1.09,0.22,175.00,350.00,77.00,85.00,543.00,958.00,788.00,963.00,,,,,,,,,,,,0,0,0,,-1848,16260,-628,0,99,-222
3.18,2.78,-0.29,0.13,0.05,-1.44,-1.66,-0.96,0.81,-1.15,0.50,176.00,361.00,83.00,111.00,511.00,926.00,777.00,958.00,,,,,,,,,,,,0,0,0,,-1872,16160,-504,-50,74,-297
3.222,2.83,-0.26,-0.86,2.14,-8.69,7.72,0.36,-0.27,0.11,-0.20,160.00,355.00,57.00,115.00,529.00,905.00,789.00,929.00,,,,,,,,,,,,0,0,0,,-2084,16068,-336,1,95,-227
3.263,2.89,-0.16,2.10,-0.40,7.87,-3.65,1.68,-2.80,-0.05,-0.29,174.00,338.00,78.00,81.00,592.00,919.00,795.00,937.00,,,,,,,,,,,,0,0,0,,-2056,16308,-556,66,209,-126
3.325,2.94,-0.21,0.59,0.32,5.68,-6.35,-1.05,0.27,-0.88,0.22,172.00,352.00,94.00,95.00,527.00,943.00,785.00,955.00,,,,,,,,,,,,0,0,0,,-1996,16168,-436,-37,232,-161
3.385,3.00,-0.21,-0.42,0.66,-8.63,3.64,-0.39,0.01,-0.48,0.12,172.00,363.00,71.00,128.00,528.00,925.00,784.00,943.00,,,,,,,,,,,,0,0,0,,-1868,16180,-716,-66,115,-136
3.447,3.05,-0.16,0.40,0.71,-3.84,2.56,0.80,-1.34,0.28,-0.81,169.00,351.00,69.00,109.00,556.00,915.00,813.00,938.00,,,,,,,,,,,,0,0,0,,-1904,16220,-596,-143,13,-195
3.527,3.11,-0.21,2.33,-1.71,7.07,-7.21,-1.00,0.11,-1.08,0.29,186.00,347.00,96.00,92.00,531.00,945.00,785.00,961.00,,,,,,,,,,,,0,0,0,,-1944,16284,-464,-105,69,-196
3.547,3.16,-0.26,0.04,0.19,-2.33,-0.68,-1.30,1.00,-0.71,0.45,175.00,361.00,80.00,112.00,509.00,934.00,773.00,943.00,,,,,,,,,,,,0,0,0,,-1944,16248,-476,63,167,-188
3.609,3.22,-0.23,0.01,1.17,-6.31,7.24,0.41,-0.40,0.30,-0.41,166.00,352.00,56.00,106.00,532.00,906.00,795.00,927.00,,,,,,,,,,,,0,0,0,,-2076,16244,-572,220,152,-164
3.651,3.27,-0.24,1.43,-0.39,9.11,-4.06,-0.51,-0.53,-0.80,0.15,176.00,347.00,78.00,78.00,545.00,943.00,787.00,954.00,,,,,,,,,,,,0,0,0,,-1940,16136,-560,121,106,-166
3.713,3.33,-0.31,0.68,-0.03,1.21,-2.77,-1.66,0.58,-1.26,0.64,175.00,354.00,84.00,103.00,524.00,958.00,773.00,959.00,,,,,,,,,,,,0,0,0,,-2032,16124,-596,6,118,-111
3.776,3.38,-0.32,-1.04,2.09,-9.79,7.45,-0.57,-0.45,-0.32,-0.24,161.00,358.00,59.00,121.00,543.00,943.00,797.00,946.00,,,,,,,,,,,,0,0,0,,-1968,16212,-648,-78,230,-97
3.817,3.44,-0.33,1.05,-0.26,-1.76,-0.17,-0.41,-1.07,-0.49,-0.51,176.00,351.00,77.00,108.00,560.00,953.00,811.00,959.00,,,,,,,,,,,,0,0,0,,-1836,16316,-700,-1,231,-145
3.878,3.49,-0.40,1.33,-0.56,4.18,-6.43,-1.74,0.15,-1.47,0.28,178.00,350.00,97.00,101.00,537.00,972.00,791.00,976.00,,,,,,,,,,,,0,0,0,,-1860,16320,-664,-68,115,-192
3.96,3.55,-0.40,-1.35,1.63,-8.63,3.64,-0.46,0.04,-0.45,0.10,166.00,367.00,71.00,128.00,528.00,927.00,784.00,942.00,,,,,,,,,,,,0,0,0,,-1868,16292,-692,61,60,-216
3.98,3.60,-0.34,1.24,-0.11,-3.72,4.49,0.82,-1.25,0.36,-0.77,174.00,347.00,62.00,103.00,553.00,912.00,810.00,934.00,,,,,,,,,,,,0,0,0,,-1972,16148,-664,-5,47,-227
4.044,3.66,-0.35,2.70,-1.84,9.57,-7.06,-0.46,-0.45,-0.90,0.25,186.00,343.00,91.00,83.00,542.00,939.00,784.00,955.00,,,,,,,,,,,,0,0,0,,-1960,16288,-748,-15,114,-266
4.126,3.71,-0.40,1.15,-0.19,-1.94,-0.58,-1.41,1.00,-0.75,0.47,175.00,349.00,79.00,110.00,510.00,938.00,773.00,944.00,,,,,,,,,,,,0,0,0,,-1996,16292,-732,-46,130,-185
4.147,3.77,-0.36,0.28,1.42,-10.61,11.54,0.44,-0.68,0.17,-0.29,163.00,346.00,48.00,112.00,540.00,912.00,792.00,929.00,,,,,,,,,,,,0,0,0,,-2068,16236,-672,-6,136,-242
4.21,3.82,-0.35,2.63,-1.51,8.90,-4.23,-0.16,-0.65,-0.37,-0.09,183.00,341.00,79.00,79.00,545.00,933.00,791.00,944.00,,,,,,,,,,,,0,0,0,,-1928,16236,-720,-44,143,-186
4.272,3.88,-0.43,0.87,-0.20,1.70,-4.21,-1.90,1.12,-0.87,0.60,176.00,353.00,90.00,105.00,511.00,953.00,769.00,945.00,,,,,,,,,,,,0,0,0,,-1896,16304,-728,56,172,-231
4.334,3.93,-0.45,-0.93,1.82,-7.93,5.32,-0.95,0.20,-0.53,0.06,163.00,359.00,64.00,119.00,528.00,941.00,787.00,946.00,,,,,,,,,,,,0,0,0,,-2008,16188,-880,-52,110,-270
4.375,3.99,-0.43,0.87,0.12,-1.98,1.93,-0.07,-1.21,-0.35,-0.56,173.00,350.00,69.00,103.00,561.00,944.00,811.00,955.00,,,,,,,,,,,,0,0,0,,-2076,16216,-848,-51,59,-203
4.416,4.04,-0.50,2.14,-1.65,6.76,-9.11,-1.69,-0.03,-1.54,0.35,186.00,349.00,107.00,98.00,542.00,975.00,789.00,977.00,,,,,,,,,,,,0,0,0,,-1972,16180,-688,-70,83,-251
4.498,4.10,-0.54,-0.77,0.67,-8.47,2.82,-1.37,0.34,-1.03,0.30,173.00,368.00,74.00,130.00,528.00,953.00,784.00,959.00,,,,,,,,,,,,0,0,0,,-1992,16232,-656,-44,72,-219
4.54,4.15,-0.51,0.02,0.84,-5.83,5.50,-0.01,-1.27,-0.19,-0.63,169.00,355.00,61.00,109.00,562.00,943.00,812.00,951.00,,,,,,,,,,,,0,0,0,,-1948,16348,-792,97,117,-259
4.621,4.21,-0.53,1.05,-0.26,7.88,-4.12,-0.95,-0.32,-1.03,0.18,176.00,351.00,80.00,82.00,543.00,954.00,789.00,962.00,,,,,,,,,,,,0,0,0,,-2184,16164,-804,52,76,-269
4.642,4.26,-0.60,0.03,0.73,-0.73,-0.99,-1.78,1.30,-1.08,0.72,170.00,356.00,79.00,106.00,505.00,944.00,767.00,950.00,,,,,,,,,,,,0,0,0,,-2048,16152,-644,-84,73,-193
4.704,4.32,-0.55,-0.41,2.23,-8.41,8.62,0.37,-0.42,0.32,-0.22,158.00,348.00,54.00,111.00,533.00,908.00,787.00,922.00,,,,,,,,,,,,0,0,0,,-2204,16112,-736,-146,206,-121
4.767,4.37,-0.51,2.11,-0.30,5.91,-2.99,0.17,-0.93,-0.19,-0.36,173.00,337.00,78.00,86.00,550.00,928.00,800.00,944.00,,,,,,,,,,,,0,0,0,,-1976,16196,-676,-81,273,-154
4.828,4.43,-0.56,2.00,-0.58,3.07,-4.05,-1.40,0.39,-1.10,0.32,176.00,341.00,87.00,99.00,527.00,953.00,784.00,961.00,,,,,,,,,,,,0,0,0,,-2112,16160,-728,-47,132,-149
4.869,4.48,-0.56,-0.35,1.07,-10.06,5.76,-0.57,0.07,-0.36,-0.07,168.00,358.00,65.00,128.00,528.00,930.00,790.00,943.00,,,,,,,,,,,,0,0,0,,-2108,16272,-848,54,44,-189
4.931,4.54,-0.50,0.58,0.87,-2.82,3.89,0.67,-1.43,0.24,-0.75,167.00,347.00,63.00,101.00,560.00,922.00,811.00,938.00,,,,,,,,,,,,0,0,0,,-2060,16176,-888,50,59,-211
4.992,4.59,-0.53,2.81,-1.77,8.48,-9.69,-1.07,-0.17,-1.54,0.47,185.00,341.00,107.00,93.00,540.00,955.00,784.00,974.00,,,,,,,,,,,,0,0,0,,-2164,16208,-736,-11,123,-187
5.054,4.65,-0.55,-0.15,0.68,-5.13,2.46,-1.08,0.38,-0.66,0.34,171.00,359.00,71.00,115.00,524.00,941.00,777.00,944.00,,,,,,,,,,,,0,0,0,,-2116,16088,-880,-45,113,-192
5.095,4.70,-0.51,0.96,0.74,-6.61,7.35,0.21,-0.71,-0.20,-0.31,167.00,343.00,56.00,107.00,543.00,921.00,798.00,943.00,,,,,,,,,,,,0,0,0,,-2212,16152,-764,-117,92,-206
