Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy,CH4_Oxy,CH4_Deoxy,CH1_PD730,CH1_PD850,CH2_PD730,CH2_PD850,CH3_PD730,CH3_PD850,CH4_PD730,CH4_PD850,Answers,airplane_playstate,trail_times,frameRate,Airplane X,Airplane Y,Correct,Wrong,Slow,AnswerRate,CorrectRate,VFTstates,VFTchoose,VFTCount,Culfstates,ax,ay,az,gx,gy,gz
1.354,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.00,209.00,590.00,815.00,1051.00,2473.00,738.00,1262.00,,,,,,,,,,,,0,0,0,,-3036,15976,-392,-26,110,-52
1.374,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.00,228.00,587.00,838.00,1019.00,2474.00,727.00,1211.00,,,,,,,,,,,,0,0,0,,-2956,16128,-360,-6,253,-86
1.394,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,225.00,560.00,843.00,1043.00,2450.00,750.00,1198.00,,,,,,,,,,,,0,0,0,,-2912,15956,-524,-63,254,-65
1.416,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.00,206.00,582.00,816.00,1052.00,2467.00,746.00,1222.00,,,,,,,,,,,,0,0,0,,-2992,16100,-436,-67,187,-151
1.437,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.00,229.00,593.00,834.00,1033.00,2482.00,730.00,1230.00,,,,,,,,,,,,0,0,0,,-2976,16012,-464,43,41,-168
1.457,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,224.00,592.00,826.00,1011.00,2473.00,716.00,1216.00,,,,,,,,,,,,0,0,0,,-3044,16088,-464,-92,20,-224
1.478,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,224.00,565.00,839.00,1041.00,2443.00,746.00,1193.00,,,,,,,,,,,,0,0,0,,-3040,16100,-472,32,43,-258
1.539,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.00,209.00,586.00,820.00,1059.00,2466.00,752.00,1216.00,,,,,,,,,,,,0,0,0,,-3004,15956,-744,62,-12,-199
1.601,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.00,226.00,640.00,828.00,1043.00,2495.00,738.00,1239.00,,,,,,,,,,,,0,0,0,,-3116,15972,-488,-22,38,-176
1.724,1.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,255.00,587.00,862.00,1042.00,2477.00,737.00,1216.00,,,,,,,,,,,,0,0,0,,-3104,15912,-552,-82,176,-170
1.744,1.34,0.02,1.34,-2.55,-0.26,0.13,0.40,-0.72,0.77,-1.09,53.00,227.00,587.00,838.00,1073.00,2479.00,772.00,1219.00,,,,,,,,,,,,0,0,0,,-3144,15960,-572,-112,248,-140
1.785,1.39,-0.01,9.49,-12.90,0.84,-1.20,-0.53,0.06,-0.87,0.27,80.00,217.00,618.00,831.00,1046.00,2518.00,739.00,1254.00,,,,,,,,,,,,0,0,0,,-3108,15984,-472,-78,256,-29
