Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy,CH4_Oxy,CH4_Deoxy,CH1_PD730,CH1_PD850,CH2_PD730,CH2_PD850,CH3_PD730,CH3_PD850,CH4_PD730,CH4_PD850,Answers,airplane_playstate,trail_times,frameRate,Airplane X,Airplane Y,Correct,Wrong,Slow,AnswerRate,CorrectRate,VFTstates,VFTchoose,VFTCount,Culfstates,ax,ay,az,gx,gy,gz
0.105,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,473.00,1410.00,475.00,746.00,988.00,1741.00,4095.00,4095.00,,,,,,,,,,,,0,1,0,,920,13504,7984,134,127,-238
0.166,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,698.00,1367.00,641.00,707.00,911.00,1870.00,4095.00,4095.00,,,,,,,,,,,,0,1,0,,776,13416,7856,-398,82,48
0.249,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,593.00,1490.00,562.00,791.00,861.00,1810.00,4095.00,4095.00,,,,,,,,,,,,0,1,0,,1072,13488,8136,-395,-44,136
0.27,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,523.00,1425.00,511.00,753.00,960.00,1781.00,4095.00,4095.00,,,,,,,,,,,,0,1,0,,1124,13644,8308,-606,-205,35
0.332,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,604.00,1424.00,558.00,741.00,913.00,1817.00,4095.00,4095.00,,,,,,,,,,,,0,1,0,,1124,13592,8412,-641,-292,-74
0.434,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,603.00,1451.00,575.00,741.00,902.00,1847.00,4095.00,4095.00,,,,,,,,,,,,0,1,0,,1200,13512,8608,-143,-240,-246
0.455,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,585.00,1520.00,555.00,794.00,887.00,1827.00,4095.00,4095.00,,,,,,,,,,,,0,1,0,,1000,13388,8568,-151,-50,-143
0.497,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,555.00,1468.00,532.00,752.00,967.00,1778.00,4095.00,4095.00,,,,,,,,,,,,0,1,0,,1160,13488,8452,-112,143,5
0.558,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,674.00,1417.00,623.00,699.00,910.00,1905.00,4095.00,4095.00,,,,,,,,,,,,0,1,0,,1100,13460,8096,-282,120,33
0.619,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,590.00,1590.00,557.00,820.00,838.00,1823.00,4095.00,4095.00,,,,,,,,,,,,0,1,0,,1248,13576,8212,-611,-54,-107
0.663,0.60,0.15,-3.88,6.14,-2.45,3.98,3.06,-2.60,0.00,0.00,454.00,1440.00,471.00,747.00,995.00,1729.00,4095.00,4095.00,,,,,,,,,,,,0,1,0,,1244,13308,8312,-882,-157,-61
0.766,0.65,0.09,6.05,-5.04,6.13,-4.62,-1.18,0.57,0.00,0.00,694.00,1312.00,642.00,670.00,905.00,1878.00,4095.00,4095.00,,,,,,,,,,,,0,1,0,,1228,13336,8524,-1127,-344,-61
0.807,0.70,0.05,-0.59,-0.06,-2.21,0.38,-0.72,1.62,0.00,0.00,598.00,1493.00,570.00,815.00,848.00,1793.00,4095.00,4095.00,,,,,,,,,,,,0,1,0,,1248,13364,8716,-160,-339,-356
0.827,0.76,0.12,-0.61,2.07,-1.41,2.20,1.60,-0.72,0.00,0.00,533.00,1411.00,509.00,752.00,923.00,1742.00,4095.00,4095.00,,,,,,,,,,,,0,1,0,,1288,13172,8712,16,-126,-321
0.869,0.81,0.11,3.39,-2.47,2.80,-2.35,-0.07,0.47,0.00,0.00,634.00,1361.00,603.00,719.00,892.00,1802.00,4095.00,4095.00,,,,,,,,,,,,0,1,0,,1264,13296,8424,138,112,-334
0.952,0.87,0.08,0.87,-0.46,0.12,-0.60,-0.46,0.70,0.00,0.00,595.00,1424.00,576.00,763.00,887.00,1819.00,4095.00,4095.00,,,,,,,,,,,,0,1,0,,1196,13252,8408,47,38,-174
0.993,0.93,0.07,-0.13,0.32,-0.99,0.26,-0.23,0.77,0.00,0.00,581.00,1451.00,561.00,779.00,880.00,1799.00,4095.00,4095.00,,,,,,,,,,,,0,1,0,,1136,13244,8420,-250,-29,-31
1.074,0.98,0.13,0.12,0.92,-0.24,0.71,1.38,-1.13,0.00,0.00,560.00,1414.00,540.00,747.00,947.00,1776.00,4095.00,4095.00,,,,,,,,,,,,0,1,0,,1160,13352,8500,-267,42,-150
1.094,1.03,0.05,3.97,-3.69,3.74,-2.99,-1.53,1.21,0.00,0.00,670.00,1374.00,614.00,705.00,880.00,1872.00,4095.00,4095.00,,,,,,,,,,,,0,1,0,,1304,13424,8520,-282,207,-198
1.156,1.09,-0.03,-1.64,0.48,-3.20,1.34,-1.52,2.44,0.00,0.00,592.00,1534.00,551.00,826.00,823.00,1810.00,4095.00,4095.00,,,,,,,,,,,,0,1,0,,1256,13400,8596,-206,180,-303
1.217,1.14,0.12,-2.84,4.12,-2.22,3.29,2.89,-2.40,0.00,0.00,497.00,1459.00,487.00,754.00,987.00,1731.00,4095.00,4095.00,,,,,,,,,,,,0,1,0,,1260,13104,8672,-116,4,-235
1.278,1.20,0.01,4.87,-5.40,5.71,-4.88,-1.97,1.33,0.00,0.00,723.00,1388.00,656.00,686.00,881.00,1898.00,4095.00,4095.00,,,,,,,,,,,,0,1,0,,1232,13532,8576,37,43,-214
1.319,1.25,-0.06,-2.68,0.37,-3.53,0.63,-1.54,2.05,0.00,0.00,607.00,1603.00,576.00,853.00,841.00,1831.00,4095.00,4095.00,,,,,,,,,,,,0,1,0,,1232,13328,8536,22,22,-274
