Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy,CH4_Oxy,CH4_Deoxy,CH1_PD730,CH1_PD850,CH2_PD730,CH2_PD850,CH3_PD730,CH3_PD850,CH4_PD730,CH4_PD850,Answers,airplane_playstate,trail_times,frameRate,Airplane X,Airplane Y,Correct,Wrong,Slow,AnswerRate,CorrectRate,VFTstates,VFTchoose,VFTCount,Culfstates,ax,ay,az,gx,gy,gz
0.056,18.82,-0.06,-2.49,-5.47,-17.89,-23.40,-3.06,6.43,16.81,23.08,237.00,689.00,213.00,527.00,304.00,962.00,641.00,1134.00,,,,,,,,,,,,0,0,0,,-3412,16048,1028,-1650,154,-725
1.264,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,243.00,650.00,194.00,459.00,342.00,943.00,688.00,1136.00,,,,,,,,,,,,0,0,0,,-3396,15824,1896,-188,293,-114
1.285,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,252.00,646.00,226.00,432.00,329.00,976.00,661.00,1189.00,,,,,,,,,,,,0,0,0,,-3348,15636,2172,-192,102,-139
1.305,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,229.00,700.00,208.00,509.00,299.00,928.00,630.00,1147.00,,,,,,,,,,,,0,0,0,,-3404,15728,2332,-255,200,-67
1.326,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,205.00,642.00,150.00,451.00,383.00,873.00,726.00,1093.00,,,,,,,,,,,,0,0,0,,-3464,15796,2164,-223,325,28
1.347,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,290.00,592.00,261.00,384.00,327.00,984.00,656.00,1232.00,,,,,,,,,,,,0,0,0,,-3328,15708,2216,-261,183,117
1.367,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,231.00,776.00,224.00,560.00,226.00,917.00,551.00,1155.00,,,,,,,,,,,,0,0,0,,-3308,15668,2544,-65,-15,-285
1.387,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157.00,667.00,107.00,462.00,384.00,839.00,763.00,1089.00,,,,,,,,,,,,0,0,0,,-3296,15656,2428,-29,-13,-240
1.429,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,311.00,622.00,272.00,404.00,329.00,951.00,674.00,1244.00,,,,,,,,,,,,0,0,0,,-3344,15668,2572,-169,83,-207
1.511,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,246.00,718.00,208.00,482.00,271.00,939.00,597.00,1197.00,,,,,,,,,,,,0,0,0,,-3272,15696,2416,-151,168,-119
