Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy,CH4_Oxy,CH4_Deoxy,CH1_PD730,CH1_PD850,CH2_PD730,CH2_PD850,CH3_PD730,CH3_PD850,CH4_PD730,CH4_PD850,Answers,airplane_playstate,trail_times,frameRate,Airplane X,Airplane Y,Correct,Wrong,Slow,AnswerRate,CorrectRate,VFTstates,VFTchoose,VFTCount,Culfstates,ax,ay,az,gx,gy,gz
1.114,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,256.00,419.00,442.00,329.00,654.00,1201.00,360.00,433.00,,,,,,,,,,,,0,0,0,,-4368,15880,-1108,202,306,-46
1.136,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,233.00,425.00,421.00,333.00,624.00,1178.00,384.00,382.00,,,,,,,,,,,,0,0,0,,-4224,15968,-940,83,202,-39
1.155,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,400.00,358.00,338.00,751.00,1101.00,446.00,389.00,,,,,,,,,,,,0,0,0,,-4172,15656,-1008,126,75,-308
1.176,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,304.00,369.00,560.00,252.00,682.00,1277.00,387.00,462.00,,,,,,,,,,,,0,0,0,,-4356,15668,-1076,187,149,-270
1.196,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,231.00,496.00,458.00,432.00,575.00,1205.00,354.00,418.00,,,,,,,,,,,,0,0,0,,-4312,15776,-1168,-12,209,-398
1.216,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,188.00,434.00,389.00,384.00,691.00,1157.00,439.00,389.00,,,,,,,,,,,,0,0,0,,-3908,15484,-2024,87,435,-122
1.237,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,234.00,410.00,407.00,353.00,704.00,1142.00,458.00,435.00,,,,,,,,,,,,0,0,0,,-3960,15324,-1796,-714,-120,-434
1.279,1.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,256.00,405.00,464.00,290.00,667.00,1215.00,400.00,468.00,,,,,,,,,,,,0,0,0,,-4108,15860,-1500,-1684,-328,-373
1.361,1.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,220.00,482.00,432.00,432.00,596.00,1169.00,402.00,422.00,,,,,,,,,,,,0,0,0,,-4292,15780,-1272,-1952,-905,-598
1.403,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,183.00,409.00,334.00,354.00,753.00,1067.00,510.00,400.00,,,,,,,,,,,,0,0,0,,-4432,15700,-692,-2471,-1253,-511
1.445,1.33,-0.12,11.53,-9.35,15.36,-8.93,-2.36,0.70,-5.06,1.39,310.00,346.00,523.00,242.00,673.00,1262.00,421.00,494.00,,,,,,,,,,,,0,0,0,,-4268,15608,-420,-858,-114,529
1.505,1.38,-0.28,-7.55,2.82,-8.93,2.56,-3.37,4.47,-5.42,4.66,227.00,531.00,437.00,465.00,559.00,1187.00,355.00,459.00,,,,,,,,,,,,0,0,0,,-3984,16052,-824,275,737,1216
1.588,1.44,-0.07,-8.74,12.28,-7.10,7.87,3.91,-3.43,4.77,-3.71,139.00,432.00,317.00,375.00,751.00,1100.00,464.00,384.00,,,,,,,,,,,,0,0,0,,-4016,16560,-1312,1161,605,809
1.608,1.49,-0.12,8.06,-7.82,7.27,-5.01,-1.01,-0.40,-2.21,-0.71,304.00,381.00,490.00,300.00,697.00,1232.00,448.00,467.00,,,,,,,,,,,,0,0,0,,-3980,16268,-1584,1528,116,-516
1.671,1.55,-0.25,-2.93,0.24,-1.79,-0.55,-2.83,2.29,-5.90,4.26,240.00,474.00,454.00,381.00,623.00,1232.00,366.00,473.00,,,,,,,,,,,,0,0,0,,-4088,15624,-1420,1627,102,-845
1.753,1.60,-0.35,-4.20,4.22,-5.44,3.20,-2.13,1.55,-0.02,-0.26,198.00,448.00,396.00,398.00,640.00,1222.00,420.00,423.00,,,,,,,,,,,,0,0,0,,-4052,15484,-1532,1090,195,-490
1.773,1.66,-0.27,-1.38,1.24,-3.52,2.79,1.11,-1.63,0.12,-1.50,221.00,434.00,391.00,373.00,717.00,1171.00,448.00,435.00,,,,,,,,,,,,0,0,0,,-4080,15548,-1516,761,302,-136
1.834,1.71,-0.39,4.66,-4.63,15.87,-7.79,-2.65,0.77,-13.85,5.48,272.00,400.00,487.00,230.00,674.00,1274.00,396.00,627.00,,,,,,,,,,,,0,0,0,,-4020,15764,-1616,195,66,-111
1.895,1.77,-0.50,-4.49,1.15,-7.24,2.20,-2.58,3.59,-1.78,1.99,235.00,492.00,432.00,439.00,578.00,1178.00,384.00,427.00,,,,,,,,,,,,0,0,0,,-4156,15936,-1568,-207,-118,-254
2.019,1.82,-0.21,-3.54,6.28,-4.41,6.05,5.32,-3.81,4.52,-3.35,175.00,413.00,333.00,354.00,747.00,1051.00,457.00,384.00,,,,,,,,,,,,0,0,0,,-4064,15856,-1768,213,78,-387
2.04,1.88,-0.34,13.85,-10.89,17.94,-10.18,-2.77,0.92,-5.33,1.26,323.00,329.00,534.00,226.00,670.00,1275.00,426.00,501.00,,,,,,,,,,,,0,0,0,,-4096,15744,-1796,337,215,-181
2.061,1.93,-0.51,-7.25,2.89,-8.62,2.58,-3.70,4.65,-6.30,5.65,225.00,524.00,434.00,459.00,557.00,1197.00,342.00,463.00,,,,,,,,,,,,0,0,0,,-4068,15856,-1888,63,305,-75
2.103,1.99,-0.35,-5.29,7.19,-5.27,5.26,2.57,-2.12,3.57,-2.62,172.00,432.00,353.00,374.00,717.00,1120.00,447.00,391.00,,,,,,,,,,,,0,0,0,,-4108,15468,-1900,-211,240,-55
2.166,2.04,-0.36,8.24,-6.69,6.87,-3.67,-0.45,-0.21,-1.96,-0.76,285.00,367.00,459.00,294.00,683.00,1199.00,447.00,463.00,,,,,,,,,,,,0,0,0,,-3964,15792,-1952,63,96,-55
2.229,2.10,-0.44,-0.83,-1.00,0.06,-1.38,-2.04,1.12,-5.52,3.54,247.00,451.00,459.00,362.00,654.00,1232.00,378.00,475.00,,,,,,,,,,,,0,0,0,,-4104,15900,-2012,53,-72,-235
2.331,2.15,-0.51,-1.50,-0.01,-3.67,0.49,-1.85,1.60,-0.71,0.24,237.00,451.00,444.00,399.00,635.00,1207.00,414.00,429.00,,,,,,,,,,,,0,0,0,,-4104,15760,-1840,183,-96,-339
2.351,2.21,-0.37,-1.59,2.17,-3.76,3.64,2.25,-2.60,0.80,-2.33,211.00,427.00,375.00,368.00,740.00,1149.00,463.00,433.00,,,,,,,,,,,,0,0,0,,-4096,15580,-1904,-206,-118,-197
2.393,2.26,-0.53,7.54,-8.30,10.19,-7.41,-3.52,0.77,-5.82,2.36,315.00,394.00,529.00,285.00,685.00,1319.00,405.00,496.00,,,,,,,,,,,,0,0,0,,-4120,15644,-1924,-765,53,-253
2.455,2.32,-0.73,-6.68,1.97,-8.35,1.78,-4.58,4.01,-3.68,2.92,234.00,525.00,451.00,464.00,586.00,1261.00,378.00,449.00,,,,,,,,,,,,0,0,0,,-4216,15752,-1784,-661,125,-284
2.517,2.37,-0.51,-6.74,8.22,-7.33,7.04,3.85,-4.58,4.49,-4.36,167.00,445.00,333.00,387.00,800.00,1137.00,483.00,395.00,,,,,,,,,,,,0,0,0,,-4176,15696,-1696,-391,-75,-195
2.557,2.43,-0.66,13.39,-12.84,14.01,-9.91,-3.51,0.50,-5.58,1.05,362.00,353.00,565.00,262.00,695.00,1328.00,433.00,509.00,,,,,,,,,,,,0,0,0,,-4116,15668,-1464,-402,-291,-196
2.639,2.48,-0.78,-4.93,0.76,-6.01,0.99,-3.06,2.79,-6.02,4.20,242.00,506.00,451.00,432.00,609.00,1227.00,368.00,476.00,,,,,,,,,,,,0,0,0,,-4156,15588,-1516,-265,-197,-218
2.701,2.54,-0.63,-3.62,4.98,-5.49,4.32,2.05,-1.56,3.07,-2.07,188.00,429.00,373.00,387.00,702.00,1126.00,438.00,393.00,,,,,,,,,,,,0,0,0,,-4152,15748,-1484,93,197,-38
2.721,2.59,-0.57,7.21,-5.28,5.35,-2.67,0.69,-1.08,-1.89,-0.70,269.00,368.00,447.00,304.00,701.00,1173.00,445.00,461.00,,,,,,,,,,,,0,0,0,,-4144,15672,-1648,-167,299,-187
2.783,2.65,-0.61,1.53,-2.09,3.65,-2.55,-1.40,0.32,-5.18,2.80,251.00,423.00,458.00,324.00,675.00,1227.00,391.00,478.00,,,,,,,,,,,,0,0,0,,-4208,15852,-1708,-679,25,-30
2.823,2.70,-0.69,-2.05,1.47,-4.03,1.04,-2.31,2.50,-1.27,1.06,221.00,443.00,434.00,399.00,610.00,1200.00,400.00,429.00,,,,,,,,,,,,0,0,0,,-4116,15900,-1348,-691,-80,64
2.885,2.76,-0.49,-0.43,1.60,-3.38,2.98,3.35,-3.34,1.14,-2.49,213.00,414.00,386.00,369.00,755.00,1122.00,464.00,429.00,,,,,,,,,,,,0,0,0,,-4044,15784,-1332,-402,25,-28
2.948,2.81,-0.61,9.54,-8.92,12.60,-8.39,-2.93,0.51,-5.57,1.92,314.00,370.00,534.00,266.00,687.00,1297.00,413.00,497.00,,,,,,,,,,,,0,0,0,,-4052,15956,-1236,-120,55,-84
3.008,2.87,-0.79,-5.19,1.00,-7.78,1.42,-4.16,4.25,-4.85,3.91,240.00,508.00,455.00,458.00,574.00,1232.00,366.00,458.00,,,,,,,,,,,,0,0,0,,-4032,15936,-1256,-114,180,-161
3.069,2.92,-0.54,-5.89,8.15,-7.60,7.24,4.28,-4.28,5.42,-4.67,165.00,431.00,331.00,389.00,781.00,1109.00,483.00,384.00,,,,,,,,,,,,0,0,0,,-4016,15868,-1392,-132,188,-227
3.111,2.98,-0.66,13.03,-11.67,12.50,-9.07,-2.88,0.05,-4.52,0.14,342.00,347.00,555.00,272.00,704.00,1311.00,446.00,500.00,,,,,,,,,,,,0,0,0,,-4016,15644,-1244,-204,68,-181
3.151,3.03,-0.80,-4.53,-0.20,-5.52,0.18,-3.62,2.20,-7.00,4.18,253.00,511.00,467.00,433.00,635.00,1274.00,375.00,495.00,,,,,,,,,,,,0,0,0,,-4004,15744,-1148,-155,-76,-56
3.212,3.09,-0.78,-5.56,5.25,-6.78,3.98,-0.27,-1.09,1.68,-1.77,192.00,460.00,389.00,411.00,714.00,1219.00,442.00,412.00,,,,,,,,,,,,0,0,0,,-4032,15860,-968,-222,130,-102
3.275,3.14,-0.79,2.68,-3.96,-0.24,-1.03,-1.03,-1.14,-1.85,-1.08,272.00,425.00,453.00,363.00,726.00,1258.00,454.00,465.00,,,,,,,,,,,,0,0,0,,-4012,15760,-1260,-88,397,33
