Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy
0.056,18.82,-0.06,0.0,0.6526049980084176,0.0,0.0,0.0,1.0
1.264,0.04,0.0,0.008805050650190448,0.6548168225857153,0.015558646654482863,0.016544744661099852,0.0038784399599578177,0.9877251474630453
1.285,0.1,0.0,0.01757353831036013,0.6571355834834177,0.03108778432117068,0.03311784175236845,0.007779095017171325,0.9754482902926132
1.305,0.15,0.0,0.02630205820387597,0.65955974335213,0.04658121345583853,0.04971237097672616,0.01170023076028686,0.9631745190463221
1.326,0.21,0.0,0.0349872432096507,0.6620876647352849,0.06203276831158233,0.06632139386166125,0.015640093234648187,0.9509089220053756
1.347,0.26,0.0,0.04362576687728939,0.6647176125076695,0.07743632274803293,0.08293796088995277,0.01959691086680955,0.9386565801351345
1.367,1.05,0.0,0.05221434637365449,0.6674477564549642,0.09278579596814071,0.09955511863379941,0.023568896415531712,0.9264225620687497
1.387,1.11,0.0,0.06074974535670234,0.6702761739832152,0.10807515817236832,0.11616591687601956,0.027554248944367345,0.9142119191245321
1.429,1.16,0.0,0.06922877677272987,0.6732008529475625,0.12329843612070679,0.13276341570275355,0.0315511558111089,0.9020296803671638
1.511,1.22,0.0,0.07764830557344791,0.6762196945899649,0.13844971859349314,0.14934069255286056,0.035557794669535216,0.8898808477222869
1.552,1.27,0.0,0.08600525134956803,0.6793305165760607,0.1535231617425582,0.16589084920994385,0.039572335479051944,0.877770391153453
1.594,1.33,0.15,0.09429659087785085,0.6825310561217142,0.1685129943247652,0.1824070187236629,0.04359294251797911,0.8657032439098723
1.657,1.38,0.04,0.10251936057882197,0.6858189732001854,0.1834135228105193,0.19888237224770658,0.04761777639639874,0.8536842978528716
1.718,1.44,-0.12,0.11067065888261857,0.6891918538212178,0.1982191363603387,0.21531012578250236,0.05164499606464884,0.8417183988684158
1.759,1.49,0.25,0.11874764850069565,0.6926472133736288,0.2129243116630749,0.23168354681142095,0.05567276081373046,0.829810342372532
1.862,1.55,0.08,0.12674755860138023,0.6961825000232712,0.22752361762987092,0.24799596081989475,0.05969923226405983,0.8179648689159703
1.883,1.6,-0.15,0.13466768688748892,0.6997950981585905,0.24201171993842002,0.2642407576875211,0.0637225763391435,0.8061866598940056
1.945,1.66,0.08,0.14250540157442734,0.7034823318764399,0.2563833854225428,0.2804113979438811,0.06774096522090238,0.7944803333668712
2.007,1.71,0.05,0.15025814326739412,0.7072414685012212,0.2706334863025495,0.2965014188794412,0.07175257928351242,0.7828504399959234
2.069,1.77,-0.0,0.15792342673652765,0.7110697221307084,0.28475700425229356,0.312504440503507,0.0757556090027325,0.7713014591002804
2.129,1.82,-0.07,0.16549884258903513,0.7149642572021724,0.29874903429924465,0.32841417134177797,0.0797482568377746,0.7598377948383638
2.15,1.88,0.16,0.17298205883753795,0.7189221920726585,0.3126047885543225,0.3442244140666118,0.0837287390828715,0.7484637725184283
2.23,1.93,0.03,0.18037082236406798,0.7229406026074667,0.3263195997686376,0.3599290709536391,0.08769528768581684,0.7371836350418111
2.273,1.99,-0.16,0.1876629602793484,0.7270165257710332,0.33988892471468807,0.37552214915887056,0.0916461520308715,0.7260015394822733
2.313,2.04,0.27,0.19485638117717782,0.7311469632145711,0.353308347389946,0.39099776581093293,0.09557960068354993,0.7149215538044402
2.375,2.1,0.17,0.20194907628391928,0.7353288848549723,0.3665735820411317,0.4063501529135577,0.09949392309492004,0.7039476537239991
2.436,2.15,0.02,0.20893912050326544,0.7395592324396527,0.3796804760078265,0.4215736620539353,0.1033874312631649,0.6930837197119819
2.498,2.21,0.22,0.21582467335661043,0.7438349230922616,0.3926250123843997,0.43666276891305367,0.1072584613502958,0.682333534145132
2.559,2.26,0.31,0.2226039798195236,0.7481528528344226,0.40540331249955647,0.45161207757462646,0.11110537525207782,0.6717007786040191
2.601,2.32,0.29,0.22927537105498702,0.7525099000788692,0.4180116382131447,0.4664163246296754,0.11492656211939518,0.6611890313202261
2.642,2.37,0.2,0.23583726504421487,0.7569029290895495,0.4304463940301871,0.4810703830742518,0.11872043982944044,0.6508017647736273
2.703,2.43,0.52,0.2422881671160064,0.7613287934045275,0.44270412903240924,0.49556926599820006,0.12248545640528719,0.6405423434404611
2.766,2.48,0.4,0.24862667037572397,0.7657843392177147,0.4547815386278366,0.5099081300632509,0.1262200913825949,0.6304140216925711
2.828,2.54,0.09,0.25485145603513565,0.7702664087155751,0.46667546611932353,0.5240822787690963,0.12992285712237678,0.6204199418478757
2.889,2.59,0.46,0.26096129364452386,0.7747718433649481,0.47838290409315143,0.5380871655064481,0.13359230006892972,0.6105631323718271
2.93,2.65,0.44,0.2669550412286247,0.7792974871480746,0.4899009956290938,0.551918396396416,0.1372270019521674,0.600846506229343
2.99,2.7,0.29,0.27283164532808796,0.7838401897409661,0.5012270353335757,0.5655717329158952,0.14082558093368944,0.5912728593864888
3.05,2.76,0.36,0.2785901409482171,0.7883968096315154,0.5123584701977568,0.5790430943090167,0.14438669269600857,0.5818448694609807
3.111,2.81,0.51,0.2842296514167814,0.792964217174127,0.5232929002825323,0.5923285597851008,0.14790903147447182,0.572565094520373
3.131,2.87,0.39,0.2897493881527439,0.7975392975779892,0.5340280792326307,0.6054243705039154,0.15139133103153898,0.5634359720265718
3.192,2.92,0.21,0.29514865034779125,0.8021189538264256,0.5445619146221476,0.6183269313493757,0.1548323655731914,0.5544598179251272
3.275,2.98,0.55,0.30042682456260267,0.8067001095250858,0.5548924681340148,0.6310328124931636,0.1582309506073481,0.545638825877584
3.337,3.03,0.39,0.3055833842398354,0.8112797116770352,0.565017955576049,0.643538750750073,0.16158594374425325,0.536975066635027
3.358,3.09,0.11,0.31061788913585653,0.815854733383069,0.5749367467363645,0.6558416507271945,0.1648962454388667,0.5284704875508413
3.42,3.14,0.36,0.31552998467329196,0.8204221764658265,0.5846473650810601,0.6679385857693638,0.16816079967534406,0.5201269122306159
3.481,3.2,0.33,0.32031940121651326,0.8249790740165016,0.594148487297224,0.6798267987035855,0.17137859459374005,0.5119460403170278
