Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy
1.232,0.04,0.0,1.0,0.0,0.63716399155115,0.0,0.3012215400184887,0.0
1.252,0.1,0.0,0.9867049524963475,0.017396766678208466,0.6265133332912344,0.013388241342267109,0.299277914287817,0.005662768845112691
1.272,0.15,0.0,0.9734879878399582,0.034706687966862715,0.6159345586519887,0.02670630670968589,0.2973230756938783,0.011332637746592008
1.293,0.21,0.0,0.9603539372001115,0.05192332359834374,0.6054315038369112,0.03994928273806795,0.29535775158853755,0.01700757678658395
1.315,0.26,0.0,0.9473075500490263,0.06904032419234553,0.5950079311495856,0.053112329661372956,0.29338267804175355,0.02268555690305704
1.335,1.05,0.0,0.9343534901939621,0.08605143664698343,0.5846675259130121,0.0661906853873324,0.29139859918661526,0.028364551719068064
1.419,1.11,0.0,0.9214963319499783,0.10295050937122918,0.5744138935144325,0.07917966944506791,0.2894062665553254,0.03404253936036663
1.44,1.16,0.0,0.9087405564566694,0.11973149735353442,0.5642505565778199,0.09207468680098274,0.28740643840728985,0.039717504258605874
1.461,1.22,0.0,0.8960905481418222,0.13638846706191626,0.5541809522658769,0.10487123153952924,0.28539987905049563,0.04538743893745201
1.503,1.27,0.0,0.8835505913345959,0.15291560117116892,0.5442084297130704,0.11756489040576916,0.28338735815739313,0.051050345778906076
1.566,1.33,-0.05,0.8711248670304824,0.16930720311324068,0.534336247590922,0.13015134620693936,0.2813696500765209,0.05670423876716596
1.628,1.38,-0.21,0.8588174498100194,0.18555770144714082,0.5245675718065224,0.14262638107048847,0.27934753314114197,0.062347145207369274
1.689,1.44,-0.13,0.8466323049130319,0.20166165404497385,0.5149054733350866,0.15498587955619755,0.2773217889761554,0.06797710741659416
1.752,1.49,-0.09,0.8345732854701032,0.21761375209083045,0.5053529261873592,0.16722583162003155,0.27529320180449923,0.07359218438460693
1.773,1.55,-0.26,0.8226441298929295,0.2334088238893944,0.49591280551269434,0.17934233542741124,0.2732625577541551,0.0791904534020586
1.855,1.6,-0.26,0.8108484594250872,0.24904183848138614,0.48658788583858176,0.1913316000137965,0.2712306441667658,0.08477001165408593
1.896,1.66,-0.13,0.7991897758545704,0.2645079090633568,0.4773808394472539,0.20318994779081756,0.26919824890880073,0.09032897777750087
1.958,1.71,-0.24,0.7876714593892032,0.2798022962098184,0.46829423488986205,0.21491381689656466,0.26716615968613866,0.09586549337996998
2.021,1.77,-0.33,0.7762967666957052,0.2949204108962225,0.45933053563850224,0.22649976338900746,0.26513516336287013,0.10137772451979245
2.064,1.82,-0.14,0.7650688291027823,0.30985781732182954,0.4504920988760788,0.23794446328187585,0.26310604528507714,0.10686386314501387
