Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy
1.357,0.04,0.0,0.7961710962598747,0.6645536864881535,0.8353246452574352,0.5938390272766527,0.5588199258546501,0.33403021599831373
1.377,0.1,0.0,0.7998946305750549,0.6645288062064362,0.84130756405535,0.5961650435927939,0.5660879329102432,0.3471859883205765
1.398,0.16,0.0,0.8036454202997363,0.664514050579595,0.8472309456394599,0.5984521502321913,0.5733767369889546,0.3602999267250985
1.419,0.21,0.0,0.8074214559685736,0.6645099403595651,0.8530908619310951,0.6006997049488474,0.5806833764833966,0.37336697263073454
1.44,0.27,0.0,0.8112206870488106,0.6645169976071712,0.8588834151949784,0.6029071105803825,0.5880048688921335,0.3863821146329548
1.461,1.06,0.0,0.8150410236280087,0.6645357449731993,0.8646047425267847,0.6050738156069602,0.595338213445698,0.39934039310179514
1.482,1.11,0.0,0.8188803381615289,0.6645667049593346,0.8702510203149938,0.6071993146290229,0.6026803937575912,0.41223690469467095
1.523,1.17,0.0,0.822736467276785,0.6646103991601033,0.87581846866714,0.6092831487628799,0.6100283804961345,0.42506680677748593
1.584,1.22,0.0,0.8266072136311075,0.6646673474870599,0.8813033557903812,0.6113249059533806,0.6173791340729289,0.4378253217475919
1.687,1.28,0.0,0.8304903478198713,0.664738067376554,0.8867020023161544,0.6133242212030996,0.624729607343566,0.45050774125227516
1.708,1.33,0.38,0.8343836103313483,0.6648230729825201,0.8920107855585021,0.6152807767176557,0.6320767483161116,0.4631094302965423
1.77,1.39,0.36,0.83828471354455,0.6649228743558566,0.8972261436954946,0.6171943019670066,0.6394175028627829,0.47562583123405483
1.812,1.44,0.41,0.842191343766149,0.66503797661213,0.9023445798631143,0.6190645736628091,0.6467488174301952,0.4880524676350985
1.853,1.5,0.75,0.8461011633025087,0.6651688790895126,0.907362666151194,0.6208914156521723,0.6540676417436031,0.5003849480255242
1.914,1.55,0.84,0.8500118125629721,0.6653160744989488,0.9122770474915892,0.6226746987282747,0.6613709315006833,0.5126189694907942
1.976,1.61,0.89,0.8539209121907426,0.6654800480685911,0.9170844454295455,0.6244143403584632,0.668655651050561,0.5247503211396776
2.059,1.66,0.91,0.8578260652177992,0.6656612766846224,0.9217816617699304,0.6261103043307451,0.6759187760539634,0.5367748874226882
2.08,1.72,1.11,0.861724859240305,0.6658602280307301,0.926365582090661,0.6277626003199668,0.6831572961205724,0.5486886513009226
2.142,1.77,1.09,0.865614868611008,0.6660773597286079,0.9308331791163359,0.629371283375322,0.6903682174198228,0.5604876972615538
2.184,1.83,1.12,0.8694936566451803,0.666313118481909,0.9351815159457298,0.6309364533310883,0.6975485652615053,0.5721682141768947
2.247,1.88,1.49,0.8733587778366767,0.6665679392260615,0.9394077491274382,0.6324582541427093,0.7046953866426211,0.583726498004609
2.309,1.94,1.43,0.8772077800807467,0.6668422442862876,0.9435091315785518,0.6339368731504844,0.7118057527570155,0.5951589543272071
2.35,1.99,1.46,0.8810382069002584,0.6671364425460657,0.9474830153418614,0.6353725402732501,0.7188767614644314,0.6064621007294022
2.473,2.05,1.77,0.8848475996720025,0.6674509286282224,0.9513268541777542,0.6367655271345416,0.7259055397157523,0.6176325690122376
2.493,2.1,1.82,0.888633499849818,0.6677860820907807,0.9550382059877989,0.6381161461237707,0.7328892459313852,0.6286671072432252
2.534,2.16,1.85,0.8923934511814033,0.6681422666396247,0.9586147350679278,0.6394247493949777,0.7398250723298846,0.6395625816420804
2.596,2.21,1.98,0.8961250019158028,0.6685198293600108,0.9620542141898967,0.6406917278058644,0.7467102472041035,0.6503159783020179
2.658,2.27,2.18,0.8998257069986483,0.6689190999689835,0.9653545265103524,0.6419175098000672,0.7535420371423384,0.660924404746904
2.699,2.32,2.14,0.9034931302523477,0.6693403900907615,0.9685136673074298,0.6431025602358631,0.7603177491921216,0.6713850913248788
2.779,2.38,2.15,0.9071248465385238,0.669783992557142,0.9715297455452964,0.6442473791646977,0.7670347329644864,0.6816953924393644
2.799,2.43,2.47,0.9107184439000746,0.6702501807349324,0.9744009852674,0.6453525005631299,0.7736903826766945,0.6918527876186509
2.841,2.49,2.33,0.9142715256802811,0.6707392078823776,0.9771257268194323,0.646418491021975,0.7802821391315713,0.7018548824254991
2.903,2.54,2.29,0.917781712616406,0.6712513065364902,0.9797024279032123,0.6474459483965919,0.7868074916317317,0.7116994092084409
2.964,2.6,2.55,0.921246644905218,0.6717866879331615,0.982129664462916,0.6484355004223988,0.7932639798271082,0.7213842276966721
3.025,2.65,2.59,0.9246639842378899,0.6723455414618513,0.9844061314053809,0.6493878032997284,0.7996491954942939,0.7309073254406467
3.088,2.71,2.61,0.9280314158017657,0.6729280341565134,0.9865306431565539,0.6503035402520653,0.805960784246304,0.7402668181006841
3.149,2.76,2.72,0.9313466502465395,0.6735343102242589,0.9885021340564263,0.6511834200616409,0.8121964471714329,0.7494609495861253
3.191,2.82,2.91,0.9346074256124292,0.674164490613144,0.9903196585950279,0.6520281755863223,0.8183539424000218,0.7584880920477539
3.233,2.87,2.88,0.9378115092180638,0.6748186726203537,0.9919823914923424,0.6528385622616489,0.824431086598085,0.767346745726371
3.314,2.93,2.91,0.9409566995059685,0.6754969295419385,0.9934896276252627,0.6536153565917823,0.8304257563869101,0.7760355386605832
3.354,2.98,3.26,0.9440408278437222,0.6761993103651679,0.994840781804936,0.6543593546330564,0.8363358896879096,0.7845532262570303
