Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy
0.003,16.3,10.66,1.0,1.0,1.0,1.0,1.0,1.0
0.065,0.04,0.0,0.9820936590274256,0.98194754359985,0.9823175335945796,0.9818165363241155,0.9836166651140663,0.9820087577456895
0.128,0.1,0.0,0.9641954234624355,0.9639024017593918,0.9646393789496353,0.9636430365145428,0.9672376799787564,0.9640241002724532
0.189,0.15,0.0,0.9463125747410079,0.9458719215517304,0.9469726915622748,0.9454869147617565,0.9508696151508292,0.9460533613203619
0.23,0.21,0.0,0.9284523777968249,0.9278634354624421,0.9293246131801428,0.927355568472021,0.9345190268811485,0.9281038604996289
0.292,0.26,0.0,0.91062207387662,0.9098842542245207,0.9117022647504733,0.9092563710313422,0.91819245065625,0.9101828960994213
0.353,0.32,0.0,0.8928288734037274,0.8919416597025104,0.8941127394158794,0.891196664620515,0.9018963947849601,0.89229773794387
0.415,0.37,0.0,0.8750799489042591,0.8740428978402538,0.8765630955712914,0.873183753095684,0.8856373340430428,0.8744556203098196
0.498,0.43,0.0,0.8573824280095914,0.8561951716859247,0.8590603499956847,0.8552248949480824,0.8694217033881675,0.8566637349200932
0.518,0.48,0.0,0.8397433865480943,0.8384056345072618,0.8416114710714728,0.8373272963558818,0.8532558917568231,0.8389292240252989
0.58,0.54,0.0,0.8221698417383176,0.82068138300919,0.8242233721036973,0.8194981043403591,0.8371462359541492,0.8212591735864789
0.64,0.59,0.02,0.8046687454951371,0.8030294506652993,0.8069029047504244,0.8017444000378935,0.821099014647013,0.8036606065701749
0.682,0.65,-0.01,0.7872469778596805,0.7854568011739487,0.7896568525750418,0.784073192098612,0.805120442470045,0.7861404763667993
0.723,0.7,0.02,0.7699113405631821,0.767970322049083,0.772491924730474,0.7664914102218301,0.789216664253732,0.7687056603425089
0.785,0.76,0.03,0.7526685507342828,0.7505768183551776,0.7554147497846782,0.7490058988377647,0.7733937493830793,0.7513629535341254
0.906,0.81,0.01,0.7355252347586705,0.733283006595072,0.738431869696154,0.7316234109443444,0.7576576862947774,0.7341190624959958
0.948,0.87,0.0,0.7184879222993547,0.7160955087588318,0.7215497339475948,0.714350602107304,0.7420143771202509,0.7169805993070654
0.969,0.92,0.02,0.7015630404852718,0.6990208465411686,0.7047746938452142,0.697194024631137,0.7264696324814243,0.699954075745824
1.01,0.98,-0.02,0.6847569082753511,0.6820654357343471,0.6881129969907036,0.6801601219078789,0.7110291664455163,0.6830458976401906
1.053,1.03,-0.05,0.6680757310045957,0.6652355808029291,0.6715707819322108,0.6632552229501084,0.6956985916446482,0.6662623593988124
1.114,1.09,-0.01,0.6515255951181891,0.6485374696461237,0.6551540730001616,0.6464855371139848,0.6804834145655527,0.6496096387296934
1.176,1.14,-0.0,0.6351124630990884,0.6319771685529431,0.6388687753332072,0.6298571490175857,0.6653890310141655,0.6330937915515079
1.237,1.2,-0.03,0.6188421685940458,0.6155606173547997,0.6227206700990263,0.613376013659274,0.6504207217593969,0.6167207471024182
1.32,1.25,-0.0,0.6027204117424878,0.5992936247796369,0.6067154099141839,0.5970479517403116,0.6355836483599133,0.6004963032506904
1.341,1.31,0.02,0.5867527547121982,0.5831818640111586,0.590858514466732,0.5808786451954412,0.6208828491773135,0.584426122010903
1.381,1.36,-0.01,0.5709446174452837,0.5672308684562285,0.5751553663447504,0.5648736329346828,0.6063232355786595,0.5685157252690489
1.443,1.42,-0.01,0.5553012736174392,0.5514460277230507,0.5596112070735654,0.5490383067991284,0.5919095883309095,0.5527704907193642
1.524,1.47,0.01,0.5398278468130903,0.5358325838123064,0.5442311333639316,0.533377907733075,0.5776465541894045,0.5371956480152702
1.607,1.53,-0.02,0.5245293069185534,0.5203956275230017,0.5290200935730504,0.5178975221744047,0.5635386426821802,0.5217962751363702
1.628,1.58,-0.06,0.5094104667349374,0.5051400950743807,0.5139828843798653,0.502602078664701,0.5495902230914944,0.5065772949730303
1.669,1.64,-0.04,0.49447597881209515,0.4900707649448574,0.4991241476756769,0.4874963446801955,0.5358055216336032,0.4915434721296533
1.731,1.69,-0.08,0.47973033250452984,0.47519225492853745,0.4844483676707081,0.4725849236842434,0.522188618837457,0.4766994099473695
1.773,1.75,-0.14,0.465177851249772,0.4605090194095182,0.46995986821685887,0.4578722524016532,0.5087434471226421,0.4620495477464805
1.835,1.8,-0.13,0.4508226900693601,0.4460253468537833,0.4556628103465027,0.4433625983148335,0.49547378857654906,0.4475981582886259
1.897,1.86,-0.13,0.43666883329219613,0.4317453575181439,0.44156119002681093,0.4290600573813626,0.4823832729304167,0.43334934545829074
1.979,1.91,-0.16,0.4227200924997034,0.41767300137533137,0.4276588361287464,0.4149685519722504,0.4694753757335731,0.4193070421629305
1.999,1.97,-0.14,0.40898010469188323,0.40381205625401007,0.41395940860954644,0.40109182902982865,0.4567534167248791,0.4054750084506743
2.041,2.02,-0.12,0.3954523306730573,0.39016612619217583,0.40046639690724,0.38743345844388205,0.4442205584000885,0.39185682984425485
2.103,2.08,-0.14,0.38214005365578063,0.3767386400021284,0.38718311854550785,0.3739968316443088,0.4318798047735591,0.3784559158895255
2.164,2.13,-0.14,0.36904637808111745,0.36353285004496183,0.37411271794698886,0.36078516040829,0.4197340003324968,0.365275498916647
2.226,2.19,-0.1,0.35617422865317105,0.3505518312122928,0.3612581654529245,0.3478014758796578,0.40778582918167317,0.35231863301176075
