Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy
1.418,0.04,0.0,0.12369579233988647,0.0,0.0707796479683224,0.8386856132924108,0.09421794498709753,0.726979688709767
1.438,0.1,0.0,0.12225584137628687,0.008625423278922927,0.07045444275634691,0.8370550613906415,0.09434562997402465,0.7292415122585102
1.458,0.15,0.0,0.12082667926295768,0.017241459911440694,0.07013988369739164,0.8354307437775313,0.0944882906538235,0.7314978302270077
1.479,0.21,0.0,0.11940881922862145,0.025844934833373724,0.06983606125856998,0.8338135460380819,0.09464587005890958,0.7337477762378902
1.499,0.26,0.0,0.11800276121113334,0.03443269106280587,0.06954305246566983,0.8322043535173144,0.09481829190280444,0.7359904912424053
1.519,1.06,0.0,0.11660899130941454,0.043001592596664834,0.06926092067212562,0.8306040504692673,0.0950054602953964,0.7382251243619666
1.539,1.11,0.0,0.11522798125466431,0.05154852726882179,0.0689897153462035,0.8290135192014764,0.09520725947985227,0.7404508337186565
1.642,1.17,0.0,0.11386018790156757,0.060070409565411584,0.06872947187697324,0.8274336392161934,0.09542355359213932,0.7426667872535354
1.663,1.22,0.0,0.1125060527401739,0.06856418339312106,0.06848021139961362,0.825865286349646,0.09565418644410074,0.7448721635316256
1.703,1.28,0.0,0.11116600142908441,0.0770268247962311,0.06824194064057121,0.8243093319106896,0.09589898133101249,0.7470661525324633
1.764,1.33,-0.04,0.10984044335054484,0.0854553446182283,0.06801465178306647,0.8227666418202445,0.0961577408645327,0.7492479564251252
1.806,1.39,-0.08,0.10852977118800931,0.09384679110382722,0.06779832235341181,0.8212380757529749,0.09643024683193134,0.7514167903266615
1.888,1.44,-0.07,0.10723436052671173,0.10219825243727536,0.06759291512857132,0.8197244862827279,0.09671626008244312,0.7535718830428961
1.93,1.5,-0.06,0.10595456947776101,0.11050685921287624,0.06739837806534096,0.8182267180333498,0.09701552044150583,0.7557124777906287
2.012,1.55,-0.07,0.10469073832624591,0.11876978683379702,0.06721464425145933,0.8167456068365831,0.09732774665353429,0.7578378329003701
2.033,1.61,-0.08,0.10344318920377614,0.12698425783545733,0.0670416318788783,0.8152819788988196,0.09765263635377269,0.7599472224988609
2.094,1.66,-0.06,0.10221222578580103,0.13514754413011157,0.06687924423935027,0.8138366499785158,0.09798986606968753,0.7620399371707027
2.136,1.72,-0.06,0.10099813301394674,0.1432569691696051,0.06672736974243015,0.8124104245760506,0.09833909125231105,0.7641152845985014
2.198,1.77,-0.07,0.09980117684352063,0.1513099100236584,0.06658588195594181,0.8110040951377689,0.09869994633790544,0.7661725901809718
2.259,1.83,-0.05,0.09862160401625819,0.1593037993713841,0.06645463966890523,0.8096184412759129,0.09907204484028599,0.768211197628485
2.363,1.88,-0.05,0.09745964185835172,0.167236127404033,0.06633348697686281,0.8082542290061049,0.09945497947411723,0.7702304695355516
2.384,1.94,-0.07,0.09631549810382131,0.17510444363715036,0.06622225338948558,0.8069122100039974,0.09984832230947711,0.7722297879297281
2.426,1.99,-0.07,0.09518936074337704,0.18290635863038773,0.06612075396029114,0.8055931208826338,0.10025162495796427,0.7742085547964203
2.488,2.05,-0.07,0.09408139789904696,0.19063954561320162,0.06602878943827446,0.8042976824919784,0.10066441879059866,0.7761661925790513
2.549,2.1,-0.1,0.09299175772493237,0.1983017420147061,0.06594614644123714,0.8030265992419456,0.10108621518772463,0.7781021446540748
2.631,2.16,-0.12,0.09192056833446294,0.20589075089608688,0.06587259765058529,0.8017805584501634,0.10151650582106884,0.7800158757803484
2.651,2.21,-0.12,0.09086793775448576,0.21340444228419345,0.06580790202733125,0.8005602297156159,0.10195476296803321,0.7819068725224337
2.734,2.27,-0.13,0.08983395390647672,0.22084075440513762,0.06575180504897857,0.7993662643192646,0.1024004398582131,0.7837746436474399
2.755,2.32,-0.14,0.08881868461511724,0.22819769481693122,0.06570403896689814,0.798199294652658,0.10285297105202464,0.7856187204950831
2.797,2.38,-0.12,0.08782217764442225,0.2354733414404139,0.06566432308373779,0.7970599336753994,0.10331177285121508,0.7874386573206785
2.859,2.43,-0.12,0.0868444607615172,0.2426658434879784,0.06563236405037133,0.795948774402089,0.10377624374093067,0.789234031610819
2.919,2.49,-0.12,0.08588554182803822,0.24977342228991203,0.06560785618188633,0.7948663894190569,0.10424576486293682,0.7910044443715422
2.96,2.54,-0.1,0.08494540891898837,0.2567943720184994,0.06559048179211056,0.793813330430961,0.10471970051952852,0.7927495203888443
3.022,2.6,-0.09,0.08402403046877766,0.26372706031030335,0.06557991154617603,0.792790127837197,0.1051973987076282,0.7944689084614459
3.083,2.65,-0.1,0.08312135544411364,0.2705699287872398,0.06557580483061656,0.7917972903380218,0.10567819168253907,0.7961622816057922
3.145,2.71,-0.09,0.08223731354336433,0.27732149347724516,0.06557781014049162,0.7908353045702995,0.10616139655079558,0.7978293372333317
3.226,2.76,-0.08,0.0813718154219637,0.283980345135528,0.06558556548302595,0.7899046347727723,0.10664631589153356,0.7994697973001984
3.287,2.82,-0.1,0.08052475294338744,0.29054514946758914,0.06559869879725587,0.7890057224807542,0.10713223840577862,0.8010834084294788
3.307,2.87,-0.11,0.07969599945520067,0.2970146472553477,0.06561682838916712,0.7881389862501006,0.10761843959302371,0.8026699420063067
3.348,2.93,-0.1,0.07888541008967032,0.3033876543878241,0.06563956338179552,0.7873048214102784,0.10810418245442849,0.8042291942460538
3.45,2.98,-0.12,0.07809282208842529,0.3096630617979284,0.06566650417973655,0.7865035998463006,0.10858871822192286,0.8057609862359046
3.471,3.04,-0.14,0.07731805515061947,0.3158398353069937,0.06569724294747618,0.7857356698092134,0.10907128711243007,0.8072651639500892
3.512,3.09,-0.12,0.07656091180400698,0.32191701537879785,0.0657313641009093,0.7850013557547235,0.10955111910634634,0.8087415982390285
3.573,3.15,-0.11,0.0758211777982965,0.3278937167848903,0.06576844481135562,0.7843009582094643,0.11002743474932632,0.8101901847926298
3.635,3.2,-0.11,0.07509862252011545,0.33376912818311144,0.06580805552132105,0.7836347536643312,0.11049944597633504,0.8116108440779607
3.698,3.26,-0.09,0.07439299942887266,0.33954251161126714,0.06584976047118525,0.7830029944943024,0.11096635695684777,0.8130035212515593
3.739,3.31,-0.07,0.07370404651274857,0.3452132018980486,0.06589311823594157,0.7824059089042027,0.1114273649600247,0.8143681860466885
3.824,3.37,-0.06,0.0730314867639707,0.35078060599345384,0.0659376822710855,0.7818437008999377,0.1118816612386597,0.8157048326358892
3.844,3.42,-0.06,0.0723750286724479,0.35624420222115866,0.06598300146674635,0.7813165502847647,0.11232843193069642,0.8170134794692396
3.928,3.48,-0.03,0.07173436673675944,0.36160353945548074,0.06602862070917402,0.7808246126801996,0.11276685897711508,0.818294169088759
3.988,3.53,-0.03,0.07110918199143738,0.3668582362257413,0.0660740814487259,0.780368019571147,0.11319612105500725,0.8195469679194067
4.009,3.59,-0.04,0.07049914254944577,0.37200797975095984,0.06611892227353161,0.7799468783747936,0.11361539452466635,0.8207719660371515
4.069,3.64,-0.02,0.06990390415873621,0.3770525249079255,0.06616267948803653,0.7795612725327622,0.1140238543895278,0.8219692769145902
