Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy
0.012,45.75,8.52,0.0,0.8731664032704949,0.4604087335975292,0.0,1.0,0.3492123271309639
1.388,0.04,0.0,0.004632222416605981,0.8752757624709427,0.4518097594839171,0.016940416029324185,0.9843458538558562,0.34326773790598025
1.408,0.1,0.0,0.009277031486511104,0.8773911583445112,0.44322320651430813,0.0338730379290363,0.9686909472957735,0.33731987582044975
1.428,0.16,0.0,0.013932751760325716,0.8795117873745102,0.43465252210934524,0.050790924316891806,0.9530415680967116,0.33137120282033333
1.449,0.21,0.0,0.018597704685969337,0.8816368398056893,0.4261011381273857,0.06768714863111429,0.937403995694101,0.32542418104990406
1.469,0.27,0.0,0.02327021032242372,0.8837655002324337,0.4175724675648402,0.08455480600819887,0.9217844950317087,0.31948127033503343
1.489,0.32,0.0,0.027948589050272497,0.885896948188139,0.40906990129128445,0.10138702011663218,0.9061893104470032,0.3135449256679125
1.509,1.07,0.0,0.032631163275300926,0.888030358734855,0.400596804825411,0.11817694993252187,0.8906246596043779,0.3076175946981848
1.53,1.13,0.0,0.03731625912158443,0.8901649030523604,0.39215651515756444,0.1349177964438333,0.8750967274879415,0.3017017152353102
1.572,1.18,0.0,0.04200220811064528,0.8922997490258925,0.3837523376242827,0.15160280927062428,0.8596116604649839,0.29579971276682204
1.632,1.24,0.0,0.046687348823402974,0.8944340618318305,0.37538754283995507,0.16822529318934676,0.8441755604306093,0.28991399799699424
1.694,1.29,-0.08,0.05137002854178581,0.8965670045206824,0.3670653636904058,0.18477861454994268,0.8287944790434454,0.28404696441029115
1.735,1.35,-0.07,0.05604860486701097,0.8986977385967959,0.3587889923929113,0.20125620757510732,0.81347441206176,0.27820098586385766
1.796,1.4,-0.01,0.06072144731167513,0.900825424594267,0.35056157762686424,0.21765158053172795,0.7982212937887359,0.2723784142132359
1.856,1.46,-0.05,0.06538693886293369,0.9029492226485842,0.3423862217389846,0.23395832176515097,0.7830409916350904,0.26658157697547213
1.917,1.51,-0.05,0.07004347751417928,0.9050682930636443,0.33426597802665586,0.25017010558759845,0.767939300806665,0.2608127750337246
1.958,1.57,0.03,0.07468947776276925,0.9071817968738637,0.3262038481026597,0.26628069801271137,0.7529219391240777,0.25507428038732505
2.04,1.62,0.01,0.0793233720715014,0.9092888964011934,0.31820277934430563,0.28228396232877984,0.7379945419810441,0.24936833395098493
2.061,1.68,-0.05,0.08394361229169402,0.9113887558068707,0.31026566242970577,0.2981738645037197,0.7231626574474803,0.2436971434065229
2.122,1.73,-0.01,0.0885486710458887,0.9134805416377391,0.3023953289637119,0.3139444784153057,0.7084317415230603,0.23806288111016433
2.164,1.79,-0.01,0.09313704306836114,0.9155634233669373,0.2945945491958218,0.3295899909005975,0.693807153546447,0.2324676820581726
2.226,1.84,-0.09,0.09770724650179094,0.9176365739287425,0.2868660298321646,0.34510470661894066,0.6792941517649782,0.2269136419133939
2.287,1.9,-0.11,0.10225782414859468,0.9196991702473637,0.2792124119434734,0.36048305272341885,0.6648978890691462,0.22140281509521514
2.329,1.95,-0.09,0.10678734467556401,0.9217503937595286,0.27163626897074117,0.37571958333616506,0.6506234088957683,0.21593721293537163
2.413,2.01,-0.18,0.11129440377057864,0.9237894309307603,0.2641401048300304,0.3908089838235014,0.6364756413033246,0.21051880190195604
2.433,2.06,-0.21,0.11577762525027882,0.9258154737652754,0.25672635211765804,0.4057460748674704,0.622459399222493,0.20514950189386313
2.496,2.12,-0.14,0.12023566211768637,0.9278277203094603,0.2493973704167106,0.42052581633092917,0.6085793748844948,0.19983118460771562
2.559,2.17,-0.14,0.12466719756886412,0.9298253751488668,0.24215544470559916,0.4351433109139227,0.5948401364294352,0.19456567197906197
2.601,2.23,-0.19,0.1290709459477963,0.9318076498986781,0.2350027838691467,0.449593807599504,0.5812461246964344,0.18935473469936526
2.663,2.28,-0.15,0.13344565364875602,0.9337737636875986,0.227941519312495,0.4638727048875864,0.5678016501969625,0.18420009081004748
2.726,2.34,-0.11,0.13779009996552274,0.9357229436351242,0.22097370367793506,0.4779755538158383,0.5545108902724627,0.17910340437465114
2.788,2.39,-0.19,0.14210309788695796,0.9376544253220911,0.2141013096645996,0.4918980607670517,0.54137788643703,0.1740662842300764
2.85,2.45,-0.18,0.1463834948386599,0.9395674532542104,0.20732622895081076,0.5056360900628388,0.5284065419056027,0.169090282817829
2.89,2.5,-0.12,0.15063017337066437,0.9414612813180739,0.20065027121874324,0.5191856663439114,0.5156006193078392,0.16417689509618816
2.973,2.56,-0.17,0.15484205179137317,0.9433351732289403,0.1940751632809484,0.5325429767375327,0.5029637385875639,0.15932755753415292
2.993,2.61,-0.24,0.1590180847480276,0.9451884029695622,0.18760254830816944,0.5457043728130063,0.49049937508739283,0.15454364718794106
3.056,2.67,-0.21,0.16315726375412373,0.947020255219343,0.18123398515775008,0.5586663723263299,0.47821085781788,0.14982648086067057
3.159,2.72,-0.25,0.16725861766422226,0.9488300257731747,0.17497094780181172,0.5714256607553819,0.4661013679102718,0.1451773143456768
3.18,2.78,-0.29,0.17132121309665724,0.9506170219493514,0.16881482485425173,0.5839790926272755,0.4541739372516905,0.14059734175377878
3.222,2.83,-0.26,0.17534415480469442,0.9523805629860187,0.1627669191954884,0.5963236926397825,0.4424314473013083,0.13608769492474712
3.263,2.89,-0.16,0.17932658599673432,0.9541199804256766,0.15682844769374876,0.6084566565790548,0.4308766280858213,0.13164944292318614
3.325,2.94,-0.21,0.18326768860619602,0.9558346184873264,0.15100054102157545,0.6203753520361659,0.41951205737229524,0.12728359161899014
3.385,3.0,-0.21,0.1871666835117617,0.9575238344259334,0.1452842435661231,0.6320773189252717,0.4083401600162608,0.12299108335238704
3.447,3.05,-0.16,0.19102283070870588,0.9591869988789593,0.13968051343173116,0.6435602698064149,0.3973632074827714,0.11877279668326868
3.527,3.11,-0.21,0.19483542943208607,0.9608234961998073,0.1341902225332001,0.6548220900161643,0.3865833175379968,0.11462954622407727
3.547,3.16,-0.26,0.19860381823262063,0.9624327247780731,0.12881415677813923,0.6658608376094087,0.37600245410878985,0.1105620825551219
3.609,3.22,-0.23,0.20232737500612658,0.964014097346535,0.12355301633667115,0.6766747431157483,0.3656224273075209,0.10657109222091969
3.651,3.27,-0.24,0.20600551697744157,0.9655670412748226,0.11840741599669705,0.6872622091140468,0.3554448936193317,0.10265719780600353
3.713,3.33,-0.31,0.2096377006398119,0.9670909988496772,0.11337788560286036,0.6976218096288145,0.3454713562488107,0.09882095808861265
3.776,3.38,-0.32,0.21322342165077893,0.9685854275417227,0.10846487057729695,0.7077522893522122,0.33570316562294905,0.09506286827074194
3.817,3.44,-0.33,0.21676221468563428,0.9700498002586719,0.10366873252022471,0.7176525626956091,0.3261415200470943,0.09138336028307793
3.878,3.49,-0.4,0.22025365324954288,0.9714836055849392,0.09898974988839608,0.7273217126747716,0.31678746651048206,0.0877828031633518
3.96,3.55,-0.4,0.22369734944944444,0.9728863480076848,0.09442811874938818,0.7367589896329017,0.307641901637787,0.08426150350658201
3.98,3.6,-0.34,0.22709295372684762,0.9742575481293756,0.0899839536096278,0.7459638098058792,0.2987055727829961,0.08081970598556228
4.044,3.66,-0.35,0.23044015455263311,0.9755967428670016,0.08565728831396294,0.7549357537341783,0.28997907926178496,0.07745759393979408
4.126,3.71,-0.4,0.23373867808498366,0.9769034856381058,0.08144807701451258,0.7636745645260029,0.2814628737184693,0.07417529003090356
4.147,3.77,-0.36,0.23698828779157669,0.9781773465338034,0.07735619520646422,0.7721801459762647,0.2731572636235285,0.0709728569624141
4.21,3.82,-0.35,0.2401887840372176,0.9794179124789151,0.07338144082845265,0.7804525605460986,0.26506241289764176,0.06785029826159214
4.272,3.88,-0.43,0.24334000363816363,0.980624787379285,0.06952353542514109,0.788492027207677,0.25717834365813186,0.06480755912099577
4.334,3.93,-0.45,0.2464418193844625,0.9817975922562866,0.06578212536961305,0.7962989191591887,0.24950493808366467,0.061844527297343514
4.375,3.99,-0.43,0.24949413953169725,0.9829359653684768,0.062156783143171045,0.8038737614149566,0.24204194039300952,0.05896103406535783
4.416,4.04,-0.5,0.25249690726357593,0.9840395623203332,0.05864700867013666,0.8112172282757519,0.23478895893361448,0.05615685522431635
4.498,4.1,-0.54,0.2554501001268214,0.9851080561579995,0.05525223070524135,0.8183301406844026,0.2277454683756914,0.053431712155151606
4.54,4.15,-0.51,0.25835372943981644,0.986141137451971,0.05197180827118039,0.8252134634718057,0.22091081200744644,0.050785272925998146
4.621,4.21,-0.53,0.2612078396764474,0.9871385143666424,0.04880503214388013,0.8318683024984429,0.21428420412703494,0.04821715344405529
4.642,4.26,-0.6,0.26401250782657665,0.9880999127166071,0.045751126383004714,0.838295901696465,0.20786473252676943,0.04572691865155065
4.704,4.32,-0.55,0.26676784273454557,0.9890250760095877,0.04280924990520468,0.844497640017402,0.2016513610650681,0.043314083763495236
4.767,4.37,-0.51,0.26947398441706516,0.9899137654758824,0.039978498097597924,0.8504750282905768,0.19564293232160077,0.04097811554486163
4.828,4.43,-0.56,0.2721311033618069,0.9907657600842742,0.037257904468984325,0.8562297059973181,0.18983817033107506,0.038718433624843125
4.869,4.48,-0.56,0.2747393998079655,0.9915808565444062,0.034646442336315156,0.8617634379661165,0.18423568339110144,0.036534411845942
4.931,4.54,-0.5,0.2772991030100488,0.9923588692957088,0.03214302654395999,0.8670781109938869,0.17883396693959958,0.03442537964570115
4.992,4.59,-0.53,0.27981047048615026,0.9930996304829978,0.029746515213337658,0.8721757303985144,0.1736314064972367,0.03239062346889599
5.054,4.65,-0.55,0.282273787251974,0.9938029899188786,0.027455711520489867,0.8770584165078531,0.16862628067042904,0.03042938820796174
5.095,4.7,-0.51,0.2846893650418784,0.9944688150330927,0.02526936549917671,0.8817284010903294,0.16381676421047922,0.02854087866934144
5.156,4.76,-0.53,0.28705754151821145,0.9950969908089181,0.023186175867081757,0.8861880237322695,0.1592009311244722,0.0267242610633183
5.237,4.81,-0.62,0.28937867947020945,0.9956874197067093,0.021204791872740332,0.8904397281670025,0.15477675783360142,0.02497866451479859
5.258,4.87,-0.61,0.2916531660037426,0.9962400215746255,0.019323815160840245,0.8944860585607373,0.15054212637464107,0.023303182592475203
5.299,4.92,-0.6,0.29388141172318843,0.9967547335465803,0.017541801653594792,0.8983296557601776,0.14649482764032024,0.021696874853825668
5.361,4.98,-0.65,0.2960638499067173,0.9972315099274476,0.015857263445954888,0.9019732535067829,0.14263256465438268,0.02015876840346958
5.403,5.03,-0.64,0.29820093567624656,0.9976703220655815,0.014268670712492057,0.9054196746225291,0.1389529558771414,0.018687859462477793
5.463,5.09,-0.57,0.30029314516328054,0.9980711582127468,0.01277445362383118,0.9086718271719649,0.13545353853736636,0.01728311494622315
5.525,5.14,-0.6,0.3023409746717962,0.9984340233715896,0.011373004270547143,0.9117327006052754,0.13213177198638823,0.015943474048309175
5.606,5.2,-0.64,0.30434493983927247,0.9987589391308189,0.010062678592463513,0.9146053618869777,0.12898504107035985,0.01466784982806721
5.626,5.25,-0.58,0.3063055747969037,0.9990459434883006,0.008841798311309436,0.9172929516147736,0.1260106595166918,0.013455130799095289
5.728,5.31,-0.57,0.30822343133000424,0.999295090662289,0.007708652864725079,0.9197986801329902,0.12320587333076492,0.012304182516337917
5.749,5.36,-0.63,0.3100990780395912,0.9995064508910411,0.00666150133965411,0.9221258236449447,0.12056786419910882,0.01121384915931322
5.83,5.42,-0.61,0.311933099506116,0.9996801102210792,0.005698574403205977,0.9242777203285228,0.11809375289532056,0.010182955109268671
5.85,5.47,-0.59,0.31372609545630253,0.9998161702844026,0.004818076229106909,0.9262577664592457,0.11578060268508707,0.009210306518241106
5.911,5.53,-0.65,0.31547867993404516,0.9999147480649719,0.004018186417894643,0.9280694125450815,0.11362542272676301,0.00829469286818777
5.972,5.58,-0.68,0.31719148047631074,0.9999759756548022,0.0032970619090401973,0.9297161594772215,0.11162517146403898,0.007434888518510357
6.033,5.64,-0.65,0.31886513729498095,1.0,0.0026528388832015265,0.9312015547009642,0.10977676000731518,0.006629654240353842
6.095,5.69,-0.67,0.32050030246555167,0.9999869826370555,0.0020836346528409974,0.9325291884107345,0.10807705550047361,0.005877738736033344
6.136,5.75,-0.73,0.32209763912358796,0.9999370994196661,0.0015875495394696514,0.933702689773097,0.106522884469811,0.0051778801418785455
6.177,5.8,-0.66,0.32365782066979065,0.9998505402363237,0.0011626687358123303,0.9347257231814592,0.105111036151964,0.004528807512727047
6.238,5.86,-0.63,0.3251815299844859,0.9997275087188946,0.0008070641512323774,0.9356019845459922,0.10383826579773307,0.0039292422862784
6.299,5.91,-0.68,0.32666945865229124,0.9995682219424289,0.0005187962388182776,0.9363351976221507,0.10270129794879254,0.0033778997255970167
