Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy
0.003,5.27,-2.21,0.04892200416096342,0.704679078951906,0.7205765878302286,0.805728067629081,1.0,0.0
1.216,0.04,0.0,0.058312993511299385,0.7061079183645985,0.7246710995240725,0.807401326374516,0.9974851663921305,0.017999622029325257
1.237,0.1,0.0,0.06768723510975835,0.7074153655470752,0.7287919587233128,0.8090955819530508,0.9949244404308263,0.035998359686034744
1.258,0.15,0.0,0.07703973773160419,0.7085999913114789,0.7329373667523588,0.8108101376153309,0.9923183852186184,0.053988931211361134
1.279,0.21,0.0,0.08636551434261076,0.7096604666465449,0.7371055005000292,0.8125442643482353,0.9896676026179849,0.07196405946913366
1.3,0.26,0.0,0.09565958797143338,0.7105955646823913,0.7412945142911169,0.8142972008021816,0.9869727332751983,0.0899164787518501
1.32,1.05,0.0,0.10491699759143211,0.7114041625385864,0.7455025417869372,0.81606815326979,0.9842344566054126,0.10783894155483426
1.34,1.11,0.0,0.11413280399749477,0.7120852430532507,0.7497276979099609,0.8178562957191822,0.9814534907381236,0.12572422530612234
1.402,1.16,0.0,0.12330209566395493,0.7126378963910889,0.7539680807878603,0.8196607698848971,0.9786305924221099,0.14356513904033832
1.482,1.22,0.0,0.13241999457024464,0.7130613215283894,0.7582217737125168,0.8214806854190905,0.9757665568889232,0.16135453000542274
1.515,1.27,0.0,0.14148166198145357,0.7133548276131686,0.7624868471097532,0.8233151201053939,0.9728622176739782,0.1790852901916663
1.552,1.33,-0.01,0.15048230417148942,0.7135178351987744,0.7667613605157705,0.8251631201374912,0.969918446394264,0.19675036277307006
1.614,1.38,0.08,0.15941717807700556,0.7135498773494217,0.7710433645564563,0.8270237004641796,0.9669361524816737,0.21434274845161028
1.675,1.44,0.14,0.16828159687060698,0.7134506006163391,0.7753309029258889,0.8288958452024178,0.9639162828709478,0.23185551169553256
1.717,1.49,0.09,0.17707093544200922,0.7132197658835205,0.7796220143604423,0.8307785081196647,0.9608598216412447,0.24928178686333105
1.839,1.55,0.09,0.18578063577591686,0.7128572490824487,0.7839147346049595,0.8326706131866335,0.9577677896104551,0.2666147842055646
1.859,1.6,0.25,0.19440621221565432,0.7123630417754948,0.7882070983675601,0.8345710552014012,0.9546412438814956,0.2838477957371319
1.9,1.66,0.14,0.20294325660208082,0.7117372516079057,0.7924971412598096,0.8364787004855463,0.9514812773399658,0.30097420097308747
1.942,1.71,0.15,0.21138744327792316,0.7109801026284522,0.7967829017191617,0.8383923876527124,0.9482890181026544,0.3179874725215406
2.003,1.77,0.3,0.21973453394825698,0.7100919354789801,0.8010624229107527,0.8403109284497037,0.9450656289165161,0.3348811815276341
2.064,1.82,0.18,0.22798038238848373,0.7090732074532584,0.8053337546057934,0.8422331086699573,0.941812306507866,0.3516490029630278
2.126,1.88,0.18,0.23612093899179015,0.7079244924256748,0.8095949550339719,0.8441576891389225,0.9385302808816706,0.36828472075572366
2.209,1.93,0.27,0.24415225514871083,0.7066464806504403,0.8138440927074418,0.8460834067705919,0.9352208145709364,0.38478223275546386
2.23,1.99,0.27,0.25207048745203753,0.7052399784320925,0.8180792482141258,0.8480089756940967,0.9318852018363073,0.4011355555303118
2.27,2.04,0.22,0.25987190172091235,0.7037059076681877,0.8222985159782028,0.8499330884489769,0.9285247678160742,0.4173388289903842
2.331,2.1,0.21,0.26755287683846934,0.7020453052652148,0.8265000059857656,0.8518544172474114,0.9251408676269134,0.4333863208350412
2.391,2.15,0.33,0.2751099083979278,0.7002593224288818,0.8306818454737583,0.8537716153013776,0.9217348854157892,0.44927243082013596
2.431,2.21,0.24,0.28253961215263884,0.6983492238299954,0.834842180580456,0.8556833182123381,0.918308233363574,0.46499169484220004
2.494,2.26,0.22,0.28983872726618626,0.6963163866472079,0.8389791779558903,0.857588145420696,0.9148623506410433,0.48053878883671175
2.599,2.32,0.38,0.29700411935922116,0.6941622994879739,0.8430910263307588,0.8594847017118996,0.9113987023180029,0.49590853248785793
2.62,2.37,0.25,0.30403278335033446,0.6918885611891396,0.847175938042477,0.8613715787757509,0.9079187782264444,0.5110958927474444
2.66,2.43,0.26,0.310921846088922,0.6894968794986458,0.8512321505171524,0.8632473568151153,0.9044240917787407,0.5260959871608419
2.722,2.48,0.37,0.3176685687786239,0.6869890696398993,0.8552579277063662,0.8651106061999148,0.9009161787420401,0.5409040869980798
2.785,2.54,0.31,0.3242703491905121,0.6843670527604478,0.8592515614777475,0.8669598891619397,0.8973965959701478,0.5555156201883984
2.827,2.59,0.27,0.33072472366574024,0.6816328542667056,0.8632113729584064,0.8687937615256929,0.8938669200943257,0.5699261740567638
2.869,2.65,0.25,0.33702936890786883,0.6787886020466022,0.8671357138303607,0.8706107744701526,0.8903287461745824,0.5841314978610149
2.93,2.7,0.35,0.343182103565611,0.6758365245821525,0.8710229675771729,0.8724094763160009,0.8867836863131705,0.5981275051284594
2.991,2.76,0.25,0.34918088960731525,0.6727789489540006,0.8748715506811061,0.8741884143324841,0.8832333682321215,0.611910275790876
3.053,2.81,0.21,0.3550238334890205,0.6696182987400419,0.8786799137701863,0.8759461365577029,0.8796794338167339,0.6254760581170298
3.113,2.87,0.36,0.3607091871183644,0.666357091810277,0.8824465427146189,0.8776811936257716,0.8761235376270281,0.6388212704419332
3.155,2.92,0.23,0.3662353486170624,0.662997938020074,0.8861699596720796,0.8793921405939498,0.8725673453792968,0.6519425026922261
3.217,2.98,0.19,0.37160086288510036,0.6595435368039786,0.8898487240814893,0.8810775387625557,0.8690125323999849,0.6648365177071982
3.319,3.03,0.34,0.37680442197016883,0.6559966746721304,0.8934814336049945,0.8827359574802419,0.865460782054257,0.6775002523551774
3.34,3.09,0.24,0.381844865246231,0.6523602226111666,0.8970667250179795,0.884365975927099,0.8619137841517257,0.6899308184452505
3.38,3.14,0.12,0.3867211794054758,0.6486371333912365,0.9006032750470386,0.885966184868097,0.8583732333319213,0.7021255034345799
3.442,3.2,0.21,0.3914324982682783,0.6448304387804575,0.9040898011558947,0.8875351883695979,0.8548408274321991,0.7140817709319152
3.504,3.25,0.2,0.3959781024162054,0.640943246667879,0.9075250622793,0.8890716054720519,0.8513182658408714,0.7257972609982706
3.525,3.31,0.09,0.4003574186534763,0.6369787380959065,0.9109078595050157,0.8905740718124409,0.8478072478384017,0.7372697902461491
3.586,3.36,0.02,0.4045700193024831,0.6329401642032548,0.9142370367039989,0.89204124119057,0.8443094709295312,0.7484973517391392
3.67,3.42,0.06,0.40861562133903856,0.6288308430798253,0.9175114811089425,0.8934717870738936,0.8408266291692263,0.7594781146941566
3.691,3.47,-0.06,0.41249408537304316,0.6246541565353209,0.9207301238413426,0.8948644040361783,0.8373604114853429,0.7702104239890558
3.752,3.53,-0.18,0.4162054144802699,0.6204135467838865,0.923891940387304,0.8962178091259072,0.8339125000008416,0.7806927994787818
3.814,3.58,-0.09,0.4197497528908989,0.6161125130475794,0.9269959510223073,0.8975307431609687,0.8304845683582991,0.7909239351236544
3.855,3.64,-0.21,0.4231273845403363,0.6117546080820253,0.9300412211851744,0.8988019719468027,0.8270782800493388,0.8009026979337792
3.918,3.69,-0.34,0.4263387314877239,0.6073434346281524,0.933026861801495,0.9000302874158005,0.8236952867514661,0.8106281267339347
3.98,3.75,-0.26,0.4293843522073906,0.6028826417944477,0.9359520295567744,0.901214508686369,0.8203372266746528,0.8200994307536226
4.041,3.8,-0.29,0.43226493975835684,0.5983759213746911,0.9388159271195884,0.9023534830406784,0.817005722919877,0.8293159880472701
4.103,3.86,-0.39,0.43498131983684346,0.5938270041066305,0.9416178033150416,0.9034460868207043,0.8137023818516793,0.8382773437498572
4.163,3.91,-0.41,0.43753444871650204,0.5892396558775739,0.9443569532488187,0.9044912262427559,0.8104287914866802,0.8469832081735025
4.205,3.97,-0.34,0.4399254110808507,0.5846176738833873,0.9470327183821039,0.9054878381312732,0.8071865198999126,0.8554334547507697
4.247,4.02,-0.44,0.4421554177522507,0.5799648827478077,0.9496444865576776,0.9064348905731829,0.8039771136507519,0.8636281178306497
4.308,4.08,-0.5,0.44422580332166617,0.5752851306093106,0.9521916919775361,0.9073313834945848,0.8008020962301559,0.8715673903333481
4.411,4.13,-0.37,0.44613802368330685,0.5705822851830268,0.9546738151324288,0.9081763491619719,0.797662966530856,0.8792516212701514
4.432,4.19,-0.49,0.44789365347811777,0.5658602298053351,0.9570903826837543,0.9089688526105509,0.7945611973421037,0.8866813131347392
4.495,4.24,-0.56,0.4494943834499497,0.5611228594687184,0.9594409672983323,0.9097079920024869,0.7914982338705217,0.8938571191723789
4.537,4.3,-0.48,0.45094201771815273,0.5563740768542994,0.961725187436655,0.9103928989180718,0.7884754922885752,0.900779840533481
4.578,4.35,-0.49,0.45223847097028297,0.5516177883692109,0.9639427070953227,0.9110227385829229,0.7854943583121485,0.9074504233179966
4.64,4.41,-0.58,0.45338576557853577,0.5468579001956736,0.9660932355044467,0.9115967100343764,0.7825561858086572,0.913869955517143
4.703,4.46,-0.6,0.45438602864340033,0.5420983143584018,0.9681765267808533,0.9121140462303048,0.7796622954370951,0.9200396638589073
4.787,4.52,-0.49,0.4552414889679499,0.5373429248167062,0.9701923795379664,0.9125740141036046,0.7768139733213942,0.9259609105637244
4.808,4.57,-0.59,0.45595447396621935,0.5325956135873632,0.9721406364533082,0.9129759145655659,0.7740124697584525,0.9316351900166467
4.85,4.63,-0.65,0.45652740650918733,0.5278602469040242,0.9740211837946449,0.9133190824612681,0.7712589979621601,0.9370641253622569
4.913,4.68,-0.53,0.45696280171194265,0.5231406714186674,0.9758339509058652,0.9136028864800758,0.7685547328447384,0.9422494650284926
4.975,4.74,-0.65,0.45726326366569053,0.5184407104503486,0.9775789096537432,0.9138267290242492,0.7659008098367075,0.9471930791854754
5.037,4.79,-0.71,0.4574314821183615,0.5137641602862583,0.9792560738367971,0.9139900460386153,0.7632983237467913,0.951896956145347
5.078,4.85,-0.6,0.45747022910769297,0.5091147865398292,0.9808654985575014,0.9140923068042051,0.7607483276630461,0.9563631987090395
5.162,4.9,-0.63,0.457382355550753,0.5044963205704062,0.982407279559156,0.9141330136987021,0.7582518318964705,0.9605940204658235
5.181,4.96,-0.71,0.45717078779393416,0.49991245596875433,0.9838815525287496,0.9141117019265135,0.7558098029683139,0.9645917420513928
5.242,5.01,-0.73,0.45683852412744447,0.4953668451125039,0.9852884923671711,0.914027939221234,0.7534231626422773,0.9683587873701466
5.303,5.07,-0.66,0.45638863126832824,0.49086309579543486,0.9866283124281443,0.9138813255232406,0.7510927870027961,0.9718976797872079
5.345,5.12,-0.76,0.4558242408160891,0.48640476793428544,0.9879012637273088,0.9136714926350693,0.7488195055805754,0.9752110382955758
5.408,5.18,-0.82,0.4551485456850026,0.4819953703565389,0.9891076341229085,0.9133981038571339,0.7466041005264973,0.9783015736636979
5.47,5.23,-0.73,0.4543647965171746,0.4776383576724418,0.9902477474695701,0.9130608536062715,0.7444473058349671,0.9811720845686104
5.511,5.29,-0.84,0.4534762980803913,0.47333712723429816,0.991321962746694,0.9126594670195006,0.7423498066177059,0.9838254537196667
5.573,5.34,-0.89,0.4524864056548014,0.46909501618586946,0.9923306731630127,0.9121936995452752,0.7403122384289289,0.986264643977743
5.635,5.4,-0.77,0.45139852141240105,0.46491529860449954,0.993274305238906,0.9116633365244073,0.7383351866427589,0.9884926944746774
5.676,5.45,-0.83,0.4502160907931455,0.46080118273841847,0.9941533178680575,0.9110681927627322,0.7364191858836497,0.9905127167375767
5.737,5.51,-0.9,0.44894259888130783,0.45675580834153234,0.9949682013600079,0.9104081120975148,0.7345647195105258,0.9923278908224983
5.798,5.56,-0.89,0.4475815667854975,0.4527822441079003,0.9957194764651165,0.9096829669595413,0.7327722191553128,0.9939414614618701
5.879,5.62,-0.83,0.4461365480256524,0.44888348520794197,0.9964076933834326,0.9088926579327573,0.731042064316517,0.9953567342298665
5.9,5.67,-0.91,0.4446111249303231,0.445062450928201,0.9970334307589983,0.9080371133131883,0.7293745820084823,0.9965770717298053
5.961,5.73,-0.97,0.4430089050475541,0.441321982416271,0.9975972946611182,0.9071162886687639,0.7277700464669004,0.9976058898074982
6.024,5.78,-0.84,0.44133351757262457,0.4376648405323009,0.9980999175541275,0.9061301664015589,0.7262286789111002,0.9984466537943487
6.086,5.84,-0.98,0.43958860979589126,0.43409370380830764,0.9985419572571821,0.9050787553138696,0.7247506473636172,0.9991028747838405
6.127,5.89,-1.02,0.4377778435739748,0.43061116651632836,0.9989240958956094,0.9039620901794455,0.7233360665274875,0.9995781059449153
6.168,5.95,-0.92,0.43590489182749514,0.42721973684625475,0.9992470388453425,0.9027802313210908,0.7219849977216607,0.9998759388755877
6.252,6.0,-0.99,0.4339734350684865,0.42392183519401017,0.9995115136719387,0.9015332641957744,0.7206974488748599,1.0
6.292,6.06,-1.08,0.4319871579605041,0.42071979256057035,0.9997182690656558,0.9002212989883083,0.7194733745781359,0.9999539470119767
6.333,6.11,-1.08,0.42994974591429186,0.41761584906217897,0.9998680737740107,0.8988444702145708,0.718312676196288,0.9997414653679927
6.415,6.17,-1.01,0.42786488172180176,0.4146121525519404,0.9999617155332299,0.8974029363351661,0.7172152020382431,0.9993662648323209
6.476,6.22,-1.09,0.4257362422313002,0.41171075735276924,1.0,0.8958968793802679,0.7161807475863832,0.9988320760769804
6.517,6.28,-1.14,0.4235674950662068,0.4089136231014852,0.9999837496849191,0.8943265045862689,0.7152090557846966,0.9981426473389898
6.621,6.33,-1.01,0.421362295390154,0.40622261370369617,0.9999138028890082,0.8926920400447413,0.7142998173855261,0.9973017411372995
6.642,6.39,-1.14,0.4191242827206509,0.4036394963989665,0.9997910126446317,0.8909937363641032,0.7134526713546266,0.9963131310516427
6.683,6.44,-1.17,0.4168570777936649,0.4011659409356124,0.9996162456621671,0.8892318663442695,0.7126672053341787,0.9951805985654186
6.724,6.5,-1.05,0.41456427948139246,0.3988035188543076,0.9993903812837772,0.8874067246644506,0.7119429561633366,0.9939079299745877
6.785,6.55,-1.13,0.41224946176545757,0.39655370287953495,0.9991143104456357,0.885518627584169,0.7112794104558388,0.9924989133644323
6.846,6.61,-1.19,0.4099161707677305,0.3944178664177832,0.9987889346499542,0.8835679126574735,0.7106760052341397,0.9909573356559078
6.908,6.66,-1.17,0.4075679218408856,0.3923972831612859,0.9984151649481178,0.8815549384602728,0.710132128619468,0.989286979723188
6.989,6.72,-1.11,0.4052081967207589,0.3904931267960039,0.9979939209361985,0.8794800843306574,0.7096471205771606,0.9874916215838665
7.01,6.77,-1.2,0.4028404407425034,0.38870647081245463,0.9975261297640775,0.8773437501220185,0.7092202737165453,0.9855750276631606
7.071,6.83,-1.26,0.4004680601223943,0.3870382884179313,0.9970127251593276,0.8751463559687276,0.7088508341445503,0.9835409521333369
7.112,6.88,-1.14,0.3980944193069431,0.3854894525486299,0.9964546464669314,0.8728883420641219,0.708538002372141,0.9813931343294608
7.173,6.94,-1.26,0.3957228383908298,0.38406073598015206,0.9958528377058343,0.8705701684504975,0.7082809342726017,0.97913529624244
