Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy
1.087,0.04,0.0,0.4026426600146097,0.7113365646496352,0.4384663560321951,0.23691082119713766,0.36845726844559173,0.1372087433044229
1.107,0.1,0.0,0.394485821936742,0.721505257533242,0.43221615843435374,0.24041330482981002,0.36457942209643235,0.14410142392379396
1.128,0.15,0.0,0.3863562242305728,0.7315596729392997,0.4259872505164237,0.2438775269973914,0.36070786579011277,0.15088401981647195
1.149,0.21,0.0,0.37825688159552223,0.7414944725820194,0.41978183320999496,0.24730164799575538,0.3568439543526659,0.15755388357639222
1.17,0.26,0.0,0.37019078246009385,0.7513043894377429,0.41360208467729875,0.25068385306147023,0.3529890342508473,0.16410846938390958
1.191,1.06,0.0,0.36216088665945173,0.760984232522638,0.4074501586766271,0.25402235406896756,0.3491444425689976,0.17054533505913194
1.212,1.12,0.0,0.35417012316195945,0.7705288915839543,0.40132818297163275,0.2573153911907433,0.34531150600421623,0.1768621439549373
1.274,1.17,0.0,0.34622138784629086,0.7799333416994316,0.39523825778539146,0.26056123451790747,0.3414915398804021,0.1830566666893507
1.357,1.23,0.0,0.3383175413305843,0.7891926477795813,0.3891824542999684,0.26375818563845815,0.337685847181651,0.18912678271742037
1.377,1.28,0.0,0.33046140685497793,0.7983019689676812,0.38316281320210216,0.266904579170714,0.3338957176054361,0.1950704817431819
1.419,1.34,0.25,0.32265576821874264,0.8072565629324406,0.3771813432754937,0.2699987842494001,0.3301224266359445,0.20088586497273986
1.48,1.39,0.14,0.31490336777310884,0.8160517900484143,0.3712400200400626,0.27303920596197334,0.32636723463789735,0.2065711462098908
1.541,1.45,0.01,0.3072069044708013,0.8246831174593688,0.36534078443842244,0.27602428673292007,0.32263138597118024,0.21212465279598464
1.603,1.5,0.37,0.29956903197325924,0.8331461230198511,0.35948554156975776,0.2789525076539549,0.3189161081266322,0.21754482639585296
1.645,1.56,0.23,0.29199235681654107,0.8414364991101984,0.35367615947126074,0.281822389758255,0.3152226108833834,0.22283022363171953
1.707,1.61,0.06,0.28447943663691266,0.8495500563203434,0.3479144679472535,0.2846324952371738,0.3115520854881535,0.22797951656714363
1.748,1.67,0.26,0.27703277845707397,0.8574827269981602,0.34220225744605454,0.2873814285983611,0.30790570385694577,0.23299149304318767
1.811,1.72,0.22,0.2696548370339473,0.8652305686585324,0.3365412779846157,0.29006783776469935,0.30428461779959537,0.23786505686909262
1.874,1.78,0.13,0.2623480132689564,0.8727897672495873,0.3309332381209925,0.2926904151137474,0.3006899582676317,0.24259922786984564
1.916,1.83,0.11,0.2551146526817052,0.8801566402727121,0.3253798039747383,0.2952478984574982,0.2971228346258957,0.24719314179314597
1.998,1.89,0.27,0.2479570439479063,0.8873276397531443,0.31988259829530774,0.29773907196231475,0.29358433394833683,0.2516460500783705
2.08,1.94,0.15,0.24087741750236288,0.8942993550580076,0.31444319957854344,0.300162767008884,0.2900755203383979,0.2559573194902197
2.101,2.0,-0.0,0.23387794420777977,0.9010685155586649,0.3090631412313074,0.30251786299194355,0.2865974342743817,0.26012643161980514
2.142,2.05,0.3,0.22696073409016748,0.9076319931342371,0.3037439107842954,0.3048032880594404,0.28315109198018573,0.2641529822560096
2.204,2.11,0.13,0.22012783514163578,0.9139868045131029,0.29848694915305296,0.3070180197906976,0.27973748482178995,0.2680366806299931
2.264,2.16,-0.07,0.21338123219140062,0.9201301134492074,0.2932936499471938,0.3091610858131276,0.2763575787298779,0.27177734853577
2.305,2.22,0.13,0.20672284584582273,0.9260592327302113,0.28816535882781896,0.31123156435708077,0.273012313648965,0.2753749193298378
2.366,2.27,0.07,0.20015453149827253,0.9317716260147343,0.28310337291316817,0.31322858474846704,0.2697026030134029,0.27882943681288275
2.447,2.33,-0.07,0.19367807840957874,0.9372649094961341,0.27810894023259625,0.3151513278388203,0.26642933325059703,0.2821410539966812
