Time_Host,Time_Arduino,easingdata,CH1_Oxy,CH1_Deoxy,CH2_Oxy,CH2_Deoxy,CH3_Oxy,CH3_Deoxy
1.03,0.04,0.0,0.0,0.23761887312668878,0.0,0.27520889537936244,0.11486127546856471,0.17560475185129593
1.051,0.1,0.0,0.0026488417486551837,0.23472228315834795,0.0017473938840857038,0.27170892688181386,0.11583926695644035,0.17548961678770716
1.071,0.15,0.0,0.005369657321927574,0.23181655494327355,0.0035170175511443,0.26824670257400535,0.11687220103410446,0.17536605122639923
1.091,0.21,0.0,0.00816237561984069,0.22890230911485418,0.005308491700103235,0.2648234350899439,0.117960308541626,0.17523389090856475
1.112,0.26,0.0,0.011026874425659715,0.2259801659108412,0.007121420869597023,0.2614402937122487,0.11910377890018012,0.17509297371504787
1.133,1.05,0.0,0.0139629797214319,0.22305074505129735,0.0089553934986657,0.2580984031236784,0.12030275942567642,0.17494313982301554
1.154,1.11,0.0,0.016970465045199376,0.2201146656408635,0.010809982000050896,0.25479884222549615,0.12155735468292356,0.1747842318633345
1.216,1.16,0.0,0.02004905089166717,0.21717254609493633,0.012684742846471683,0.25154264302441276,0.1228676258817452,0.17461609507850406
1.297,1.22,0.0,0.023198404158101232,0.21422500408924264,0.014579216670267493,0.248330789589717,0.1242335903164252,0.17443857748099062
1.318,1.27,0.0,0.026418137637220514,0.211272656532188,0.016492928376798534,0.24516421708207922,0.1256552208498232,0.17425153001180554
1.379,1.33,0.02,0.02970780955883312,0.20831611955925636,0.01842538727199541,0.24204381085539536,0.12713244544346256,0.1740548066991632
1.42,1.38,0.02,0.03306692318194762,0.20535600854864414,0.020376087204446756,0.23897040563292699,0.128665146734854,0.17384826481705243
1.48,1.44,-0.01,0.0364949264390632,0.20239293815723955,0.022344506722403977,0.23594478475890934,0.13025316166328085,0.17363176504355127
1.563,1.49,-0.04,0.039991211634305635,0.19942752237601363,0.024330109246067145,0.23296767952673597,0.131896281145237,0.17340517161871255
1.604,1.55,-0.03,0.043555115197032306,0.19646037460385277,0.02633234325550311,0.2300397685847596,0.13359424980066462,0.17316835250184676
1.645,1.6,-0.06,0.047185917492478545,0.1934921077388174,0.028350642494539793,0.22716167742064952,0.1353467657310848,0.17292117952803712
1.708,1.66,-0.07,0.0508828426909535,0.19052333428574017,0.030384426190969323,0.22433397792510257,0.13715348035063624,0.17266352856372935
1.77,1.71,-0.04,0.054645058697015886,0.18755466647898766,0.03243309929336871,0.22155718803555813,0.13901399827095445,0.17239527966123747
1.812,1.77,-0.06,0.05847167713997448,0.18458671641910454,0.03449605272481078,0.2188317714604077,0.1409278772407401,0.17211631721199744
1.872,1.82,-0.08,0.062361753426971256,0.1816200962219665,0.03657266365369503,0.21615813748405052,0.14289462814078382,0.17182653009839063
1.934,1.88,-0.07,0.06631428685982031,0.17865541817901198,0.03866229578188179,0.2135366408530293,0.1449137150351435,0.17152581184396648
2.058,1.93,-0.05,0.0703282208166948,0.17569329492710212,0.04076429965027133,0.21096758174338184,0.14698455527909887,0.1712140607619125
2.078,1.99,-0.09,0.07440244299967223,0.17273433962656087,0.04287801296193831,0.20845120580922896,0.14910651968443867,0.1708911801016512
2.12,2.04,-0.12,0.07853578574905837,0.16977916614596889,0.04500276092291001,0.2059877043124783,0.15127893274256138,0.1705570781934761
2.161,2.1,-0.1,0.0827270264253113,0.16682838925230836,0.04713785660065929,0.2035772143333604,0.15350107290579415,0.17021166859116493
2.223,2.15,-0.13,0.08697488785928224,0.16388262480506227,0.04928260130036561,0.20121981906134037,0.15577217292724774,0.1698548702125308
2.284,2.21,-0.16,0.09127803887137637,0.16094248995284793,0.051436284958970985,0.19891554816578053,0.15809142025942355,0.16948660747789063
2.326,2.26,-0.12,0.09563509486011128,0.1580086033311218,0.05359818655702125,0.19666437824556068,0.16045795751167888,0.1691068104464356
2.428,2.32,-0.11,0.10004461846042027,0.15508158525943017,0.05576757454824459,0.19446623335666038,0.16287088296654714,0.16871541495047185
2.448,2.37,-0.14,0.10450512027191569,0.15216205793662402,0.05794370730678258,0.19232098561647928,0.16532925115480188,0.16831236272747604
2.469,2.43,-0.14,0.10901505965719949,0.14925064563242538,0.0601258335919468,0.19022845588347417,0.1678320734890586,0.1678976015498911
2.531,2.48,-0.12,0.11357284561018244,0.14634797487374718,0.062313193030324905,0.18818841451057133,0.1703783189556181,0.1674710853525808
2.593,2.54,-0.14,0.11817683769425066,0.1434546746242115,0.0645050166150114,0.18620058217073532,0.17296691486416915,0.16703277435787528
2.635,2.59,-0.16,0.12282534704999046,0.14057137645537246,0.06670052722169305,0.18426463075299385,0.17559674765486713,0.1665826351981757
2.696,2.65,-0.13,0.12751663747205166,0.13769871470820746,0.06889894014127766,0.18238018432711078,0.1782666637622017,0.16612064103612234
2.758,2.7,-0.14,0.1322489265545984,0.13483732664347975,0.07109946362871572,0.18054682017497006,0.18097547053495622,0.16564677168235756
2.82,2.76,-0.16,0.13702038690465815,0.1319878525795995,0.07330129946762225,0.17876406988658836,0.18372193721144922,0.16516101371092176
2.862,2.81,-0.13,0.14182914742253105,0.12915093601662983,0.07550364355026029,0.17703142051853257,0.186504795949138,0.1646633605723115
2.923,2.87,-0.11,0.1466732946482566,0.12632722374510674,0.07770568647240055,0.1753483158123767,0.18932274290755186,0.16415381270421192
2.985,2.92,-0.15,0.15155087417296617,0.12351736593837295,0.0799066141425225,0.17371415747070382,0.1921744393834127,0.16363237763990177
3.026,2.98,-0.15,0.156459892113786,0.12072201622717736,0.08210560840476976,0.17212830648806787,0.19505851299669197,0.16309907011432517
3.129,3.03,-0.14,0.16139831665080692,0.1179418317553625,0.08430184767502219,0.17059008453427493,0.19797355892624546,0.16255391216782716
3.15,3.09,-0.16,0.1663640796245073,0.11517747321555105,0.08649450758940429,0.1690987753873003,0.200918141193554,0.16199693324755607
3.192,3.14,-0.18,0.1713550781918824,0.11242960486385106,0.08868276166451057,0.16765362641311987,0.20389079399296678,0.1614281703065392
3.254,3.2,-0.15,0.17636917653939,0.10969889451272516,0.09086578196858727,0.16625385008969099,0.20689002306670579,0.1608476679004163
3.336,3.25,-0.19,0.1814042076506721,0.10698601350127693,0.09304273980286387,0.1648986255722564,0.20991430712274398,0.16025547828176068
3.356,3.31,-0.21,0.18645797512685683,0.1042916366422826,0.09521280639217908,0.16358710029705156,0.2129620992935231,0.15965166149184182
3.418,3.36,-0.16,0.19152825505708618,0.10161644214533742,0.09737515358399189,0.16231839162038222,0.21603182863332226,0.15903628544959034
3.501,3.42,-0.11,0.19661279793675565,0.09896111151550645,0.09952895455482075,0.1610915884899029,0.2191219016519334,0.158409426037435
3.522,3.47,-0.1,0.20170933063079685,0.09632632942688943,0.10167338452311692,0.15990575314477104,0.22223070388214938,0.15777116718360518
3.583,3.53,-0.04,0.20681555837919022,0.09371278357055707,0.10380762146754875,0.1587599228411909,0.2253566014784383,0.1571216009404446
3.624,3.58,0.06,0.21192916684177635,0.09112116447639329,0.10593084684964547,0.15765311159971865,0.22849794284407873,0.15646082755825746
3.684,3.64,0.09,0.21704782417934299,0.08855216530847686,0.10804224633972105,0.1565843119705925,0.23165306028395846,0.15578895555420255
3.746,3.69,0.14,0.22216918316789294,0.08600648163374354,0.11014101054496568,0.15555249681329852,0.2348202716801918,0.15510610177575476
3.788,3.75,0.24,0.22729088334293454,0.08348481116378123,0.11222633573856036,0.15455662108658594,0.23799788218768353,0.1544123914582503
